,equity
2025-03-14,100000.0
2025-03-17,100000.0
2025-03-18,100000.0
2025-03-19,100000.0
2025-03-20,100000.0
2025-03-21,100000.0
2025-03-24,100000.0
2025-03-25,100000.0
2025-03-26,100000.0
2025-03-27,100000.0
2025-03-28,100000.0
2025-03-31,100036.0
2025-04-01,100188.28
2025-04-02,100192.59999999999
2025-04-03,99816.04
2025-04-04,98966.44
2025-04-07,98828.2
2025-04-08,97138.4
2025-04-09,105601.0
2025-04-10,103188.2
2025-04-11,103180.59999999999
2025-04-14,103412.2
2025-04-15,103491.4
2025-04-16,103389.92
2025-04-17,103434.77
2025-04-21,103247.57
2025-04-22,103455.05
2025-04-23,103663.31
2025-04-24,103965.95000000001
2025-04-25,103853.24
2025-04-28,103611.68
2025-04-29,103972.04000000001
2025-04-30,104379.92
2025-05-01,103954.22
2025-05-02,105742.16
2025-05-05,104977.73
2025-05-06,104524.63
2025-05-07,105196.4
2025-05-08,106861.04999999999
2025-05-09,106721.38
2025-05-12,109012.62
2025-05-13,109328.64000000001
2025-05-14,109481.11000000002
2025-05-15,108641.56
2025-05-16,109241.79000000001
2025-05-19,108730.34
2025-05-20,109120.20000000001
2025-05-21,108541.20000000001
2025-05-22,108666.65
2025-05-23,108381.01000000001
2025-05-27,109550.59
2025-05-28,106018.69
2025-05-29,105789.02
2025-05-30,106190.46
2025-06-02,106535.93000000001
2025-06-03,106975.97
2025-06-04,107307.93000000001
2025-06-05,107643.75
2025-06-06,107821.31
2025-06-09,108375.22
2025-06-10,109124.06
2025-06-11,109222.48999999999
2025-06-12,108637.70000000001
2025-06-13,107578.13
2025-06-16,107763.41
2025-06-17,107342.67000000001
2025-06-18,107234.59000000001
2025-06-20,106989.48000000001
2025-06-23,106997.20000000001
2025-06-24,107628.31
2025-06-25,108288.37
2025-06-26,108618.4
2025-06-27,109349.87
2025-06-30,110127.66
2025-07-01,110498.22
2025-07-02,110127.66
2025-07-03,110127.66
2025-07-07,110127.66
2025-07-08,110127.66
2025-07-09,110127.66
2025-07-10,110127.66
2025-07-11,110127.66
2025-07-14,110127.66
2025-07-15,110127.66
2025-07-16,110127.66
2025-07-17,110127.66
2025-07-18,110127.66
2025-07-21,110127.66
2025-07-22,110127.66
2025-07-23,110127.66
2025-07-24,110127.66
2025-07-25,110127.66
2025-07-28,110127.66
2025-07-29,110127.66
2025-07-30,110127.66
2025-07-31,110127.66
2025-08-01,110127.66
2025-08-04,110127.66
2025-08-05,110127.66
2025-08-06,110127.66
2025-08-07,110127.66
2025-08-08,110127.66
2025-08-11,110127.66
2025-08-12,110127.66
2025-08-13,110127.66
2025-08-14,110127.66
2025-08-15,110127.66
2025-08-18,110127.66
2025-08-19,110127.66
2025-08-20,110127.66
2025-08-21,110127.66
2025-08-22,110127.66
2025-08-25,110127.66
2025-08-26,110127.66
2025-08-27,110127.66
2025-08-28,110127.66
2025-08-29,110127.66
2025-09-02,110127.66
2025-09-03,110127.66
2025-09-04,110127.66
2025-09-05,110127.66
2025-09-08,110127.66
2025-09-09,110127.66
2025-09-10,110127.66
2025-09-11,110127.66
2025-09-12,110127.66
2025-09-15,110127.66
2025-09-16,110127.66
2025-09-17,110127.66
2025-09-18,110127.66
2025-09-19,110127.66
2025-09-22,110127.66
2025-09-23,110127.66
2025-09-24,110127.66
2025-09-25,110127.66
2025-09-26,110127.66
2025-09-29,110127.66
2025-09-30,110127.66
2025-10-01,110127.66
2025-10-02,110127.66
2025-10-03,110127.66
2025-10-06,110127.66
2025-10-07,110127.66
2025-10-08,110127.66
2025-10-09,110127.66
2025-10-10,110127.66
2025-10-13,110127.66
2025-10-14,110127.66
2025-10-15,110127.66
2025-10-16,110127.66
2025-10-17,111931.065
2025-10-20,115246.84499999999
2025-10-21,119873.895
2025-10-22,118742.47499999999
2025-10-23,118752.285
2025-10-24,118556.08499999999
2025-10-27,119955.645
2025-10-28,120645.615
2025-10-29,113435.265
2025-10-30,113759.405
2025-10-31,113932.525
2025-11-03,113507.34499999999
2025-11-04,113149.485
2025-11-05,113178.645
2025-11-06,111839.485
2025-11-07,111797.565
2025-11-10,112109.72499999999
2025-11-11,112824.075
2025-11-12,113424.305
2025-11-13,112841.525
2025-11-14,112470.575
2025-11-17,111455.425
2025-11-18,111363.655
2025-11-19,110355.77500000001
2025-11-20,109421.1
2025-11-21,111732.08
2025-11-24,110696.49000000002
2025-11-25,111177.87
2025-11-26,110991.52
2025-11-28,111090.38
2025-12-01,110273.24
2025-12-02,110523.77
2025-12-03,111082.25000000001
2025-12-04,111076.29000000001
2025-12-05,112425.74
2025-12-08,112259.69
2025-12-09,112379.69
2025-12-10,114511.76000000001
2025-12-11,114196.925
2025-12-12,112736.84
2025-12-15,113471.91
2025-12-16,113932.68
2025-12-17,113496.53
2025-12-18,112725.04000000001
2025-12-19,112339.6
2025-12-22,112610.35
2025-12-23,112390.46
2025-12-24,113229.29000000001
2025-12-26,112911.19
2025-12-29,113408.43
2025-12-30,113539.94
2025-12-31,113285.47
2026-01-02,113340.81
2026-01-05,113549.44
2026-01-06,113749.85
2026-01-07,112639.31000000001
2026-01-08,113362.12000000001
2026-01-09,113594.66
2026-01-12,112567.62
2026-01-13,110267.26
2026-01-14,111433.16
2026-01-15,109407.90000000001
2026-01-16,108137.2
2026-01-20,106680.48
2026-01-21,106727.64
2026-01-22,106727.64
2026-01-23,106727.64
2026-01-26,106727.64
2026-01-27,106727.64
2026-01-28,106727.64
2026-01-29,106727.64
2026-01-30,106727.64
2026-02-02,106727.64
2026-02-03,106727.64
2026-02-04,106727.64
2026-02-05,106727.64
2026-02-06,106727.64
2026-02-09,106727.64
2026-02-10,106727.64
2026-02-11,106727.64
2026-02-12,106727.64
2026-02-13,106727.64
2026-02-17,106727.64
2026-02-18,106727.64
2026-02-19,106727.64
2026-02-20,106727.64
2026-02-23,106727.64
2026-02-24,106727.64
2026-02-25,106727.64
2026-02-26,106727.64
2026-02-27,106727.64
2026-03-02,106727.64
2026-03-03,106727.64
2026-03-04,106727.64
2026-03-05,106727.64
2026-03-06,106727.64
2026-03-09,106727.64
2026-03-10,106727.64
2026-03-11,106727.64
2026-03-12,106727.64
