,gross_exposure
2025-03-14,0.0
2025-03-17,0.0
2025-03-18,0.0
2025-03-19,0.0
2025-03-20,0.0
2025-03-21,0.0
2025-03-24,0.0
2025-03-25,0.0
2025-03-26,0.0
2025-03-27,0.0
2025-03-28,0.0
2025-03-31,0.11392058858810832
2025-04-01,0.11526737458712738
2025-04-02,0.11530552156546488
2025-04-03,0.11196797628918155
2025-04-04,0.10434446262793737
2025-04-07,0.0
2025-04-08,0.9969507424458299
2025-04-09,0.9971951023191069
2025-04-10,0.11493562248396619
2025-04-11,0.1148704310694064
2025-04-14,0.11685275044917331
2025-04-15,0.11752860624167803
2025-04-16,0.11376360480789612
2025-04-17,0.11414788276708113
2025-04-21,0.1125417285849924
2025-04-22,0.11432153384489205
2025-04-23,0.11610086538814933
2025-04-24,0.11867385427632804
2025-04-25,0.0
2025-04-28,0.6076921057548724
2025-04-29,0.6090518181618828
2025-04-30,0.6105795060965749
2025-05-01,0.6089848011942179
2025-05-02,0.6155962768303579
2025-05-05,0.6096848350597789
2025-05-06,0.6079928721106213
2025-05-07,0.6104961766752474
2025-05-08,0.6165637526488837
2025-05-09,0.6129328537543274
2025-05-12,0.6210682763151643
2025-05-13,0.6127071552339807
2025-05-14,0.6132465226192901
2025-05-15,0.6102578055764294
2025-05-16,0.6123992475773236
2025-05-19,0.6105760360907543
2025-05-20,0.61196735343227
2025-05-21,0.6098974398661522
2025-05-22,0.6103477929981276
2025-05-23,0.6093208579621097
2025-05-27,0.6134918123215949
2025-05-28,0.6006157027595794
2025-05-29,0.5997486317578138
2025-05-30,0.6012617329277978
2025-06-02,0.6025547437376292
2025-06-03,0.6041896137983137
2025-06-04,0.6054140639932203
2025-06-05,0.6066450676421065
2025-06-06,0.6072928440583777
2025-06-09,0.6092999857347463
2025-06-10,0.611981079149731
2025-06-11,0.6123307571545017
2025-06-12,0.6102439576684705
2025-06-13,0.6064051308569873
2025-06-16,0.6070818471687189
2025-06-17,0.6055417663823716
2025-06-18,0.6051441983412256
2025-06-20,0.6042395943975053
2025-06-23,0.6042681490730598
2025-06-24,0.606588638249546
2025-06-25,0.6089866344834629
2025-06-26,0.6101747033651755
2025-06-27,0.6127823471577971
2025-06-30,0.6155171189508611
2025-07-01,0.6168064969734353
2025-07-02,0.0
2025-07-03,0.0
2025-07-07,0.0
2025-07-08,0.0
2025-07-09,0.0
2025-07-10,0.0
2025-07-11,0.0
2025-07-14,0.0
2025-07-15,0.0
2025-07-16,0.0
2025-07-17,0.0
2025-07-18,0.0
2025-07-21,0.0
2025-07-22,0.0
2025-07-23,0.0
2025-07-24,0.0
2025-07-25,0.0
2025-07-28,0.0
2025-07-29,0.0
2025-07-30,0.0
2025-07-31,0.0
2025-08-01,0.0
2025-08-04,0.0
2025-08-05,0.0
2025-08-06,0.0
2025-08-07,0.0
2025-08-08,0.0
2025-08-11,0.0
2025-08-12,0.0
2025-08-13,0.0
2025-08-14,0.0
2025-08-15,0.0
2025-08-18,0.0
2025-08-19,0.0
2025-08-20,0.0
2025-08-21,0.0
2025-08-22,0.0
2025-08-25,0.0
2025-08-26,0.0
2025-08-27,0.0
2025-08-28,0.0
2025-08-29,0.0
2025-09-02,0.0
2025-09-03,0.0
2025-09-04,0.0
2025-09-05,0.0
2025-09-08,0.0
2025-09-09,0.0
2025-09-10,0.0
2025-09-11,0.0
2025-09-12,0.0
2025-09-15,0.0
2025-09-16,0.0
2025-09-17,0.0
