step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
15,2025-03-28,NASDAQ:ANSS,entry,0.34096504185130483,316.89,316.89,0.0,36.12472080834752,0.11447562776957243,
17,2025-04-01,NASDAQ:ANSS,trim,0.34096504185130483,316.89,320.79,36.0,35.75272373875026,0.11447562776957243,
18,2025-04-02,NASDAQ:ANSS,trim,0.34096504185130483,316.89,320.91,36.0,35.740895524806525,0.11447562776957243,
20,2025-04-04,NASDAQ:ANSS,exit,0.41288644900317834,316.89,286.85,36.0,0.0,,DD
21,2025-04-07,NASDAQ:ANSS,entry,0.41288644900317834,284.19,284.19,0.0,340.7988880678419,1.0,
23,2025-04-09,NASDAQ:ANSS,trim,0.34096504185130483,284.19,309.72,340.0,39.03119194141359,0.11447562776957243,
26,2025-04-14,NASDAQ:ANSS,trim,0.34096504185130483,284.19,302.1,40.0,39.186284389382905,0.11447562776957243,
27,2025-04-15,NASDAQ:ANSS,trim,0.34096504185130483,284.19,304.08,40.0,38.96094114625075,0.11447562776957243,
32,2025-04-23,NASDAQ:ANSS,trim,0.34096504185130483,284.19,308.6,39.0,38.4540586160784,0.11447562776957243,
33,2025-04-24,NASDAQ:ANSS,exit,0.3740949316170556,284.19,316.36,39.0,0.0,,target
34,2025-04-25,NASDAQ:ANSS,entry,0.3740949316170556,320.68,320.68,0.0,198.01160265730624,0.6114239742558342,
39,2025-05-02,NASDAQ:ANSS,trim,0.3740949316170556,320.68,328.76,198.0,196.6580232193585,0.6114239742558342,
43,2025-05-08,NASDAQ:ANSS,trim,0.3740949316170556,320.68,334.45,197.0,195.3577751058496,0.6114239742558342,
44,2025-05-09,NASDAQ:ANSS,trim,0.3740949316170556,320.68,333.74,196.0,195.51749954355813,0.6114239742558342,
45,2025-05-12,NASDAQ:ANSS,trim,0.3740949316170556,320.68,345.43,196.0,192.95640032551034,0.6114239742558342,
46,2025-05-13,NASDAQ:ANSS,trim,0.3740949316170556,320.68,347.08,193.0,192.59580375932168,0.6114239742558342,
47,2025-05-14,NASDAQ:ANSS,trim,0.3740949316170556,320.68,347.87,193.0,192.4264103893413,0.6114239742558342,
49,2025-05-16,NASDAQ:ANSS,trim,0.3740949316170556,320.68,346.63,193.0,192.69263882705263,0.6114239742558342,
51,2025-05-20,NASDAQ:ANSS,trim,0.3740949316170556,320.68,346.0,193.0,192.8286310855245,0.6114239742558342,
55,2025-05-27,NASDAQ:ANSS,trim,0.3740949316170556,320.68,348.23,193.0,192.34947339365203,0.6114239742558342,
79,2025-07-01,NASDAQ:ANSS,exit,,320.68,353.14,193.0,0.0,,target
154,2025-10-16,NASDAQ:ADBE,entry,0.4518647007805725,329.23,329.23,0.0,327.81066974455547,1.0,
163,2025-10-29,NASDAQ:ADBE,trim,0.36447558669780894,329.23,337.86,327.0,156.8384728776607,0.4671338004671338,
163,2025-10-29,NASDAQ:ADSK,entry,0.4518647007805725,297.08,297.08,0.0,9.748027803958525,0.5328661995328662,
179,2025-11-20,NASDAQ:ADBE,exit,0.4518647007805725,329.23,312.4,157.0,0.0,,DD
179,2025-11-20,NASDAQ:CHTR,entry,0.4518647007805725,194.71,194.71,0.0,262.5149930373083,0.4671338004671338,
211,2026-01-08,NASDAQ:ADSK,exit,,297.08,276.58,9.0,0.0,,DD
218,2026-01-20,NASDAQ:CHTR,exit,,194.71,184.2,262.0,0.0,,DD
