,equity
2026-03-02,100000.0
2026-03-03,100000.0
2026-03-04,100000.0
2026-03-05,100000.0
2026-03-06,100000.0
2026-03-09,100000.0
2026-03-10,100000.0
2026-03-11,100000.0
2026-03-12,100000.0
2026-03-13,100000.0
2026-03-16,100279.565
2026-03-17,100830.875
2026-03-18,99153.485
2026-03-19,98932.20500000002
2026-03-20,98925.84500000002
2026-03-23,98931.75500000002
2026-03-24,98927.73500000002
2026-03-25,98944.23500000002
2026-03-26,98941.92500000002
2026-03-27,98928.75500000002
2026-03-30,98929.44500000002
2026-03-31,98937.99500000002
2026-04-01,98942.28500000002
2026-04-02,98926.26500000003
2026-04-06,98910.15500000003
2026-04-07,98902.44500000002
2026-04-08,98931.87500000001
2026-04-09,96660.82500000003
2026-04-10,94824.82500000003
2026-04-13,95732.55500000002
2026-04-14,93422.13500000001
2026-04-15,95473.20481201173
2026-04-16,95482.16501708985
2026-04-17,95591.92496582032
2026-04-20,95585.20481201173
2026-04-21,95571.76493164063
2026-04-22,95594.16501708985
2026-04-23,96039.92496582032
2026-04-24,96194.48465820313
2026-04-27,95885.56464111329
2026-04-28,95603.38464111328
2026-04-29,97820.95464111329
2026-04-30,97103.6646447754
2026-05-01,98432.0146282959
2026-05-04,99854.39461547852
2026-05-05,100517.52460998537
2026-05-06,95943.52460083009
2026-05-07,104122.61961914063
2026-05-08,104222.95963745119
2026-05-11,104471.06960266115
2026-05-12,103229.88960266116
2026-05-13,103901.87960266115
2026-05-14,104614.45960266115
2026-05-15,105193.78960266116
2026-05-18,106208.53960266116
2026-05-19,105150.12960266115
2026-05-20,104464.14960266114
2026-05-21,107028.24960266115
2026-05-22,108500.10960266115
2026-05-26,107114.83082214357
2026-05-27,108007.26838317873
2026-05-28,107321.28919616701
2026-05-29,108506.76838317873
2026-06-01,109112.83082214357
2026-06-02,113555.04960266115
2026-06-03,112556.04960266115
2026-06-04,114887.04960266115
2026-06-05,109319.28919616701
2026-06-08,110990.9506188965
2026-06-09,108466.81000915529
2026-06-10,107427.85163513185
2026-06-11,109445.83082214357
2026-06-12,108959.6485864258
