,gross_exposure
2026-03-02,0.0
2026-03-03,0.0
2026-03-04,0.0
2026-03-05,0.0
2026-03-06,0.0
2026-03-09,0.0
2026-03-10,0.0
2026-03-11,0.0
2026-03-12,0.0
2026-03-13,0.0
2026-03-16,0.9857703311736543
2026-03-17,0.9858481343140183
2026-03-18,0.9856087257043965
2026-03-19,0.010610902688361132
2026-03-20,0.010547294288969621
2026-03-23,0.010606402362921768
2026-03-24,0.010566197639114991
2026-03-25,0.010731196213705562
2026-03-26,0.010708099726177712
2026-03-27,0.010576399147042712
2026-03-30,0.010583300047827012
2026-03-31,0.010668803223675622
2026-04-01,0.01071169924971913
2026-04-02,0.010551495095867681
2026-04-06,0.010390338585557834
2026-04-07,0.010313192965047525
2026-04-08,0.010607602453708604
2026-04-09,0.9515333642145096
2026-04-10,0.9505949523239297
2026-04-13,0.0498256836454433
2026-04-14,0.9360963544667438
2026-04-15,0.06100140883997295
2026-04-16,0.061089526028595124
2026-04-17,0.06216759580825956
2026-04-20,0.062101661148023735
2026-04-21,0.06196976820366476
2026-04-22,0.0621895719682819
2026-04-23,0.06654232764220702
2026-04-24,0.06804215303453208
2026-04-27,0.611818371405263
2026-04-28,0.9962708993781798
2026-04-29,0.9942313521353009
2026-04-30,0.7829732307231041
2026-05-01,0.7859020289040731
2026-05-04,0.7889517561650108
2026-05-05,0.790344074781272
2026-05-06,0.7803489635128495
2026-05-07,0.830881899752302
2026-05-08,0.5640029818681703
2026-05-11,0.7813321937877505
2026-05-12,0.21692728807706413
2026-05-13,0.22199184546233408
2026-05-14,0.22729123765788817
2026-05-15,0.2315467490238969
2026-05-18,0.23888879458205334
2026-05-19,0.7307939637390162
2026-05-20,0.7290261806530798
2026-05-21,0.7355179617741098
2026-05-22,0.7391057971616384
2026-05-26,0.7357317433506201
2026-05-27,0.737915327121913
2026-05-28,0.7362401270551254
2026-05-29,0.7391218075659743
2026-06-01,0.7405708440577232
2026-06-02,0.7507195875330076
2026-06-03,0.7485070797830142
2026-06-04,0.7536097436520341
2026-06-05,0.7410607971310001
2026-06-08,0.7449607427919281
2026-06-09,0.7390257019610713
2026-06-10,0.7365017621426214
2026-06-11,0.741360183480521
2026-06-12,0.7402061224508424
