step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
14,2026-03-13,NASDAQ:AAPL,entry,0.40926966292134837,250.12,250.12,0.0,391.8119302734687,1.0,
17,2026-03-18,NASDAQ:AAPL,exit,0.32177824821381323,250.12,249.94,391.0,0.0,,breakeven
17,2026-03-18,NASDAQ:AMGN,entry,0.40926966292134837,351.48,351.48,0.0,3.97862211221124,1.0,
31,2026-04-08,NASDAQ:AMGN,exit,0.25789192081326917,351.48,349.81,3.0,0.0,,breakeven
31,2026-04-08,NASDAQ:ADBE,entry,0.40926966292134837,239.31,239.31,0.0,400.8390627219925,1.0,
33,2026-04-10,NASDAQ:ADBE,exit,0.40926966292134837,239.31,225.35,400.0,0.0,,DD
33,2026-04-10,NASDAQ:ADSK,entry,0.40926966292134837,218.45,218.45,0.0,21.016839093614216,1.0,
34,2026-04-13,NASDAQ:ADSK,exit,0.32177824821381323,218.45,227.14,21.0,0.0,,breakeven
34,2026-04-13,NASDAQ:ADBE,entry,0.40926966292134837,240.11,240.11,0.0,371.2605168464454,1.0,
35,2026-04-14,NASDAQ:ADBE,exit,0.3092723004694837,240.11,235.72,371.0,0.0,,breakeven
35,2026-04-14,NASDAQ:KDP,entry,0.40926966292134837,26.020000457763672,26.020000457763672,0.0,224.8506762902207,1.0,
43,2026-04-24,NASDAQ:KDP,exit,0.3470544737490757,26.020000457763672,29.219999313354492,224.0,0.0,,target
43,2026-04-24,NASDAQ:ADP,entry,0.3470544737490757,196.53,196.53,0.0,100.74019471952236,0.2058171062361358,
43,2026-04-24,NASDAQ:ADSK,entry,0.3470544737490757,237.44,237.44,0.0,83.38304610944967,0.2058171062361358,
43,2026-04-24,NASDAQ:CDW,entry,0.3470544737490757,135.32,135.32,0.0,146.3085313939383,0.2058171062361358,
44,2026-04-27,NASDAQ:FTNT,entry,0.40926966292134837,85.67,85.67,0.0,425.78025386122357,0.3825486812915926,
45,2026-04-28,NASDAQ:ADP,trim,0.3470544737490757,196.53,199.17,100.0,98.79405519513064,0.2058171062361358,
46,2026-04-29,NASDAQ:ADP,exit,0.25789192081326917,196.53,215.06,99.0,0.0,,breakeven
46,2026-04-29,NASDAQ:PANW,entry,0.40926966292134837,181.5399932861328,181.5399932861328,0.0,3.0462089277452056,0.2058171062361358,
51,2026-05-06,NASDAQ:CDW,exit,0.32177824821381323,135.32,109.0,146.0,0.0,,DD
51,2026-05-06,NASDAQ:ADI,entry,0.4680284191829486,415.63,415.63,0.0,47.51057092952471,0.2058171062361358,
52,2026-05-07,NASDAQ:FTNT,exit,0.4059356136820927,85.67,107.97,425.0,0.0,,target
52,2026-05-07,NASDAQ:AMAT,entry,0.4680284191829486,410.64,410.64,0.0,42.02425294746418,0.3825486812915926,
53,2026-05-08,NASDAQ:ADSK,exit,0.32177824821381323,237.44,244.5,83.0,0.0,,breakeven
53,2026-05-08,NASDAQ:PANW,exit,0.4059356136820927,181.5399932861328,207.8800048828125,3.0,0.0,,target
53,2026-05-08,NASDAQ:AMD,entry,0.4680284191829486,455.19,455.19,0.0,94.2501722618941,0.4116342124722716,
54,2026-05-11,NASDAQ:ADI,exit,0.32177824821381323,415.63,422.73,47.0,0.0,,breakeven
54,2026-05-11,NASDAQ:AMAT,exit,0.32177824821381323,410.64,443.62,42.0,0.0,,breakeven
54,2026-05-11,NASDAQ:AMD,exit,0.32177824821381323,455.19,458.79,94.0,0.0,,breakeven
54,2026-05-11,NASDAQ:CRWD,entry,0.4680284191829486,542.26,542.26,0.0,41.285675525777165,1.0,
59,2026-05-18,NASDAQ:CRWD,exit,0.4059356136820927,542.26,618.83,41.0,0.0,,target
59,2026-05-18,NASDAQ:CSCO,entry,0.4680284191829486,118.88,118.88,0.0,666.3844163072673,1.0,
