,equity
2026-03-02,100000.0
2026-03-03,100000.0
2026-03-04,100000.0
2026-03-05,100000.0
2026-03-06,100000.0
2026-03-09,100000.0
2026-03-10,100000.0
2026-03-11,100000.0
2026-03-12,100000.0
2026-03-13,100000.0
2026-03-16,99811.745
2026-03-17,99555.82500000001
2026-03-18,97512.45999999999
2026-03-19,97216.78
2026-03-20,96979.34
2026-03-23,97475.01
2026-03-24,97863.18
2026-03-25,98171.9
2026-03-26,97322.92
2026-03-27,98462.45999999999
2026-03-30,99701.88
2026-03-31,100460.06
2026-04-01,101256.82999999999
2026-04-02,101883.35
2026-04-06,102571.22
2026-04-07,101654.66
2026-04-08,102578.06
2026-04-09,101348.79000000001
2026-04-10,99833.86
2026-04-13,101467.31
2026-04-14,100493.70999999999
2026-04-15,101736.01832153319
2026-04-16,102890.08197357177
2026-04-17,103795.96147010803
2026-04-20,104075.66998947143
2026-04-21,104228.96127227783
2026-04-22,104527.04196365355
2026-04-23,107298.49147010803
2026-04-24,107841.45150978088
2026-04-27,107940.39132225036
2026-04-28,108306.75238533018
2026-04-29,109265.91138389587
2026-04-30,109049.37131614683
2026-05-01,112377.32143844603
2026-05-04,112826.0315133667
2026-05-05,113497.7117717743
2026-05-06,112388.22075614928
2026-05-07,115149.45099143982
2026-05-08,118123.57202163695
2026-05-11,118485.60216690063
2026-05-12,118127.4223121643
2026-05-13,119620.13231216429
2026-05-14,121691.23224990844
2026-05-15,123664.64227066039
2026-05-18,125992.0122706604
2026-05-19,124403.36326248167
2026-05-20,124559.46368621825
2026-05-21,124759.41305526732
2026-05-22,125725.85391845701
2026-05-26,126803.8027101898
2026-05-27,128018.79388870238
2026-05-28,127886.27469505309
2026-05-29,127311.74613441466
2026-06-01,126892.85581840514
2026-06-02,128051.1756197357
2026-06-03,127544.9778601074
2026-06-04,130012.8884436035
2026-06-05,127228.2981878662
2026-06-08,127659.10015167235
2026-06-09,126982.2490774536
2026-06-10,126407.35170997618
2026-06-11,125475.25948776244
2026-06-12,125390.290308609
