,gross_exposure
2026-03-02,0.0
2026-03-03,0.0
2026-03-04,0.0
2026-03-05,0.0
2026-03-06,0.0
2026-03-09,0.0
2026-03-10,0.0
2026-03-11,0.0
2026-03-12,0.0
2026-03-13,0.0
2026-03-16,0.9859575143185804
2026-03-17,0.9808397449370743
2026-03-18,0.9778475489183639
2026-03-19,0.42238119797837365
2026-03-20,0.4209669812147617
2026-03-23,0.4478623803167602
2026-03-24,0.4500524099053393
2026-03-25,0.45178182351569035
2026-03-26,0.44699953515574753
2026-03-27,0.45339960021311676
2026-03-30,0.4601945319386155
2026-03-31,0.46426848640146146
2026-04-01,0.4684840518906231
2026-04-02,0.4717525483800838
2026-04-06,0.4498002461119211
2026-04-07,0.4448394200521649
2026-04-08,0.4498369339408447
2026-04-09,0.6294720440174963
2026-04-10,0.9500552217454078
2026-04-13,0.4770906018894164
2026-04-14,0.4713335789871824
2026-04-15,0.5111267460424467
2026-04-16,0.9428655344979731
2026-04-17,0.6668042770737893
2026-04-20,0.8713679150928544
2026-04-21,0.8715570964591923
2026-04-22,0.8719233782248531
2026-04-23,0.8752315131794436
2026-04-24,0.5711479131794535
2026-04-27,0.750430759554561
2026-04-28,0.9302968492488191
2026-04-29,0.9309087180688803
2026-04-30,0.8662205782544008
2026-05-01,0.8683429036052813
2026-05-04,0.8511329226766392
2026-05-05,0.8627034738046271
2026-05-06,0.8800178411700633
2026-05-07,0.7994589539545875
2026-05-08,0.6834516474108352
2026-05-11,0.5800888781802089
2026-05-12,0.4765504832400857
2026-05-13,0.48308248009596305
2026-05-14,0.49188005592372297
2026-05-15,0.605348292167103
2026-05-18,0.6126384411908832
2026-05-19,0.549357580274514
2026-05-20,0.8031719769128349
2026-05-21,0.8034874291746215
2026-05-22,0.804997999774518
2026-05-26,0.8066556958848543
2026-05-27,0.8084906735219642
2026-05-28,0.6155006042157232
2026-05-29,0.6137654470826723
2026-06-01,0.6124904350823367
2026-06-02,0.6159957523906452
2026-06-03,0.47633752969314086
2026-06-04,0.8044627783380197
2026-06-05,0.7992586605886586
2026-06-08,0.7990175478214201
2026-06-09,0.796077804779577
2026-06-10,0.7938614421838902
2026-06-11,0.6891133824775828
2026-06-12,0.807211717004018
