step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
14,2026-03-13,NASDAQ:AAPL,entry,0.40926966292134837,250.12,250.12,0.0,227.69969291144758,0.5695224719101127,
14,2026-03-13,NASDAQ:AMGN,entry,0.40926966292134837,366.21,366.21,0.0,112.0880172824028,0.43047752808988726,
15,2026-03-16,NASDAQ:AAPL,trim,0.40926966292134837,250.12,252.82,227.0,224.84388789677178,0.5695224719101127,
16,2026-03-17,NASDAQ:AAPL,trim,0.40926966292134837,250.12,254.23,225.0,223.02355956043976,0.5695224719101127,
17,2026-03-18,NASDAQ:AAPL,exit,0.32177824821381323,250.12,249.94,224.0,0.0,,breakeven
17,2026-03-18,NASDAQ:ANSS,entry,0.40926966292134837,374.3,374.3,0.0,5.655723216671127,0.5695224719101127,
19,2026-03-20,NASDAQ:AMGN,exit,0.40926966292134837,366.21,347.8,112.0,0.0,,DD
19,2026-03-20,NASDAQ:AZN,entry,0.40926966292134837,183.6,183.6,0.0,227.38249759797785,0.43047752808988726,
28,2026-04-02,NASDAQ:AZN,exit,0.40926966292134837,183.6,203.49,227.0,0.0,,target
28,2026-04-02,NASDAQ:AAPL,entry,0.40926966292134837,255.92,255.92,0.0,171.37579189401694,0.43047752808988726,
31,2026-04-08,NASDAQ:ANSS,exit,0.3092723004694837,374.3,374.3,5.0,0.0,,breakeven
31,2026-04-08,NASDAQ:AAPL,trim,0.3470544737490757,255.92,258.9,171.0,40.77311601490288,0.1029085531180679,
31,2026-04-08,NASDAQ:ADBE,entry,0.40926966292134837,239.31,239.31,0.0,231.10595796247543,0.5695224719101127,
32,2026-04-09,NASDAQ:AAPL,trim,0.3470544737490757,255.92,260.49,41.0,40.03860931001923,0.1029085531180679,
32,2026-04-09,NASDAQ:ADSK,entry,0.40926966292134837,225.13,225.13,0.0,147.46466155081143,0.32756897497181936,
33,2026-04-10,NASDAQ:AAPL,trim,0.3470544737490757,255.92,260.48,41.0,39.44163883903468,0.1029085531180679,
33,2026-04-10,NASDAQ:ADBE,exit,0.40926966292134837,239.31,225.35,231.0,0.0,,DD
33,2026-04-10,NASDAQ:AZN,entry,0.40926966292134837,204.03,204.03,0.0,23.949695632995184,0.5695224719101127,
34,2026-04-13,NASDAQ:AAPL,exit,0.3092723004694837,255.92,259.2,40.0,0.0,,breakeven
34,2026-04-13,NASDAQ:ADSK,exit,0.32177824821381323,225.13,227.14,147.0,0.0,,breakeven
34,2026-04-13,NASDAQ:ADBE,entry,0.40926966292134837,240.11,240.11,0.0,181.91410932793428,0.43047752808988726,
