,equity
2026-03-02,100000.0
2026-03-03,100000.0
2026-03-04,100000.0
2026-03-05,100000.0
2026-03-06,100000.0
2026-03-09,100000.0
2026-03-10,100000.0
2026-03-11,100000.0
2026-03-12,100000.0
2026-03-13,100000.0
2026-03-16,99811.745
2026-03-17,99555.82500000001
2026-03-18,97512.45999999999
2026-03-19,97216.78
2026-03-20,96979.34
2026-03-23,97475.01
2026-03-24,97863.18
2026-03-25,98171.9
2026-03-26,97322.92
2026-03-27,98462.45999999999
2026-03-30,99701.88
2026-03-31,100460.06
2026-04-01,101256.82999999999
2026-04-02,101883.35
2026-04-06,102571.22
2026-04-07,101654.66
2026-04-08,102578.06
2026-04-09,101348.79000000001
2026-04-10,99833.86
2026-04-13,101467.31
2026-04-14,100493.70999999999
2026-04-15,101736.01832153319
2026-04-16,102890.08197357177
2026-04-17,103829.00147010802
2026-04-20,103647.05998947143
2026-04-21,103419.19127227782
2026-04-22,103615.62196365357
2026-04-23,105481.72147010802
2026-04-24,105763.8915193939
2026-04-27,105594.71127563475
2026-04-28,105385.85091781615
2026-04-29,105625.86127563476
2026-04-30,105962.58116828918
2026-05-01,106925.4611325073
2026-05-04,107330.17127563476
2026-05-05,107728.7816692352
2026-05-06,105848.50109672546
2026-05-07,106618.60095359801
2026-05-08,106856.79163345337
2026-05-11,107341.40163345337
2026-05-12,106666.74163345336
2026-05-13,107732.09163345337
2026-05-14,108861.79163345337
2026-05-15,109780.24163345338
2026-05-18,111388.99163345338
2026-05-19,110490.98163345337
2026-05-20,109887.40163345337
2026-05-21,112143.50163345337
2026-05-22,113438.56163345337
2026-05-26,112219.68270645142
2026-05-27,113004.92056045533
2026-05-28,112401.34127578736
2026-05-29,113444.42056045533
2026-06-01,113977.68270645142
2026-06-02,117886.30163345337
2026-06-03,117007.30163345337
2026-06-04,119058.30163345337
2026-06-05,114159.34127578736
2026-06-08,115226.35123977662
2026-06-09,113681.5601173401
2026-06-10,112879.53278884888
2026-06-11,113447.9818397522
2026-06-12,113158.24058303834
