,equity
2025-03-14,100000.0
2025-03-17,100000.0
2025-03-18,100000.0
2025-03-19,100000.0
2025-03-20,100000.0
2025-03-21,100000.0
2025-03-24,100000.0
2025-03-25,100000.0
2025-03-26,100000.0
2025-03-27,100000.0
2025-03-28,100000.0
2025-03-31,100000.0
2025-04-01,100000.0
2025-04-02,100000.0
2025-04-03,100000.0
2025-04-04,98418.28
2025-04-07,98041.95999999999
2025-04-08,97023.10999999999
2025-04-09,102098.95
2025-04-10,100685.97
2025-04-11,100682.36
2025-04-14,100792.37
2025-04-15,100829.99
2025-04-16,100782.68
2025-04-17,100804.53
2025-04-21,100713.33
2025-04-22,100814.41
2025-04-23,100915.87
2025-04-24,101063.31
2025-04-25,101008.4
2025-04-28,100891.28
2025-04-29,101066.0
2025-04-30,101263.76
2025-05-01,101057.36
2025-05-02,101924.23999999999
2025-05-05,101554.55
2025-05-06,101336.05
2025-05-07,101660.0
2025-05-08,102462.75
2025-05-09,102395.5
2025-05-12,103494.36
2025-05-13,103644.54000000001
2025-05-14,103717.22
2025-05-15,103317.02
2025-05-16,103603.14000000001
2025-05-19,103359.34000000001
2025-05-20,103545.18000000001
2025-05-21,103269.18000000001
2025-05-22,103328.98000000001
2025-05-23,103192.82
2025-05-27,103750.34000000001
2025-05-28,102066.74
2025-05-29,101957.26000000001
2025-05-30,102148.62000000001
2025-06-02,102313.30000000002
2025-06-03,102523.06
2025-06-04,102681.30000000002
2025-06-05,102841.38
2025-06-06,102926.02
2025-06-09,103190.06
2025-06-10,103547.02
2025-06-11,103593.94
2025-06-12,103315.18000000001
2025-06-13,102810.1
2025-06-16,102898.42000000001
2025-06-17,102697.86000000002
2025-06-18,102646.34000000001
2025-06-20,102529.5
2025-06-23,102533.18000000001
2025-06-24,102834.02
2025-06-25,103148.66
2025-06-26,103305.98000000001
2025-06-27,103654.66
2025-06-30,104025.42000000001
2025-07-01,104202.06
2025-07-02,104025.42000000001
2025-07-03,104025.42000000001
2025-07-07,104025.42000000001
2025-07-08,104025.42000000001
2025-07-09,104025.42000000001
2025-07-10,104025.42000000001
2025-07-11,104025.42000000001
2025-07-14,104025.42000000001
2025-07-15,104025.42000000001
2025-07-16,104025.42000000001
2025-07-17,104025.42000000001
2025-07-18,104025.42000000001
2025-07-21,104025.42000000001
2025-07-22,104025.42000000001
2025-07-23,104025.42000000001
2025-07-24,104025.42000000001
2025-07-25,104025.42000000001
2025-07-28,104025.42000000001
2025-07-29,104025.42000000001
2025-07-30,104025.42000000001
2025-07-31,104025.42000000001
2025-08-01,104025.42000000001
2025-08-04,104025.42000000001
2025-08-05,104025.42000000001
2025-08-06,104025.42000000001
2025-08-07,104025.42000000001
2025-08-08,104025.42000000001
2025-08-11,104025.42000000001
2025-08-12,104025.42000000001
2025-08-13,104025.42000000001
2025-08-14,104025.42000000001
2025-08-15,104025.42000000001
2025-08-18,104025.42000000001
2025-08-19,104025.42000000001
2025-08-20,104025.42000000001
2025-08-21,104025.42000000001
2025-08-22,104025.42000000001
2025-08-25,104025.42000000001
2025-08-26,104025.42000000001
2025-08-27,104025.42000000001
2025-08-28,104025.42000000001
2025-08-29,104025.42000000001
2025-09-02,104025.42000000001
2025-09-03,104025.42000000001
2025-09-04,104025.42000000001
2025-09-05,104025.42000000001
2025-09-08,104025.42000000001
2025-09-09,104025.42000000001
2025-09-10,104025.42000000001
2025-09-11,104025.42000000001
2025-09-12,104025.42000000001
2025-09-15,104025.42000000001
2025-09-16,104025.42000000001
2025-09-17,104025.42000000001
2025-09-18,104025.42000000001
2025-09-19,104025.42000000001
2025-09-22,104025.42000000001
2025-09-23,104025.42000000001
2025-09-24,104025.42000000001
2025-09-25,104025.42000000001
2025-09-26,104025.42000000001
2025-09-29,104025.42000000001
2025-09-30,104025.42000000001
2025-10-01,104025.42000000001
2025-10-02,104025.42000000001
2025-10-03,104025.42000000001
2025-10-06,104025.42000000001
2025-10-07,104025.42000000001
2025-10-08,104025.42000000001
2025-10-09,104025.42000000001
2025-10-10,104025.42000000001
2025-10-13,104025.42000000001
2025-10-14,104025.42000000001
2025-10-15,104025.42000000001
2025-10-16,104025.42000000001
2025-10-17,105704.16000000002
2025-10-20,108676.35
2025-10-21,112719.57
2025-10-22,111808.88999999998
2025-10-23,111911.79000000001
2025-10-24,111889.02000000002
2025-10-27,112728.34999999999
2025-10-28,113026.58
2025-10-29,108423.05
2025-10-30,108813.53
2025-10-31,108985.17
2025-11-03,108506.56000000001
2025-11-04,107988.55
2025-11-05,107599.38999999998
2025-11-06,106787.08
2025-11-07,107051.33
2025-11-10,107366.22
2025-11-11,108407.51000000001
2025-11-12,109477.09999999999
2025-11-13,107307.07
2025-11-14,106768.54
2025-11-17,104432.21
2025-11-18,104368.1
2025-11-19,103721.4
2025-11-20,103074.555
2025-11-21,104565.225
2025-11-24,104105.815
2025-11-25,104741.535
2025-11-26,104600.015
2025-11-28,104869.42499999999
2025-12-01,104397.745
2025-12-02,104684.035
2025-12-03,105008.31
2025-12-04,104823.875
2025-12-05,105449.90500000001
2025-12-08,104936.385
2025-12-09,105253.98500000002
2025-12-10,106227.07500000001
2025-12-11,106031.76000000001
2025-12-12,105390.585
2025-12-15,104866.99500000001
2025-12-16,105051.85500000001
2025-12-17,105045.175
2025-12-18,104115.02500000001
2025-12-19,105599.60500000001
2025-12-22,105703.55500000001
2025-12-23,105563.265
2025-12-24,106481.29500000001
2025-12-26,106650.89500000002
2025-12-29,106814.255
2025-12-30,106685.95500000002
2025-12-31,106443.645
2026-01-02,107123.715
2026-01-05,106141.66500000001
2026-01-06,108897.975
2026-01-07,109818.79500000001
2026-01-08,109925.085
2026-01-09,110577.645
2026-01-12,109426.845
2026-01-13,105884.02500000001
2026-01-14,103410.73500000002
2026-01-15,102211.305
2026-01-16,100220.355
2026-01-20,99859.035
2026-01-21,102313.815
2026-01-22,102710.29500000001
2026-01-23,101967.735
2026-01-26,102481.815
2026-01-27,102817.815
2026-01-28,103056.375
2026-01-29,103509.975
2026-01-30,104756.535
2026-02-02,104487.735
2026-02-03,103704.85500000001
2026-02-04,106624.695
2026-02-05,106594.45500000002
2026-02-06,111909.975
2026-02-09,111456.375
2026-02-10,111456.375
2026-02-11,111456.375
2026-02-12,111456.375
2026-02-13,111456.375
2026-02-17,111456.375
2026-02-18,111456.375
2026-02-19,111456.375
2026-02-20,111456.375
2026-02-23,111456.375
2026-02-24,111456.375
2026-02-25,111456.375
2026-02-26,111456.375
2026-02-27,111456.375
2026-03-02,111456.375
2026-03-03,111456.375
2026-03-04,111456.375
2026-03-05,111456.375
2026-03-06,111456.375
2026-03-09,111456.375
2026-03-10,111456.375
2026-03-11,111456.375
