step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
19,2025-04-03,NASDAQ:ANSS,entry,0.3740949316170556,310.45,310.45,0.0,98.47382416747209,0.3057119871279171,
20,2025-04-04,NASDAQ:ANSS,exit,0.41288644900317834,310.45,286.85,98.0,0.0,,DD
21,2025-04-07,NASDAQ:ANSS,entry,0.41288644900317834,284.19,284.19,0.0,205.83614969857263,0.5966483675238373,
22,2025-04-08,NASDAQ:ANSS,trim,0.41288644900317834,284.19,284.83,205.0,203.23940664110413,0.5966483675238373,
23,2025-04-09,NASDAQ:ANSS,trim,0.34096504185130483,284.19,309.72,204.0,18.86839951547234,0.057237813884786215,
27,2025-04-15,NASDAQ:ANSS,trim,0.34096504185130483,284.19,304.08,19.0,18.979506056382714,0.057237813884786215,
32,2025-04-23,NASDAQ:ANSS,trim,0.34096504185130483,284.19,308.6,19.0,18.717445836297085,0.057237813884786215,
33,2025-04-24,NASDAQ:ANSS,exit,0.3740949316170556,284.19,316.36,19.0,0.0,,target
34,2025-04-25,NASDAQ:ANSS,entry,0.3740949316170556,320.68,320.68,0.0,96.29374666524727,0.3057119871279171,
39,2025-05-02,NASDAQ:ANSS,trim,0.3740949316170556,320.68,328.76,96.0,94.77875029475219,0.3057119871279171,
43,2025-05-08,NASDAQ:ANSS,trim,0.3740949316170556,320.68,334.45,95.0,93.65851669634021,0.3057119871279171,
44,2025-05-09,NASDAQ:ANSS,trim,0.3740949316170556,320.68,333.74,94.0,93.7961640137731,0.3057119871279171,
45,2025-05-12,NASDAQ:ANSS,trim,0.3740949316170556,320.68,345.43,94.0,91.59443722934319,0.3057119871279171,
46,2025-05-13,NASDAQ:ANSS,trim,0.3740949316170556,320.68,347.08,92.0,91.29128235092455,0.3057119871279171,
47,2025-05-14,NASDAQ:ANSS,trim,0.3740949316170556,320.68,347.87,92.0,91.14783518436009,0.3057119871279171,
48,2025-05-15,NASDAQ:ANSS,trim,0.3740949316170556,320.68,343.52,92.0,91.94588812393675,0.3057119871279171,
49,2025-05-16,NASDAQ:ANSS,trim,0.3740949316170556,320.68,346.63,92.0,91.3732850650313,0.3057119871279171,
50,2025-05-19,NASDAQ:ANSS,trim,0.3740949316170556,320.68,343.98,92.0,91.86054194903777,0.3057119871279171,
51,2025-05-20,NASDAQ:ANSS,trim,0.3740949316170556,320.68,346.0,92.0,91.48844721190133,0.3057119871279171,
53,2025-05-22,NASDAQ:ANSS,trim,0.3740949316170556,320.68,343.65,92.0,91.92174539124343,0.3057119871279171,
55,2025-05-27,NASDAQ:ANSS,trim,0.3740949316170556,320.68,348.23,92.0,91.0826827286478,0.3057119871279171,
79,2025-07-01,NASDAQ:ANSS,exit,,320.68,353.14,92.0,0.0,,target
154,2025-10-16,NASDAQ:ADBE,entry,0.4518647007805725,329.23,329.23,0.0,280.88893665234144,0.8889852558542938,
154,2025-10-16,NASDAQ:ADSK,entry,0.4518647007805725,299.82,299.82,0.0,31.578437015374643,0.11101474414570622,
157,2025-10-21,NASDAQ:ADBE,trim,0.41288644900317834,329.23,357.55,280.0,188.09662264994802,0.5966483675238373,
157,2025-10-21,NASDAQ:BIIB,entry,0.4518647007805725,146.22,146.22,0.0,19.958569279168422,0.29233688833045646,
158,2025-10-22,NASDAQ:ADBE,trim,0.41288644900317834,329.23,354.09,189.0,188.4001008024861,0.5966483675238373,
159,2025-10-23,NASDAQ:ADBE,trim,0.41288644900317834,329.23,354.12,189.0,188.55751386583788,0.5966483675238373,
160,2025-10-24,NASDAQ:ADBE,trim,0.41288644900317834,329.23,353.52,189.0,188.8391070571453,0.5966483675238373,
161,2025-10-27,NASDAQ:ADBE,trim,0.41288644900317834,329.23,357.8,189.0,187.97983790149738,0.5966483675238373,
162,2025-10-28,NASDAQ:ADBE,trim,0.41288644900317834,329.23,359.91,188.0,187.37218872440997,0.5966483675238373,
163,2025-10-29,NASDAQ:ADBE,trim,0.36447558669780894,329.23,337.86,188.0,74.95422868161083,0.2335669002335669,
163,2025-10-29,NASDAQ:BKNG,entry,0.4518647007805725,5075.86,5075.86,0.0,6.349430244332982,0.36308146729027047,
173,2025-11-12,NASDAQ:BIIB,exit,0.41288644900317834,146.22,161.48,19.0,0.0,,target
173,2025-11-12,NASDAQ:CHTR,entry,0.4518647007805725,213.07,213.07,0.0,150.20507231164507,0.29233688833045646,
176,2025-11-17,NASDAQ:BKNG,exit,0.3740949316170556,5075.86,4804.01,6.0,0.0,,DD
176,2025-11-17,NASDAQ:CHTR,exit,0.4518647007805725,213.07,201.84,150.0,0.0,,DD
176,2025-11-17,NASDAQ:CSGP,entry,0.4518647007805725,67.0,67.0,0.0,174.07637611940302,0.6554183556207269,
179,2025-11-20,NASDAQ:ADBE,exit,0.4518647007805725,329.23,312.4,75.0,0.0,,DD
179,2025-11-20,NASDAQ:CHTR,entry,0.4518647007805725,194.71,194.71,0.0,123.6444163335437,0.23356690023356685,
196,2025-12-16,NASDAQ:CSGP,exit,0.4518647007805725,67.0,63.62,174.0,0.0,,DD
196,2025-12-16,NASDAQ:BIIB,entry,0.4518647007805725,171.5,171.5,0.0,336.4567142857143,0.6554183556207269,
204,2025-12-29,NASDAQ:ADSK,exit,,299.82,301.23,31.0,0.0,,horizon
218,2026-01-20,NASDAQ:CHTR,exit,,194.71,184.2,123.0,0.0,,DD
231,2026-02-06,NASDAQ:BIIB,exit,,171.5,201.18,336.0,0.0,,target
