,equity
2025-03-14,100000.0
2025-03-17,100000.0
2025-03-18,100000.0
2025-03-19,100000.0
2025-03-20,100000.0
2025-03-21,100000.0
2025-03-24,100000.0
2025-03-25,100000.0
2025-03-26,100000.0
2025-03-27,99984.54999999999
2025-03-28,99448.95
2025-03-31,99414.95999999999
2025-04-01,99850.65
2025-04-02,99863.01000000001
2025-04-03,98785.63
2025-04-04,96354.83
2025-04-07,95959.31
2025-04-08,95402.66999999998
2025-04-09,98190.34999999999
2025-04-10,96751.34999999999
2025-04-11,96731.20999999999
2025-04-14,97344.95
2025-04-15,97554.82999999999
2025-04-16,97290.88999999998
2025-04-17,97412.79
2025-04-21,96903.98999999999
2025-04-22,97467.90999999999
2025-04-23,98033.95
2025-04-24,98856.51
2025-04-25,98550.16999999998
2025-04-28,98425.72999999998
2025-04-29,98611.36999999998
2025-04-30,98821.48999999999
2025-05-01,98602.18999999999
2025-05-02,99523.24999999997
2025-05-05,99130.33999999998
2025-05-06,98898.03999999998
2025-05-07,99242.44999999998
2025-05-08,100095.89999999998
2025-05-09,100024.38999999998
2025-05-12,101193.38999999998
2025-05-13,101353.46999999999
2025-05-14,101430.88999999998
2025-05-15,101004.59
2025-05-16,101309.37
2025-05-19,101049.66999999998
2025-05-20,101247.62999999999
2025-05-21,100953.62999999999
2025-05-22,101017.32999999999
2025-05-23,100872.29
2025-05-27,101466.16999999998
2025-05-28,99672.76999999999
2025-05-29,99556.15
2025-05-30,99759.98999999999
2025-06-02,99935.40999999999
2025-06-03,100158.84999999999
2025-06-04,100327.40999999999
2025-06-05,100497.93
2025-06-06,100588.09
2025-06-09,100869.34999999999
2025-06-10,101249.59
2025-06-11,101299.56999999998
2025-06-12,101002.62999999999
2025-06-13,100464.60999999999
2025-06-16,100558.69
2025-06-17,100345.04999999999
2025-06-18,100290.16999999998
2025-06-20,100165.70999999999
2025-06-23,100169.62999999999
2025-06-24,100490.09
2025-06-25,100825.25
2025-06-26,100992.82999999999
2025-06-27,101364.25
2025-06-30,101759.19
2025-07-01,101947.34999999999
2025-07-02,101759.19
2025-07-03,101759.19
2025-07-07,101759.19
2025-07-08,101759.19
2025-07-09,101759.19
2025-07-10,101759.19
2025-07-11,101759.19
2025-07-14,101759.19
2025-07-15,101759.19
2025-07-16,101759.19
2025-07-17,101759.19
2025-07-18,101759.19
2025-07-21,101759.19
2025-07-22,101759.19
2025-07-23,101759.19
2025-07-24,101759.19
2025-07-25,101759.19
2025-07-28,101759.19
2025-07-29,101759.19
2025-07-30,101759.19
2025-07-31,101759.19
2025-08-01,101759.19
2025-08-04,101759.19
2025-08-05,101759.19
2025-08-06,101759.19
2025-08-07,101759.19
2025-08-08,101759.19
2025-08-11,101759.19
2025-08-12,101759.19
2025-08-13,101759.19
2025-08-14,101759.19
2025-08-15,101759.19
2025-08-18,101759.19
2025-08-19,101759.19
2025-08-20,101759.19
2025-08-21,101759.19
2025-08-22,101759.19
2025-08-25,101759.19
2025-08-26,101759.19
2025-08-27,101759.19
2025-08-28,101759.19
2025-08-29,101759.19
2025-09-02,101759.19
2025-09-03,101759.19
2025-09-04,101759.19
2025-09-05,101759.19
2025-09-08,101759.19
2025-09-09,101759.19
2025-09-10,101759.19
2025-09-11,101759.19
2025-09-12,101759.19
2025-09-15,101759.19
2025-09-16,101759.19
2025-09-17,101759.19
2025-09-18,101759.19
2025-09-19,101759.19
2025-09-22,101759.19
2025-09-23,101759.19
2025-09-24,101759.19
2025-09-25,101759.19
2025-09-26,101759.19
2025-09-29,101759.19
2025-09-30,101759.19
2025-10-01,101759.19
2025-10-02,101759.19
2025-10-03,101759.19
2025-10-06,101759.19
2025-10-07,101759.19
2025-10-08,101759.19
2025-10-09,101759.19
2025-10-10,101759.19
2025-10-13,101759.19
2025-10-14,101759.19
2025-10-15,101759.19
2025-10-16,101882.88
2025-10-17,103271.46500000001
2025-10-20,104460.60500000001
2025-10-21,105932.94499999999
2025-10-22,105401.785
2025-10-23,105578.685
2025-10-24,105809.795
2025-10-27,106612.245
2025-10-28,105973.08499999999
2025-10-29,102098.51500000001
2025-10-30,102684.925
2025-10-31,102877.49500000001
2025-11-03,102578.01500000001
2025-11-04,102186.02500000002
2025-11-05,101863.725
2025-11-06,101428.285
2025-11-07,101967.07500000001
2025-11-10,103481.67500000002
2025-11-11,104898.49500000002
2025-11-12,104708.695
2025-11-13,104229.93500000001
2025-11-14,104420.195
2025-11-17,103122.695
2025-11-18,103148.52500000001
2025-11-19,102189.45000000001
2025-11-20,101039.34000000001
2025-11-21,102646.07500000001
2025-11-24,102645.355
2025-11-25,103832.91500000001
2025-11-26,104604.84500000002
2025-11-28,104779.245
2025-12-01,105171.185
2025-12-02,105749.46500000001
2025-12-03,105862.80000000002
2025-12-04,105903.52500000001
2025-12-05,107854.65500000003
2025-12-08,106548.945
2025-12-09,107004.38500000001
2025-12-10,107002.755
2025-12-11,107787.91500000001
2025-12-12,107532.26500000001
2025-12-15,107559.48500000002
2025-12-16,106720.13500000002
2025-12-17,106690.945
2025-12-18,106872.15500000001
2025-12-19,107903.16500000001
2025-12-22,107949.62500000003
2025-12-23,107638.58500000002
2025-12-24,108081.51500000001
2025-12-26,108475.86500000002
2025-12-29,108526.55500000002
2025-12-30,108266.86500000002
2025-12-31,108165.725
2026-01-02,108542.08500000002
2026-01-05,107924.065
2026-01-06,109526.115
2026-01-07,110283.835
2026-01-08,110179.79500000001
2026-01-09,110522.41500000001
2026-01-12,110036.24500000002
2026-01-13,108375.63500000001
2026-01-14,106688.975
2026-01-15,106363.92500000002
2026-01-16,105426.52500000001
2026-01-20,105489.68500000003
2026-01-21,106934.58500000002
2026-01-22,107169.40500000003
2026-01-23,106729.61500000002
2026-01-26,107034.08500000002
2026-01-27,107233.08500000002
2026-01-28,107374.37500000003
2026-01-29,107643.02500000002
2026-01-30,108381.31500000002
2026-02-02,108222.11500000002
2026-02-03,107758.445
2026-02-04,109487.755
2026-02-05,109469.84500000002
2026-02-06,112618.02500000002
2026-02-09,112349.37500000003
2026-02-10,112349.37500000003
2026-02-11,112349.37500000003
2026-02-12,112349.37500000003
2026-02-13,112349.37500000003
2026-02-17,112349.37500000003
2026-02-18,112349.37500000003
2026-02-19,112349.37500000003
2026-02-20,112349.37500000003
2026-02-23,112349.37500000003
2026-02-24,112349.37500000003
2026-02-25,112349.37500000003
2026-02-26,112349.37500000003
2026-02-27,112349.37500000003
2026-03-02,112349.37500000003
2026-03-03,112349.37500000003
2026-03-04,112349.37500000003
2026-03-05,112349.37500000003
2026-03-06,112349.37500000003
2026-03-09,112349.37500000003
2026-03-10,112349.37500000003
2026-03-11,112349.37500000003
