step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
13,2025-03-26,NASDAQ:ANSS,entry,0.3152142651711246,323.34,323.34,0.0,103.09065792457886,0.3333333333333333,
20,2025-04-04,NASDAQ:ANSS,exit,0.41288644900317834,323.34,286.85,103.0,0.0,,DD
21,2025-04-07,NASDAQ:ANSS,entry,0.41288644900317834,284.19,284.19,0.0,112.5529985807617,0.3333333333333333,
22,2025-04-08,NASDAQ:ANSS,trim,0.41288644900317834,284.19,284.83,112.0,111.64866762630339,0.3333333333333333,
23,2025-04-09,NASDAQ:ANSS,trim,0.34096504185130483,284.19,309.72,112.0,105.67647122131815,0.3333333333333333,
32,2025-04-23,NASDAQ:ANSS,trim,0.34096504185130483,284.19,308.6,106.0,105.89106718513716,0.3333333333333333,
33,2025-04-24,NASDAQ:ANSS,exit,0.3740949316170556,284.19,316.36,106.0,0.0,,target
34,2025-04-25,NASDAQ:ANSS,entry,0.3740949316170556,320.68,320.68,0.0,102.43874475073798,0.3333333333333333,
39,2025-05-02,NASDAQ:ANSS,trim,0.3740949316170556,320.68,328.76,102.0,100.90770369469114,0.3333333333333333,
43,2025-05-08,NASDAQ:ANSS,trim,0.3740949316170556,320.68,334.45,101.0,99.76169831065926,0.3333333333333333,
44,2025-05-09,NASDAQ:ANSS,trim,0.3740949316170556,320.68,333.74,100.0,99.90250893909428,0.3333333333333333,
45,2025-05-12,NASDAQ:ANSS,trim,0.3740949316170556,320.68,345.43,100.0,97.64968300379235,0.3333333333333333,
46,2025-05-13,NASDAQ:ANSS,trim,0.3740949316170556,320.68,347.08,98.0,97.33920133686756,0.3333333333333333,
47,2025-05-14,NASDAQ:ANSS,trim,0.3740949316170556,320.68,347.87,98.0,97.19233238470308,0.3333333333333333,
49,2025-05-16,NASDAQ:ANSS,trim,0.3740949316170556,320.68,346.63,98.0,97.42316014193807,0.3333333333333333,
50,2025-05-19,NASDAQ:ANSS,trim,0.3740949316170556,320.68,343.98,98.0,97.92204004108764,0.3333333333333333,
51,2025-05-20,NASDAQ:ANSS,trim,0.3740949316170556,320.68,346.0,98.0,97.54106936416183,0.3333333333333333,
53,2025-05-22,NASDAQ:ANSS,trim,0.3740949316170556,320.68,343.65,98.0,97.98470342887627,0.3333333333333333,
55,2025-05-27,NASDAQ:ANSS,trim,0.3740949316170556,320.68,348.23,98.0,97.12562578372528,0.3333333333333333,
79,2025-07-01,NASDAQ:ANSS,exit,,320.68,353.14,98.0,0.0,,target
153,2025-10-15,NASDAQ:AZN,entry,0.27903682719546746,84.83,84.83,0.0,399.85535777437224,0.3333333333333333,
154,2025-10-16,NASDAQ:ADBE,entry,0.4518647007805725,329.23,329.23,0.0,103.15268960908786,0.3333333333333333,
154,2025-10-16,NASDAQ:ADSK,entry,0.4518647007805725,299.82,299.82,0.0,110.41643586151694,0.3333333333333333,
156,2025-10-20,NASDAQ:ADBE,trim,0.4518647007805725,329.23,343.4,103.0,101.39837410211611,0.3333333333333333,
157,2025-10-21,NASDAQ:ADBE,trim,0.41288644900317834,329.23,357.55,102.0,98.75816435929704,0.3333333333333333,
162,2025-10-28,NASDAQ:ADBE,trim,0.41288644900317834,329.23,359.91,99.0,98.14776379280003,0.3333333333333333,
171,2025-11-10,NASDAQ:AZN,trim,0.34096504185130483,84.83,87.48,399.0,394.3060318549002,0.3333333333333333,
172,2025-11-11,NASDAQ:AZN,trim,0.34096504185130483,84.83,89.09,395.0,392.4813671568078,0.3333333333333333,
174,2025-11-13,NASDAQ:AZN,trim,0.34096504185130483,84.83,88.61,393.0,392.0924463002671,0.3333333333333333,
175,2025-11-14,NASDAQ:AZN,trim,0.34096504185130483,84.83,89.1,393.0,390.6479423868313,0.3333333333333333,
176,2025-11-17,NASDAQ:AZN,trim,0.34096504185130483,84.83,89.4,391.0,384.499235645041,0.3333333333333333,
177,2025-11-18,NASDAQ:AZN,trim,0.34096504185130483,84.83,89.55,385.0,383.9513307277127,0.3333333333333333,
178,2025-11-19,NASDAQ:AZN,trim,0.34096504185130483,84.83,88.99,384.0,382.7750309023486,0.3333333333333333,
179,2025-11-20,NASDAQ:AZN,trim,0.34096504185130483,84.83,88.68,383.0,379.7900315741993,0.3333333333333333,
179,2025-11-20,NASDAQ:ADBE,exit,0.4518647007805725,329.23,312.4,99.0,0.0,,DD
179,2025-11-20,NASDAQ:CHTR,entry,0.4518647007805725,194.71,194.71,0.0,23.06857891222849,0.3333333333333333,
180,2025-11-21,NASDAQ:AZN,trim,0.34096504185130483,84.83,91.0,380.0,375.99294871794876,0.3333333333333333,
181,2025-11-24,NASDAQ:AZN,trim,0.34096504185130483,84.83,91.52,376.0,373.85400276806524,0.3333333333333333,
182,2025-11-25,NASDAQ:AZN,trim,0.34096504185130483,84.83,93.24,374.0,371.20304232804233,0.3333333333333333,
183,2025-11-26,NASDAQ:AZN,exit,0.34096504185130483,84.83,93.32,372.0,0.0,,target
183,2025-11-26,NASDAQ:ADBE,entry,0.4518647007805725,317.52,317.52,0.0,99.20486111111114,0.3333333333333333,
193,2025-12-11,NASDAQ:ADBE,exit,0.41288644900317834,317.52,350.43,99.0,0.0,,target
193,2025-12-11,NASDAQ:BIIB,entry,0.4518647007805725,172.5,172.5,0.0,199.50081565217397,0.3333333333333333,
204,2025-12-29,NASDAQ:ADSK,exit,,299.82,301.23,110.0,0.0,,horizon
218,2026-01-20,NASDAQ:CHTR,exit,,194.71,184.2,23.0,0.0,,DD
231,2026-02-06,NASDAQ:BIIB,exit,,172.5,201.18,199.0,0.0,,target
