,equity
2025-03-14,100000.0
2025-03-17,100000.0
2025-03-18,100000.0
2025-03-19,100000.0
2025-03-20,100000.0
2025-03-21,100000.0
2025-03-24,100000.0
2025-03-25,100000.0
2025-03-26,100000.0
2025-03-27,99954.54999999999
2025-03-28,98378.95
2025-03-31,98278.96
2025-04-01,99560.65000000001
2025-04-02,99597.01000000001
2025-04-03,96427.62999999999
2025-04-04,89276.83
2025-04-07,88113.31
2025-04-08,86607.39999999998
2025-04-09,94149.06999999999
2025-04-10,90143.40999999999
2025-04-11,90085.84
2025-04-14,91840.20999999999
2025-04-15,92440.14999999998
2025-04-16,91685.67999999998
2025-04-17,92034.12999999999
2025-04-21,90579.72999999998
2025-04-22,92191.68999999999
2025-04-23,93809.70999999999
2025-04-24,96160.98999999999
2025-04-25,95285.31999999999
2025-04-28,94930.29999999999
2025-04-29,95459.91999999998
2025-04-30,96059.37999999999
2025-05-01,95433.73
2025-05-02,98061.45999999999
2025-05-05,96935.28999999998
2025-05-06,96265.98999999998
2025-05-07,97258.29999999999
2025-05-08,99717.24999999999
2025-05-09,99510.63999999998
2025-05-12,102912.43
2025-05-13,103392.57999999999
2025-05-14,103622.46999999999
2025-05-15,102356.61999999998
2025-05-16,103261.62999999999
2025-05-19,102490.48
2025-05-20,103078.29999999999
2025-05-21,102205.29999999999
2025-05-22,102394.44999999998
2025-05-23,101963.76999999999
2025-05-27,103727.23
2025-05-28,98401.93
2025-05-29,98055.63999999998
2025-05-30,98660.91999999998
2025-06-02,99181.81
2025-06-03,99845.28999999998
2025-06-04,100345.81
2025-06-05,100852.15
2025-06-06,101119.86999999998
2025-06-09,101955.03999999998
2025-06-10,103084.11999999998
2025-06-11,103232.52999999998
2025-06-12,102350.79999999999
2025-06-13,100753.20999999999
2025-06-16,101032.56999999999
2025-06-17,100398.18999999999
2025-06-18,100235.23
2025-06-20,99865.65999999999
2025-06-23,99877.29999999999
2025-06-24,100828.86999999998
2025-06-25,101824.08999999998
2025-06-26,102321.69999999998
2025-06-27,103424.58999999998
2025-06-30,104597.31999999999
2025-07-01,105156.03999999998
2025-07-02,104597.31999999999
2025-07-03,104597.31999999999
2025-07-07,104597.31999999999
2025-07-08,104597.31999999999
2025-07-09,104597.31999999999
2025-07-10,104597.31999999999
2025-07-11,104597.31999999999
2025-07-14,104597.31999999999
2025-07-15,104597.31999999999
2025-07-16,104597.31999999999
2025-07-17,104597.31999999999
2025-07-18,104597.31999999999
2025-07-21,104597.31999999999
2025-07-22,104597.31999999999
2025-07-23,104597.31999999999
2025-07-24,104597.31999999999
2025-07-25,104597.31999999999
2025-07-28,104597.31999999999
2025-07-29,104597.31999999999
2025-07-30,104597.31999999999
2025-07-31,104597.31999999999
2025-08-01,104597.31999999999
2025-08-04,104597.31999999999
2025-08-05,104597.31999999999
2025-08-06,104597.31999999999
2025-08-07,104597.31999999999
2025-08-08,104597.31999999999
2025-08-11,104597.31999999999
2025-08-12,104597.31999999999
2025-08-13,104597.31999999999
2025-08-14,104597.31999999999
2025-08-15,104597.31999999999
2025-08-18,104597.31999999999
2025-08-19,104597.31999999999
2025-08-20,104597.31999999999
2025-08-21,104597.31999999999
2025-08-22,104597.31999999999
2025-08-25,104597.31999999999
2025-08-26,104597.31999999999
2025-08-27,104597.31999999999
2025-08-28,104597.31999999999
2025-08-29,104597.31999999999
2025-09-02,104597.31999999999
2025-09-03,104597.31999999999
2025-09-04,104597.31999999999
2025-09-05,104597.31999999999
2025-09-08,104597.31999999999
2025-09-09,104597.31999999999
2025-09-10,104597.31999999999
2025-09-11,104597.31999999999
2025-09-12,104597.31999999999
2025-09-15,104597.31999999999
2025-09-16,104597.31999999999
2025-09-17,104597.31999999999
2025-09-18,104597.31999999999
2025-09-19,104597.31999999999
2025-09-22,104597.31999999999
2025-09-23,104597.31999999999
2025-09-24,104597.31999999999
2025-09-25,104597.31999999999
2025-09-26,104597.31999999999
2025-09-29,104597.31999999999
2025-09-30,104597.31999999999
2025-10-01,104597.31999999999
2025-10-02,104597.31999999999
2025-10-03,104597.31999999999
2025-10-06,104597.31999999999
2025-10-07,104597.31999999999
2025-10-08,104597.31999999999
2025-10-09,104597.31999999999
2025-10-10,104597.31999999999
2025-10-13,104597.31999999999
2025-10-14,104597.31999999999
2025-10-15,104597.31999999999
2025-10-16,104971.8
2025-10-17,106010.68000000001
2025-10-20,105020.12000000001
2025-10-21,104234.92
2025-10-22,104488.6
2025-10-23,104452.36000000002
2025-10-24,104319.48000000001
2025-10-27,105249.64
2025-10-28,103498.04000000001
2025-10-29,103039.00000000001
2025-10-30,103171.88
2025-10-31,103244.36000000002
2025-11-03,102422.92
2025-11-04,102797.40000000001
2025-11-05,101734.36000000002
2025-11-06,104899.31999999999
2025-11-07,105877.8
2025-11-10,109381.00000000001
2025-11-11,111325.88
2025-11-12,109622.6
2025-11-13,110746.04000000001
2025-11-14,111337.95999999999
2025-11-17,111700.36000000002
2025-11-18,111881.56
2025-11-19,111205.08
2025-11-20,110830.6
2025-11-21,113633.16
2025-11-24,114261.31999999999
2025-11-25,116339.08
2025-11-26,116435.72
2025-11-28,115555.34999999999
2025-12-01,115585.27
2025-12-02,115584.83
2025-12-03,115628.5
2025-12-04,115649.95
2025-12-05,115842.78
2025-12-08,115764.24
2025-12-09,115821.44
2025-12-10,115808.34999999999
2025-12-11,115888.65
2025-12-12,114139.09999999999
2025-12-15,112926.98
2025-12-16,112806.86
2025-12-17,112439.22000000002
2025-12-18,114721.5
2025-12-19,115027.26
2025-12-22,115169.22000000002
2025-12-23,114117.26
2025-12-24,114346.57999999999
2025-12-26,115256.57999999999
2025-12-29,115445.86
2025-12-30,114830.70000000001
2025-12-31,113545.78
2026-01-02,110167.86
2026-01-05,110870.38
2026-01-06,112512.02
2026-01-07,112737.70000000001
2026-01-08,106473.26
2026-01-09,106553.34
2026-01-12,106553.34
2026-01-13,106553.34
2026-01-14,106553.34
2026-01-15,106553.34
2026-01-16,106553.34
2026-01-20,106553.34
2026-01-21,106553.34
2026-01-22,106553.34
2026-01-23,106553.34
2026-01-26,106553.34
2026-01-27,106553.34
2026-01-28,106553.34
2026-01-29,106553.34
2026-01-30,106553.34
2026-02-02,106553.34
2026-02-03,106553.34
2026-02-04,106553.34
2026-02-05,106553.34
2026-02-06,106553.34
2026-02-09,106553.34
2026-02-10,106553.34
2026-02-11,106553.34
2026-02-12,106553.34
2026-02-13,106553.34
2026-02-17,106553.34
2026-02-18,106553.34
2026-02-19,106553.34
2026-02-20,106553.34
2026-02-23,106553.34
2026-02-24,106553.34
2026-02-25,106553.34
2026-02-26,106553.34
2026-02-27,106553.34
2026-03-02,106553.34
2026-03-03,106553.34
2026-03-04,106553.34
2026-03-05,106553.34
2026-03-06,106553.34
2026-03-09,106553.34
2026-03-10,106553.34
2026-03-11,106553.34
