step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
13,2025-03-26,NASDAQ:ANSS,entry,0.3152142651711246,323.34,323.34,0.0,303.08653429826194,1.0,
20,2025-04-04,NASDAQ:ANSS,exit,0.41288644900317834,323.34,286.85,303.0,0.0,,DD
21,2025-04-07,NASDAQ:ANSS,entry,0.41288644900317834,284.19,284.19,0.0,303.8496914036384,1.0,
33,2025-04-24,NASDAQ:ANSS,exit,0.3740949316170556,284.19,316.36,303.0,0.0,,target
34,2025-04-25,NASDAQ:ANSS,entry,0.3740949316170556,320.68,320.68,0.0,291.1925084196083,1.0,
79,2025-07-01,NASDAQ:ANSS,exit,,320.68,353.14,291.0,0.0,,target
153,2025-10-15,NASDAQ:AZN,entry,0.27903682719546746,84.83,84.83,0.0,1208.3622963574207,1.0,
183,2025-11-26,NASDAQ:AZN,exit,0.34096504185130483,84.83,93.32,1208.0,0.0,,target
183,2025-11-26,NASDAQ:ADBE,entry,0.4518647007805725,317.52,317.52,0.0,11.435679012345691,1.0,
193,2025-12-11,NASDAQ:ADBE,exit,0.41288644900317834,317.52,350.43,11.0,0.0,,target
193,2025-12-11,NASDAQ:ADSK,entry,0.4518647007805725,300.925,300.925,0.0,364.8525100938772,1.0,
211,2026-01-08,NASDAQ:ADSK,exit,,300.925,276.58,364.0,0.0,,DD
