,equity
2025-05-27,100000.0
2025-05-28,100000.0
2025-05-29,100000.0
2025-05-30,100000.0
2025-06-02,100000.0
2025-06-03,100000.0
2025-06-04,100000.0
2025-06-05,100000.0
2025-06-06,99814.78
2025-06-09,100096.04000000001
2025-06-10,100476.28
2025-06-11,100525.63
2025-06-12,100231.72
2025-06-13,99699.19
2025-06-16,99792.31
2025-06-17,99580.85
2025-06-18,99526.53
2025-06-20,99403.34
2025-06-23,99407.22
2025-06-24,99724.41
2025-06-25,100056.15
2025-06-26,100222.01999999999
2025-06-27,100589.65
2025-06-30,100980.56
2025-07-01,101162.79000000001
2025-07-02,101169.51000000001
2025-07-03,102539.43000000001
2025-07-07,102121.81
2025-07-08,102479.95000000001
2025-07-09,102477.13
2025-07-10,103196.23000000001
2025-07-11,103193.45
2025-07-14,104235.81
2025-07-15,104861.65000000001
2025-07-16,103203.66
2025-07-17,103203.66
2025-07-18,103203.66
2025-07-21,103203.66
2025-07-22,103203.66
2025-07-23,103203.66
2025-07-24,103203.66
2025-07-25,103203.66
2025-07-28,103203.66
2025-07-29,103203.66
2025-07-30,103203.66
2025-07-31,103203.66
2025-08-01,103203.66
2025-08-04,103203.66
2025-08-05,103203.66
2025-08-06,103203.66
2025-08-07,103203.66
2025-08-08,103203.66
2025-08-11,103203.66
2025-08-12,103203.66
2025-08-13,103203.66
2025-08-14,103203.66
2025-08-15,103203.66
2025-08-18,103203.66
2025-08-19,103203.66
2025-08-20,103203.66
2025-08-21,103203.66
2025-08-22,103203.66
2025-08-25,103203.66
2025-08-26,103203.66
2025-08-27,103203.66
2025-08-28,103203.66
2025-08-29,103203.66
2025-09-02,103203.66
2025-09-03,103203.66
2025-09-04,103203.66
2025-09-05,103203.66
2025-09-08,103203.66
2025-09-09,103203.66
2025-09-10,103203.66
2025-09-11,103203.66
2025-09-12,103203.66
2025-09-15,103203.66
2025-09-16,103203.66
2025-09-17,103203.66
2025-09-18,103203.66
2025-09-19,103203.66
2025-09-22,103203.66
2025-09-23,103203.66
2025-09-24,103203.66
2025-09-25,103203.66
2025-09-26,103203.66
2025-09-29,103203.66
2025-09-30,103203.66
2025-10-01,103203.66
2025-10-02,103203.66
2025-10-03,103203.66
2025-10-06,103203.66
2025-10-07,103203.66
2025-10-08,103203.66
2025-10-09,103203.66
2025-10-10,103203.66
2025-10-13,103203.66
2025-10-14,103203.66
2025-10-15,103203.66
2025-10-16,103203.66
2025-10-17,103203.66
2025-10-20,103203.66
2025-10-21,103203.66
2025-10-22,103203.66
2025-10-23,103203.66
2025-10-24,103203.66
2025-10-27,103203.66
2025-10-28,103203.66
2025-10-29,103203.66
2025-10-30,103203.66
2025-10-31,103203.66
2025-11-03,103203.66
2025-11-04,103203.66
2025-11-05,103203.66
2025-11-06,103203.66
2025-11-07,103203.66
2025-11-10,103203.66
2025-11-11,103203.66
2025-11-12,103203.66
2025-11-13,103203.66
2025-11-14,103203.66
2025-11-17,103203.66
2025-11-18,103203.66
2025-11-19,103203.66
2025-11-20,103203.66
2025-11-21,103203.66
2025-11-24,103203.66
2025-11-25,103203.66
2025-11-26,103203.66
2025-11-28,103203.66
2025-12-01,103203.66
2025-12-02,103203.66
2025-12-03,103203.66
2025-12-04,103203.66
2025-12-05,103203.66
2025-12-08,103203.66
2025-12-09,103203.66
2025-12-10,103203.66
2025-12-11,103203.66
2025-12-12,103203.66
2025-12-15,103203.66
2025-12-16,103203.66
2025-12-17,103203.66
2025-12-18,103203.66
2025-12-19,103203.66
2025-12-22,103203.66
2025-12-23,103203.66
2025-12-24,103203.66
2025-12-26,103203.66
2025-12-29,103203.66
2025-12-30,103149.86499999999
2025-12-31,102090.11
2026-01-02,104949.13999999998
2026-01-05,106484.82
2026-01-06,108310.57999999999
2026-01-07,107245.44
2026-01-08,104713.45000000001
2026-01-09,107103.73999999999
2026-01-12,108139.625
2026-01-13,110218.10500000001
2026-01-14,110947.78499999997
2026-01-15,112765.31499999999
2026-01-16,114447.68500000001
2026-01-20,111772.33499999999
2026-01-21,115550.745
2026-01-22,115824.035
2026-01-23,117621.875
2026-01-26,116485.375
2026-01-27,118652.61499999999
2026-01-28,118349.525
2026-01-29,118568.26499999998
2026-01-30,114087.36
2026-02-02,151715.62
2026-02-03,149555.8698200989
2026-02-04,140696.67962020874
2026-02-05,140229.57003997805
2026-02-06,145092.6798400879
2026-02-09,147123.35003997805
2026-02-10,146175.009960022
2026-02-11,147582.43994003296
2026-02-12,144858.84976013185
2026-02-13,148184.159940033
2026-02-17,147953.5298600769
2026-02-18,148591.9697001648
2026-02-19,148294.1196801758
