,equity
2023-07-17,100000.0
2023-07-18,100000.0
2023-07-19,100000.0
2023-07-20,100000.0
2023-07-21,100000.0
2023-07-24,100000.0
2023-07-25,100000.0
2023-07-26,100000.0
2023-07-27,100000.0
2023-07-28,100560.70935821533
2023-07-31,101638.38885116577
2023-08-01,101396.17582702637
2023-08-02,95891.0904083252
2023-08-03,95283.34029769897
2023-08-04,94114.22956848145
2023-08-07,94025.59311676025
2023-08-08,92809.39297866821
2023-08-09,90706.06888198853
2023-08-10,90708.92740249634
2023-08-11,89382.29540252686
2023-08-14,91033.169506073
2023-08-15,89831.24312973022
2023-08-16,88261.95537948608
2023-08-17,86075.24803161621
2023-08-18,84906.04611968994
2023-08-21,86716.0482711792
2023-08-22,86463.00358963013
2023-08-23,88878.58006286621
2023-08-24,86408.81980133057
2023-08-25,86772.91227340698
2023-08-28,86923.73551559448
2023-08-29,91477.85321807861
2023-08-30,91478.88864135742
2023-08-31,91581.06600189209
2023-09-01,92032.20524215698
2023-09-05,91915.64442825317
2023-09-06,90900.04288482666
2023-09-07,89861.94840240479
2023-09-08,89740.55977630615
2023-09-11,89841.53952407837
2023-09-12,88229.40396118164
2023-09-13,87806.2733078003
2023-09-14,87633.17973327637
2023-09-15,85492.6462135315
2023-09-18,85597.77439498901
2023-09-19,84973.53179550171
2023-09-20,83976.04219055176
2023-09-21,81694.46165847778
2023-09-22,81994.93027496338
2023-09-25,82224.72990036011
2023-09-26,80228.63221359253
2023-09-27,81127.66802215576
2023-09-28,82969.56691741943
2023-09-29,83074.91658782959
2023-10-02,83622.40227508545
2023-10-03,81631.67595672607
2023-10-04,82666.14089202881
2023-10-05,82431.25081634521
2023-10-06,84011.7465133667
2023-10-09,84405.71263885498
2023-10-10,84773.00057220459
2023-10-11,85717.13939666748
2023-10-12,86153.01815032959
2023-10-13,84509.07860565186
2023-10-16,86201.35469818115
2023-10-17,86036.14678192139
2023-10-18,85035.98171234131
2023-10-19,83164.73448944092
2023-10-20,82125.85439300537
2023-10-23,81890.43083953857
2023-10-24,82796.25926971436
2023-10-25,79929.54146575928
2023-10-26,79642.44997406006
2023-10-27,80360.19887542725
2023-10-30,80525.64315032959
