,equity
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,99561.92
2026-01-02,100534.78
2026-01-05,101176.465
2026-01-06,102718.095
2026-01-07,102315.155
2026-01-08,101690.33499999999
2026-01-09,103190.79499999998
2026-01-12,103015.85500000001
2026-01-13,102870.175
2026-01-14,101211.19499999999
2026-01-15,103067.755
2026-01-16,102981.555
2026-01-20,101116.11499999999
2026-01-21,103899.81499999999
2026-01-22,104414.775
2026-01-23,104135.91
2026-01-26,105425.81
2026-01-27,106018.05
2026-01-28,106086.36999999998
2026-01-29,105038.56
2026-01-30,103790.56999999998
2026-02-02,104280.03999999998
2026-02-03,101767.24999999999
2026-02-04,100134.59
2026-02-05,99410.72499999999
2026-02-06,102914.905
2026-02-09,104231.76
2026-02-10,104549.71999999997
2026-02-11,104430.27999999997
2026-02-12,101406.68999999999
2026-02-13,104011.88999999998
2026-02-17,102964.42499999999
2026-02-18,104360.20999999998
2026-02-19,104224.77999999998
2026-02-20,103180.82999999999
2026-02-23,101126.305
2026-02-24,102820.34999999999
2026-02-25,102929.70999999999
2026-02-26,102570.71999999999
2026-02-27,102977.98
2026-03-02,102978.30999999998
2026-03-03,101887.16999999998
2026-03-04,103118.34999999999
2026-03-05,102822.30999999998
2026-03-06,101553.32999999999
2026-03-09,102506.29
2026-03-10,101395.59999999998
2026-03-11,101362.82999999999
2026-03-12,98749.43999999999
2026-03-13,98022.54999999999
2026-03-16,98770.05499999998
2026-03-17,99524.71499999998
2026-03-18,98178.85499999998
2026-03-19,99065.04699999998
2026-03-20,98572.96199999998
2026-03-23,99718.71199999997
2026-03-24,99315.86199999998
2026-03-25,99964.41199999998
2026-03-26,97675.00899999998
2026-03-27,95763.17899999997
2026-03-30,95348.93899999998
2026-03-31,97579.954
2026-04-01,98462.77399999999
2026-04-02,98921.24399999999
2026-04-06,99606.19399999999
2026-04-07,100659.16899999998
2026-04-08,103655.27899999998
2026-04-09,103992.33893286131
2026-04-10,103800.10895544433
2026-04-13,106230.92897680662
2026-04-14,106129.97902944945
2026-04-15,107134.53924475097
2026-04-16,107953.48814611815
2026-04-17,108576.59885321044
2026-04-20,108093.85851873778
2026-04-21,108505.04887945554
2026-04-22,110885.9176099243
2026-04-23,110087.23822821044
2026-04-24,114740.69871099852
2026-04-27,115355.988180603
2026-04-28,114183.81823004148
2026-04-29,114106.11882879637
2026-04-30,114540.18169500731
2026-05-01,115175.83388861082
2026-05-04,116246.39890447997
2026-05-05,117811.23844305419
2026-05-06,118636.3696991577
2026-05-07,117837.51850286864
2026-05-08,118206.48844305419
2026-05-11,118304.48844305419
2026-05-12,117970.79856268309
2026-05-13,118274.59916082762
2026-05-14,118456.38874212645
2026-05-15,117980.59916082762
2026-05-18,117980.59916082762
2026-05-19,117980.59916082762
2026-05-20,117980.59916082762
2026-05-21,117980.59916082762
2026-05-22,117980.59916082762
