step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
12,2025-12-30,NASDAQ:AMAT,entry,0.1304449648711944,259.97,259.97,0.0,48.32409151191187,0.1256281407035173,
12,2025-12-30,NASDAQ:AMD,entry,0.1304449648711944,215.34,215.34,0.0,58.33943563830096,0.1256281407035173,
12,2025-12-30,NASDAQ:AVGO,entry,0.1304449648711944,349.85,349.85,0.0,35.90914411991347,0.1256281407035173,
13,2025-12-31,NASDAQ:BKR,entry,0.1304449648711944,45.54,45.54,0.0,274.6547846831869,0.1256281407035173,
13,2025-12-31,NASDAQ:CDNS,entry,0.1304449648711944,312.58,312.58,0.0,40.01464871224113,0.1256281407035173,
13,2025-12-31,NASDAQ:CDW,entry,0.1304449648711944,136.2,136.2,0.0,91.83391258790259,0.1256281407035173,
14,2026-01-02,NASDAQ:AMAT,trim,0.1304449648711944,259.97,268.87,48.0,46.97436488800222,0.1256281407035173,
14,2026-01-02,NASDAQ:AMD,trim,0.1304449648711944,215.34,223.47,58.0,56.51764213289102,0.1256281407035173,
14,2026-01-02,NASDAQ:BKR,trim,0.1304449648711944,45.54,47.14,274.0,267.9252755077886,0.1256281407035173,
14,2026-01-02,NASDAQ:ADBE,entry,0.1304449648711944,333.3,333.3,0.0,37.89378184049552,0.1256281407035173,
14,2026-01-02,NASDAQ:BIIB,entry,0.1304449648711944,177.82,177.82,0.0,67.03475262941652,0.1206030150753789,
15,2026-01-05,NASDAQ:AMAT,trim,0.1304449648711944,259.97,284.32,47.0,44.705301002055755,0.1256281407035173,
15,2026-01-05,NASDAQ:BKR,trim,0.1304449648711944,45.54,49.07,268.0,259.03018506020976,0.1256281407035173,
16,2026-01-06,NASDAQ:AMAT,trim,0.1304449648711944,259.97,296.01,45.0,43.59407888739319,0.1256281407035173,
17,2026-01-07,NASDAQ:AMAT,trim,0.1304449648711944,259.97,292.2,44.0,43.98926313635244,0.1256281407035173,
18,2026-01-08,NASDAQ:BKR,trim,0.06982109227871941,45.54,50.2,260.0,254.48541262087267,0.1256281407035173,
19,2026-01-09,NASDAQ:AMAT,trim,0.1304449648711944,259.97,301.18,44.0,43.04292354594531,0.1256281407035173,
19,2026-01-09,NASDAQ:CDNS,trim,0.1304449648711944,312.58,327.31,40.0,39.60669613995236,0.1256281407035173,
20,2026-01-12,NASDAQ:AMAT,trim,0.1304449648711944,259.97,307.24,44.0,42.12241350941654,0.1256281407035173,
20,2026-01-12,NASDAQ:CDNS,trim,0.06982109227871941,312.58,325.51,40.0,39.75819583617443,0.1256281407035173,
21,2026-01-13,NASDAQ:AMAT,trim,0.1304449648711944,259.97,304.87,43.0,42.38983441826171,0.1256281407035173,
22,2026-01-14,NASDAQ:AMAT,trim,0.1304449648711944,259.97,301.89,43.0,42.1179046879033,0.1256281407035173,
22,2026-01-14,NASDAQ:AMD,trim,0.1304449648711944,215.34,223.6,57.0,56.86482221033599,0.1256281407035173,
22,2026-01-14,NASDAQ:BKR,trim,0.06982109227871941,45.54,49.98,255.0,254.40124542279165,0.1256281407035173,
23,2026-01-15,NASDAQ:AMAT,exit,0.1304449648711944,259.97,319.08,43.0,0.0,,target
23,2026-01-15,NASDAQ:AMD,trim,0.1304449648711944,215.34,227.92,57.0,56.810330059387724,0.1256281407035173,
23,2026-01-15,NASDAQ:BKR,trim,0.06982109227871941,45.54,52.0,255.0,249.00404667568557,0.1256281407035173,
23,2026-01-15,NASDAQ:CHTR,entry,0.1304449648711944,194.61,194.61,0.0,18.542827706695427,0.1256281407035173,
24,2026-01-16,NASDAQ:AMD,trim,0.1304449648711944,215.34,231.83,57.0,55.80546642542813,0.1256281407035173,
24,2026-01-16,NASDAQ:BKR,trim,0.06982109227871941,45.54,51.75,250.0,249.9977059209083,0.1256281407035173,
24,2026-01-16,NASDAQ:ADBE,exit,0.06982109227871941,333.3,296.12,37.0,0.0,,DD
24,2026-01-16,NASDAQ:AMAT,entry,0.1304449648711944,327.01,327.01,0.0,39.56264726279626,0.1256281407035173,
