,equity
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,99040.18499999998
2026-01-02,101807.07499999998
2026-01-05,102972.42499999999
2026-01-06,102819.92499999999
2026-01-07,101482.40499999997
2026-01-08,99325.76499999998
2026-01-09,101413.71499999998
2026-01-12,102862.86
2026-01-13,104620.44
2026-01-14,104535.04999999999
2026-01-15,106873.22999999998
2026-01-16,108001.37999999998
2026-01-20,105951.68
2026-01-21,109438.28999999998
2026-01-22,109377.59
2026-01-23,110602.51
2026-01-26,109983.12
2026-01-27,111905.03
2026-01-28,112231.02999999998
2026-01-29,112885.47999999998
2026-01-30,108726.75999999998
2026-02-02,112040.97999999998
2026-02-03,110305.57
2026-02-04,102869.37999999999
2026-02-05,102415.93
2026-02-06,107004.74999999999
2026-02-09,108545.93
2026-02-10,107920.47499999999
2026-02-11,109333.03499999999
2026-02-12,105327.29499999998
2026-02-13,107671.555
2026-02-17,108468.56499999999
2026-02-18,109135.255
2026-02-19,109175.08499999999
2026-02-20,109755.295
2026-02-23,109264.075
2026-02-24,112868.51499999998
2026-02-25,114368.29499999998
2026-02-26,112711.075
2026-02-27,111070.99500000001
2026-03-02,110884.81500000002
2026-03-03,109498.055
2026-03-04,111059.875
2026-03-05,110964.415
2026-03-06,109539.87499999999
2026-03-09,111840.33499999999
2026-03-10,111920.215
2026-03-11,112108.61499999999
2026-03-12,110284.135
2026-03-13,108481.19499999999
2026-03-16,109047.79499999998
2026-03-17,108917.83499999999
2026-03-18,108724.15499999998
2026-03-19,108864.915
2026-03-20,108529.03499999999
2026-03-23,108961.03499999999
2026-03-24,108809.11499999999
2026-03-25,108827.83499999999
2026-03-26,108489.61499999999
2026-03-27,108175.15499999998
2026-03-30,107913.43499999998
2026-03-31,108493.03499999999
2026-04-01,108636.31499999999
2026-04-02,108674.47499999999
2026-04-06,108670.15499999998
2026-04-07,109373.59499999999
2026-04-08,109973.35499999998
2026-04-09,110127.43499999998
2026-04-10,110726.47499999999
2026-04-13,111021.67499999999
2026-04-14,111058.75499999999
2026-04-15,111632.59499999999
2026-04-16,111695.59499999999
2026-04-17,111986.11499999999
2026-04-20,111737.35499999998
2026-04-21,111828.79499999998
2026-04-22,112566.07499999998
2026-04-23,112468.51499999998
2026-04-24,112570.03499999999
2026-04-27,112405.87499999999
2026-04-28,111744.555
2026-04-29,111946.87499999999
2026-04-30,112378.15499999998
2026-05-01,112516.75499999999
2026-05-04,112344.67499999999
2026-05-05,112735.635
2026-05-06,112666.51499999998
2026-05-07,112202.83499999999
2026-05-08,112463.47499999999
2026-05-11,112463.47499999999
2026-05-12,112463.47499999999
2026-05-13,112463.47499999999
2026-05-14,112463.47499999999
2026-05-15,112463.47499999999
2026-05-18,112463.47499999999
2026-05-19,112463.47499999999
2026-05-20,112463.47499999999
2026-05-21,112463.47499999999
2026-05-22,112463.47499999999
