step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
12,2025-12-30,NASDAQ:AAPL,entry,0.047091770788453266,273.08,273.08,0.0,122.06435232654654,0.3333333333333333,
12,2025-12-30,NASDAQ:AMAT,entry,0.047091770788453266,259.97,259.97,0.0,128.21992281160644,0.3333333333333333,
12,2025-12-30,NASDAQ:AMD,entry,0.047091770788453266,215.34,215.34,0.0,145.5063310733414,0.3333333333333333,
13,2025-12-31,NASDAQ:AAPL,trim,0.00600803321294765,273.08,271.86,122.0,121.43527918781722,0.3333333333333333,
14,2026-01-02,NASDAQ:AMAT,trim,0.047091770788453266,259.97,268.87,128.0,126.21598418070688,0.3333333333333333,
15,2026-01-05,NASDAQ:AMAT,trim,0.047091770788453266,259.97,284.32,127.0,120.723627133746,0.3333333333333333,
16,2026-01-06,NASDAQ:AMAT,trim,0.047091770788453266,259.97,296.01,121.0,115.78429219733566,0.3333333333333333,
17,2026-01-07,NASDAQ:AMAT,trim,0.047091770788453266,259.97,292.2,116.0,115.76820100387859,0.3333333333333333,
19,2026-01-09,NASDAQ:AMAT,trim,0.047091770788453266,259.97,301.18,116.0,112.24042654448056,0.3333333333333333,
20,2026-01-12,NASDAQ:AMAT,trim,0.047091770788453266,259.97,307.24,113.0,111.59881525842988,0.3333333333333333,
23,2026-01-15,NASDAQ:AMAT,trim,0.047091770788453266,259.97,319.08,112.0,111.6472671430362,0.3333333333333333,
24,2026-01-16,NASDAQ:AMAT,trim,0.047091770788453266,259.97,327.01,112.0,110.08978318705847,0.3333333333333333,
25,2026-01-20,NASDAQ:AMAT,trim,0.047091770788453266,259.97,318.23,111.0,110.98019252322742,0.3333333333333333,
27,2026-01-22,NASDAQ:AMD,trim,0.047091770788453266,215.34,253.73,145.0,143.69288876627385,0.3333333333333333,
28,2026-01-23,NASDAQ:AMD,trim,0.047091770788453266,215.34,259.68,144.0,141.972825528856,0.3333333333333333,
32,2026-01-29,NASDAQ:AMAT,trim,0.047091770788453266,259.97,341.34,111.0,110.23757348489286,0.3333333333333333,
38,2026-02-06,NASDAQ:AMAT,trim,0.047091770788453266,259.97,322.51,111.0,110.59579547920993,0.3333333333333333,
39,2026-02-09,NASDAQ:AMAT,trim,0.047091770788453266,259.97,330.57,111.0,109.453297839086,0.3333333333333333,
40,2026-02-10,NASDAQ:AMAT,trim,0.047091770788453266,259.97,329.07,110.0,109.31866066996889,0.3333333333333333,
41,2026-02-11,NASDAQ:AMAT,trim,0.047091770788453266,259.97,339.88,110.0,107.22709485700834,0.3333333333333333,
42,2026-02-12,NASDAQ:AMAT,trim,0.047091770788453266,259.97,328.39,108.0,106.9128120019895,0.3333333333333333,
43,2026-02-13,NASDAQ:AMAT,trim,0.047091770788453266,259.97,354.91,107.0,101.12568914184814,0.3333333333333333,
44,2026-02-17,NASDAQ:AMAT,trim,0.047091770788453266,259.97,359.13,102.0,100.67715961722308,0.3333333333333333,
45,2026-02-18,NASDAQ:AMAT,trim,0.047091770788453266,259.97,369.3,101.0,98.5064130336673,0.3333333333333333,
46,2026-02-19,NASDAQ:AMAT,trim,0.047091770788453266,259.97,369.83,99.0,98.4011437687586,0.3333333333333333,
47,2026-02-20,NASDAQ:AMAT,trim,0.047091770788453266,259.97,375.38,99.0,97.46150123430478,0.3333333333333333,
48,2026-02-23,NASDAQ:AMAT,trim,0.047091770788453266,259.97,373.55,98.0,97.50062463748716,0.3333333333333333,
50,2026-02-25,NASDAQ:AMAT,exit,0.047091770788453266,259.97,394.95,98.0,0.0,,target
50,2026-02-25,NASDAQ:AVGO,entry,0.047091770788453266,332.31,332.31,0.0,36.1701865727784,0.3333333333333333,
62,2026-03-13,NASDAQ:AAPL,exit,,273.08,250.12,122.0,0.0,,horizon
62,2026-03-13,NASDAQ:AMD,exit,,215.34,193.39,142.0,0.0,,horizon
100,2026-05-07,NASDAQ:AVGO,exit,,332.31,412.56,36.0,0.0,,horizon
