origin,end,strat_ret,idx_ret,excess
2025-06-05,2025-08-18,0.0131,0.1005,-0.0874
2025-06-12,2025-08-25,0.0108,0.069,-0.0582
2025-06-20,2025-09-02,0.0192,0.0742,-0.055
2025-06-27,2025-09-09,0.0072,0.0579,-0.0508
2025-07-07,2025-09-16,-0.0079,0.07,-0.078
2025-07-14,2025-09-23,-0.0099,0.0755,-0.0853
2025-07-21,2025-09-30,0.0,0.0647,-0.0647
2025-07-28,2025-10-07,0.0,0.0635,-0.0635
2025-08-04,2025-10-14,0.0,0.06,-0.06
2025-08-11,2025-10-21,0.0,0.068,-0.068
2025-08-18,2025-10-28,0.0,0.0969,-0.0969
2025-08-25,2025-11-04,0.0,0.0858,-0.0858
2025-09-02,2025-11-11,0.0,0.0991,-0.0991
2025-09-09,2025-11-18,0.0,0.0278,-0.0278
2025-09-16,2025-11-25,0.0,0.0307,-0.0307
2025-09-23,2025-12-03,0.0,0.0418,-0.0418
2025-09-30,2025-12-10,0.0,0.0444,-0.0444
2025-10-07,2025-12-17,0.0,-0.0078,0.0078
2025-10-14,2025-12-24,0.0,0.0438,-0.0438
2025-10-21,2026-01-02,0.007,0.0031,0.0039
2025-10-28,2026-01-09,0.0562,-0.0095,0.0656
2025-11-04,2026-01-16,0.0254,0.0037,0.0217
2025-11-11,2026-01-26,0.0497,0.007,0.0427
2025-11-18,2026-02-02,0.3855,0.0504,0.3351
2025-11-25,2026-02-09,0.3998,0.01,0.3898
2025-12-03,2026-02-17,0.3947,-0.0353,0.43
2025-12-10,2026-02-24,0.4192,-0.031,0.4502
2025-12-17,2026-03-03,0.3985,0.0029,0.3955
2025-12-24,2026-03-10,0.3918,-0.0273,0.419
2026-01-02,2026-03-17,0.3556,-0.0169,0.3725
2026-01-09,2026-03-24,0.2865,-0.0685,0.355
2026-01-16,2026-03-31,0.3526,-0.0701,0.4227
2026-01-26,2026-04-08,0.3453,-0.0315,0.3768
2026-02-02,2026-04-15,0.0514,0.0181,0.0333
2026-02-09,2026-04-22,0.0654,0.0661,-0.0006
2026-02-17,2026-04-29,0.0346,0.1006,-0.066
2026-02-24,2026-05-06,-0.0247,0.145,-0.1697
2026-03-03,2026-05-13,-0.0157,0.188,-0.2037
2026-03-10,2026-05-20,-0.0155,0.174,-0.1894
2026-03-17,2026-05-28,0.0079,0.2197,-0.2118
2026-03-24,2026-06-04,0.0326,0.2669,-0.2343
2026-03-31,2026-06-11,-0.004,0.2404,-0.2444
