origin,end,strat_ret,idx_ret,excess
2025-03-26,2025-06-06,0.0059,0.0926,-0.0867
2025-04-02,2025-06-13,0.006,0.1047,-0.0986
2025-04-09,2025-06-23,0.0202,0.1416,-0.1215
2025-04-16,2025-06-30,0.0459,0.2422,-0.1962
2025-04-24,2025-07-08,0.0294,0.1815,-0.1522
2025-05-01,2025-07-15,0.032,0.1566,-0.1245
2025-05-08,2025-07-22,0.0166,0.1495,-0.1329
2025-05-15,2025-07-29,0.0075,0.0924,-0.085
2025-05-22,2025-08-05,0.0073,0.0903,-0.0829
2025-05-30,2025-08-12,0.02,0.1171,-0.097
2025-06-06,2025-08-19,0.0116,0.0746,-0.0629
2025-06-13,2025-08-26,0.0129,0.0876,-0.0747
2025-06-23,2025-09-03,0.0159,0.0713,-0.0554
2025-06-30,2025-09-10,0.0,0.0516,-0.0516
2025-07-08,2025-09-17,0.0,0.067,-0.067
2025-07-15,2025-09-24,0.0,0.0707,-0.0707
2025-07-22,2025-10-01,0.0,0.0753,-0.0753
2025-07-29,2025-10-08,0.0,0.0784,-0.0784
2025-08-05,2025-10-15,0.0,0.075,-0.075
2025-08-12,2025-10-22,0.0358,0.0436,-0.0078
2025-08-19,2025-10-29,0.0033,0.117,-0.1136
2025-08-26,2025-11-05,0.001,0.089,-0.088
2025-09-03,2025-11-12,0.029,0.0898,-0.0608
2025-09-10,2025-11-19,0.0042,0.0332,-0.0289
2025-09-17,2025-11-26,0.028,0.0418,-0.0139
2025-09-24,2025-12-04,0.0407,0.044,-0.0033
2025-10-01,2025-12-11,0.0592,0.0357,0.0235
2025-10-08,2025-12-18,0.0502,-0.0047,0.0549
2025-10-15,2025-12-26,0.066,0.0363,0.0297
2025-10-22,2026-01-05,0.0496,0.021,0.0286
2025-10-29,2026-01-12,0.1145,-0.0127,0.1272
2025-11-05,2026-01-20,0.0553,-0.0247,0.08
2025-11-12,2026-01-27,0.0654,0.0166,0.0488
2025-11-19,2026-02-03,0.0805,0.0283,0.0522
2025-11-26,2026-02-10,0.0994,-0.0043,0.1037
2025-12-04,2026-02-18,0.0734,-0.0267,0.1001
2025-12-11,2026-02-25,0.0426,-0.0139,0.0565
2025-12-18,2026-03-04,0.043,0.003,0.04
2025-12-26,2026-03-11,0.0052,-0.0265,0.0317
2026-01-05,2026-03-18,-0.0433,-0.0384,-0.0048
2026-01-12,2026-03-25,-0.0495,-0.063,0.0135
2026-01-20,2026-04-01,0.0385,-0.0387,0.0772
2026-01-27,2026-04-09,0.0785,-0.0331,0.1116
2026-02-03,2026-04-16,0.1394,0.0392,0.1002
2026-02-10,2026-04-23,0.1249,0.0659,0.059
2026-02-18,2026-04-30,0.1362,0.1025,0.0336
2026-02-25,2026-05-07,0.1836,0.1277,0.0559
2026-03-04,2026-05-14,0.1984,0.1788,0.0196
2026-03-11,2026-05-21,0.2499,0.1759,0.074
2026-03-18,2026-05-29,0.3326,0.2419,0.0907
2026-03-25,2026-06-05,0.2708,0.1984,0.0724
2026-04-01,2026-06-12,0.2226,0.2338,-0.0112
