origin,end,strat_ret,idx_ret,excess
2025-06-05,2025-08-18,0.032,0.1005,-0.0685
2025-06-12,2025-08-25,0.0297,0.069,-0.0394
2025-06-20,2025-09-02,0.0382,0.0742,-0.036
2025-06-27,2025-09-09,0.026,0.0579,-0.032
2025-07-07,2025-09-16,0.0106,0.07,-0.0594
2025-07-14,2025-09-23,-0.0099,0.0755,-0.0854
2025-07-21,2025-09-30,0.0,0.0647,-0.0647
2025-07-28,2025-10-07,0.0,0.0635,-0.0635
2025-08-04,2025-10-14,0.0,0.06,-0.06
2025-08-11,2025-10-21,0.0,0.068,-0.068
2025-08-18,2025-10-28,0.0,0.0969,-0.0969
2025-08-25,2025-11-04,0.0,0.0858,-0.0858
2025-09-02,2025-11-11,0.0,0.0991,-0.0991
2025-09-09,2025-11-18,0.0,0.0278,-0.0278
2025-09-16,2025-11-25,0.0,0.0307,-0.0307
2025-09-23,2025-12-03,0.0,0.0418,-0.0418
2025-09-30,2025-12-10,0.0,0.0444,-0.0444
2025-10-07,2025-12-17,0.0,-0.0078,0.0078
2025-10-14,2025-12-24,0.0,0.0438,-0.0438
2025-10-21,2026-01-02,0.0169,0.0031,0.0138
2025-10-28,2026-01-09,0.0378,-0.0095,0.0472
2025-11-04,2026-01-16,0.1089,0.0037,0.1053
2025-11-11,2026-01-26,0.1287,0.007,0.1217
2025-11-18,2026-02-02,0.4701,0.0504,0.4196
2025-11-25,2026-02-09,0.4256,0.01,0.4156
2025-12-03,2026-02-17,0.4336,-0.0353,0.4689
2025-12-10,2026-02-24,0.4419,-0.031,0.473
2025-12-17,2026-03-03,0.3879,0.0029,0.385
2025-12-24,2026-03-10,0.4519,-0.0273,0.4792
2026-01-02,2026-03-17,0.4014,-0.0169,0.4183
2026-01-09,2026-03-24,0.3939,-0.0685,0.4624
2026-01-16,2026-03-31,0.2474,-0.0701,0.3175
2026-01-26,2026-04-08,0.3523,-0.0315,0.3838
2026-02-02,2026-04-15,0.1133,0.0181,0.0952
2026-02-09,2026-04-22,0.2333,0.0661,0.1673
2026-02-17,2026-04-29,0.1847,0.1006,0.0841
2026-02-24,2026-05-06,0.3067,0.145,0.1617
2026-03-03,2026-05-13,0.405,0.188,0.217
2026-03-10,2026-05-20,0.3646,0.174,0.1907
2026-03-17,2026-05-28,0.4871,0.2197,0.2674
2026-03-24,2026-06-04,0.5333,0.2669,0.2665
2026-03-31,2026-06-11,0.5398,0.2404,0.2994
