origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,0.1799,0.1507,0.0292
2023-08-03,2024-05-20,0.3969,0.1791,0.2178
2023-08-10,2024-05-28,0.4771,0.1873,0.2898
2023-08-17,2024-06-04,0.5764,0.2107,0.3657
2023-08-24,2024-06-11,0.6911,0.2283,0.4628
2023-08-31,2024-06-18,0.5578,0.2173,0.3406
2023-09-08,2024-06-26,0.5487,0.2289,0.3197
2023-09-15,2024-07-03,0.5863,0.2442,0.3421
2023-09-22,2024-07-11,0.6897,0.2927,0.397
2023-09-29,2024-07-18,0.7514,0.293,0.4583
2023-10-06,2024-07-25,0.8042,0.2532,0.551
2023-10-13,2024-08-01,0.7098,0.2585,0.4513
2023-10-20,2024-08-08,0.7248,0.2593,0.4656
2023-10-27,2024-08-15,0.7755,0.3463,0.4292
2023-11-03,2024-08-22,0.671,0.2782,0.3928
2023-11-10,2024-08-29,0.5587,0.2665,0.2922
2023-11-17,2024-09-06,0.5195,0.1981,0.3214
2023-11-27,2024-09-13,0.7138,0.2364,0.4774
2023-12-04,2024-09-20,0.6672,0.2479,0.4193
2023-12-11,2024-09-27,0.7846,0.2414,0.5432
2023-12-18,2024-10-04,0.7106,0.2132,0.4974
2023-12-26,2024-10-11,0.5963,0.2179,0.3784
2024-01-03,2024-10-18,0.6947,0.2465,0.4482
2024-01-10,2024-10-25,0.6167,0.2142,0.4025
2024-01-18,2024-11-01,0.5544,0.1983,0.3561
2024-01-25,2024-11-08,0.557,0.225,0.332
2024-02-01,2024-11-15,0.5026,0.1966,0.3061
2024-02-08,2024-11-22,0.3437,0.1944,0.1494
2024-02-15,2024-12-02,0.2181,0.2023,0.0158
2024-02-23,2024-12-09,0.211,0.1894,0.0216
2024-03-01,2024-12-16,0.1644,0.1824,-0.018
2024-03-08,2024-12-23,0.1583,0.166,-0.0077
2024-03-15,2024-12-31,0.2016,0.1494,0.0522
2024-03-22,2025-01-08,0.1865,0.1307,0.0559
2024-04-01,2025-01-16,0.2095,0.1323,0.0772
2024-04-08,2025-01-24,0.2867,0.1728,0.114
2024-04-15,2025-01-31,0.28,0.1934,0.0866
2024-04-22,2025-02-07,0.3193,0.2026,0.1167
2024-04-29,2025-02-14,0.2532,0.1952,0.058
2024-05-06,2025-02-24,0.2177,0.1549,0.0628
2024-05-13,2025-03-03,0.2576,0.1203,0.1373
2024-05-20,2025-03-10,0.1183,0.0577,0.0606
2024-05-28,2025-03-17,0.1468,0.0696,0.0773
2024-06-04,2025-03-24,0.177,0.09,0.087
2024-06-11,2025-03-31,0.055,0.044,0.011
2024-06-18,2025-04-07,-0.0567,-0.0774,0.0207
2024-06-26,2025-04-14,0.0208,-0.0131,0.0339
2024-07-03,2025-04-22,0.0083,-0.045,0.0534
2024-07-11,2025-04-29,0.0319,-0.0042,0.0361
2024-07-18,2025-05-06,-0.0034,0.0112,-0.0146
2024-07-25,2025-05-13,0.0191,0.0903,-0.0711
2024-08-01,2025-05-20,0.0778,0.0907,-0.0128
2024-08-08,2025-05-28,0.0848,0.107,-0.0222
2024-08-15,2025-06-04,0.0951,0.0771,0.018
2024-08-22,2025-06-11,0.1429,0.0811,0.0618
2024-08-29,2025-06-18,0.1642,0.0695,0.0947
2024-09-06,2025-06-26,0.2321,0.1355,0.0966
2024-09-13,2025-07-03,0.0683,0.1161,-0.0478
2024-09-20,2025-07-11,0.1024,0.0977,0.0047
2024-09-27,2025-07-18,0.0594,0.0974,-0.0379
2024-10-04,2025-07-25,0.0649,0.1109,-0.046
2024-10-11,2025-08-01,0.1095,0.0727,0.0368
2024-10-18,2025-08-08,0.1269,0.0895,0.0374
2024-10-25,2025-08-15,0.1689,0.1105,0.0584
2024-11-01,2025-08-22,0.198,0.1288,0.0692
2024-11-08,2025-08-29,0.1488,0.0775,0.0713
2024-11-15,2025-09-08,0.258,0.1064,0.1516
2024-11-22,2025-09-15,0.2599,0.1082,0.1517
2024-12-02,2025-09-22,0.2054,0.1069,0.0985
2024-12-09,2025-09-29,0.2004,0.1005,0.0999
2024-12-16,2025-10-06,0.2386,0.1097,0.1289
2024-12-23,2025-10-13,0.2951,0.1139,0.1811
2024-12-31,2025-10-20,0.2874,0.1451,0.1423
2025-01-08,2025-10-27,0.2781,0.1617,0.1164
2025-01-16,2025-11-03,0.236,0.154,0.0819
2025-01-24,2025-11-10,0.1676,0.1198,0.0478
2025-01-31,2025-11-17,0.1664,0.1046,0.0618
2025-02-07,2025-11-24,0.2224,0.1127,0.1097
2025-02-14,2025-12-02,0.3061,0.1169,0.1892
2025-02-24,2025-12-09,0.3764,0.1433,0.2332
2025-03-03,2025-12-16,0.2668,0.1625,0.1043
2025-03-10,2025-12-23,0.2728,0.2307,0.0421
2025-03-17,2025-12-31,0.2214,0.2062,0.0152
2025-03-24,2026-01-08,0.1978,0.2001,-0.0022
2025-03-31,2026-01-15,0.3403,0.2375,0.1029
2025-04-07,2026-01-23,0.5676,0.3661,0.2015
2025-04-14,2026-01-30,0.463,0.2836,0.1794
2025-04-22,2026-02-06,0.4723,0.311,0.1613
2025-04-29,2026-02-13,0.4445,0.2293,0.2152
2025-05-06,2026-02-23,0.4083,0.2195,0.1888
2025-05-13,2026-03-02,0.3259,0.169,0.1569
2025-05-20,2026-03-09,0.3684,0.144,0.2244
2025-05-28,2026-03-16,0.3279,0.1377,0.1902
2025-06-04,2026-03-23,0.3086,0.1022,0.2065
2025-06-11,2026-03-30,0.2382,0.0534,0.1849
2025-06-18,2026-04-07,0.305,0.1063,0.1986
2025-06-26,2026-04-14,0.324,0.1346,0.1894
2025-07-03,2026-04-21,0.3997,0.125,0.2747
2025-07-11,2026-04-28,0.4489,0.1404,0.3084
2025-07-18,2026-05-05,0.4437,0.1528,0.2908
2025-07-25,2026-05-12,0.4151,0.1585,0.2566
2025-08-01,2026-05-19,0.4225,0.1788,0.2436
2025-08-08,2026-05-27,0.4297,0.177,0.2527
2025-08-15,2026-06-03,0.4655,0.1711,0.2944
2025-08-22,2026-06-10,0.339,0.1237,0.2153
