origin,end,strat_ret,idx_ret,excess
2024-09-04,2024-11-14,-0.0313,-0.0752,0.0439
2024-09-11,2024-11-25,-0.0298,-0.0416,0.0117
2024-09-18,2024-12-02,-0.0545,-0.0445,-0.0101
2024-09-25,2024-12-09,-0.0702,-0.0443,-0.0259
2024-10-03,2024-12-16,-0.0434,-0.017,-0.0264
2024-10-10,2024-12-23,-0.036,-0.0503,0.0142
2024-10-17,2024-12-31,-0.0178,-0.0428,0.0251
2024-10-24,2025-01-07,0.0849,-0.0196,0.1045
2024-10-31,2025-01-14,-0.0357,-0.0533,0.0176
2024-11-07,2025-01-21,-0.022,-0.0602,0.0382
2024-11-14,2025-01-28,-0.0582,-0.0473,-0.0109
2024-11-25,2025-02-03,-0.0819,-0.051,-0.0308
2024-12-02,2025-02-10,-0.0654,-0.0641,-0.0013
2024-12-09,2025-02-17,-0.081,-0.1133,0.0323
2024-12-16,2025-02-24,-0.0841,-0.1235,0.0394
2024-12-23,2025-03-04,-0.1459,-0.1113,-0.0346
2024-12-31,2025-03-11,-0.1229,-0.0926,-0.0302
2025-01-07,2025-03-19,-0.133,-0.0661,-0.0669
2025-01-14,2025-03-26,-0.0587,-0.0096,-0.0491
2025-01-21,2025-04-03,0.0267,-0.0089,0.0356
2025-01-28,2025-04-11,0.086,-0.0082,0.0942
2025-02-03,2025-04-22,0.1397,0.0319,0.1078
2025-02-10,2025-04-29,0.1587,0.0347,0.124
2025-02-17,2025-05-07,0.2216,0.0688,0.1528
2025-02-24,2025-05-14,0.2834,0.0992,0.1842
2025-03-04,2025-05-21,0.3429,0.1412,0.2017
2025-03-11,2025-05-28,0.2552,0.122,0.1332
2025-03-19,2025-06-04,0.1687,0.0931,0.0755
2025-03-26,2025-06-11,0.2171,0.0969,0.1201
2025-04-03,2025-06-18,0.1128,0.0792,0.0336
2025-04-11,2025-06-25,0.1391,0.1226,0.0165
2025-04-22,2025-07-02,0.1233,0.0662,0.0571
2025-04-29,2025-07-09,0.0992,0.0654,0.0339
2025-05-07,2025-07-16,0.106,0.0634,0.0426
2025-05-14,2025-07-23,0.0234,0.0413,-0.0179
2025-05-21,2025-07-30,-0.0762,0.0133,-0.0896
2025-05-28,2025-08-06,-0.1067,-0.0049,-0.1018
2025-06-04,2025-08-13,-0.1253,-0.0048,-0.1205
2025-06-11,2025-08-21,-0.1779,-0.0086,-0.1693
2025-06-18,2025-08-29,-0.1929,-0.0202,-0.1727
2025-06-25,2025-09-05,-0.1615,-0.0201,-0.1414
2025-07-02,2025-09-12,-0.1554,-0.0152,-0.1402
2025-07-09,2025-09-19,-0.1295,-0.003,-0.1265
2025-07-16,2025-09-26,-0.1499,-0.0324,-0.1175
2025-07-23,2025-10-06,-0.1009,-0.011,-0.0899
2025-07-30,2025-10-13,-0.0259,0.0113,-0.0373
2025-08-06,2025-10-20,0.0462,0.0463,-0.0001
2025-08-13,2025-10-28,0.0496,0.0491,0.0005
2025-08-21,2025-11-04,-0.061,0.0233,-0.0843
2025-08-29,2025-11-12,-0.0225,0.0612,-0.0837
2025-09-05,2025-11-19,-0.0694,0.0472,-0.1166
2025-09-12,2025-11-26,-0.1207,0.033,-0.1537
2025-09-19,2025-12-03,-0.1463,0.0098,-0.1561
2025-09-26,2025-12-10,-0.1425,0.0306,-0.1731
2025-10-06,2025-12-17,-0.1633,0.0141,-0.1774
2025-10-13,2025-12-24,-0.136,0.0238,-0.1599
2025-10-20,2026-01-01,-0.1677,0.0082,-0.1759
2025-10-28,2026-01-08,-0.165,-0.0056,-0.1594
2025-11-04,2026-01-16,-0.0757,-0.008,-0.0677
2025-11-12,2026-01-23,-0.1117,-0.0474,-0.0643
2025-11-19,2026-02-01,-0.0478,-0.0542,0.0063
2025-11-26,2026-02-06,-0.0506,-0.0218,-0.0289
2025-12-03,2026-02-13,-0.0528,-0.017,-0.0359
2025-12-10,2026-02-20,-0.0556,-0.0006,-0.0551
2025-12-17,2026-02-27,-0.0622,-0.014,-0.0482
2025-12-24,2026-03-09,-0.1268,-0.0752,-0.0515
2026-01-01,2026-03-16,-0.1493,-0.1008,-0.0484
2026-01-08,2026-03-23,-0.1293,-0.1274,-0.0019
2026-01-16,2026-04-01,-0.0595,-0.1086,0.0491
2026-01-23,2026-04-09,0.0141,-0.0295,0.0435
2026-02-01,2026-04-17,0.0611,0.0114,0.0497
2026-02-06,2026-04-24,0.0731,-0.0369,0.11
2026-02-13,2026-05-04,0.142,-0.0207,0.1627
2026-02-20,2026-05-11,0.1562,-0.0256,0.1818
2026-02-27,2026-05-18,0.1369,-0.0305,0.1674
