cell,market,universe,AUC,H,n,spearman_excess_vs_idx,p,n_up,med_excess_up,winrate_up,n_dn,med_excess_dn,winrate_dn
ndx_cell5,US,nasdaq100,0.52,50,52,-0.552,0.0,41,-0.0554,0.341,11,0.0772,0.909
ndx_baccept,US,nasdaq100,0.47,50,42,-0.95,0.0,33,-0.06,0.212,9,0.3768,1.0
ndx40_mix,US,nasdaq100,0.74,50,42,-0.442,0.003,33,-0.0307,0.455,9,0.4183,1.0
sp500_50,US,sp500,0.9,50,13,-0.154,0.616,8,0.0678,0.875,5,0.1032,1.0
sp500_20,US,sp500,0.76,25,18,0.234,0.349,9,0.1072,1.0,9,0.0918,1.0
r1k_50,US,russell1000,0.73,200,105,0.638,0.0,101,0.1516,0.901,4,0.035,1.0
nifty_50_50d,NSE,nifty500,0.89,50,75,0.059,0.612,28,0.0085,0.536,47,-0.0264,0.383
nifty_50_25d,NSE,nifty500,0.83,25,80,-0.163,0.149,38,-0.0376,0.342,42,-0.0226,0.357
nifty_30_25d,NSE,nifty500,0.81,25,80,-0.377,0.001,38,-0.0048,0.474,42,0.0091,0.571
nifty_20_25d,NSE,nifty500,0.72,25,80,-0.121,0.286,38,0.0013,0.5,42,0.0341,0.643
nifty_10_25d,NSE,nifty500,0.6,25,80,-0.624,0.0,38,-0.0301,0.105,42,0.0113,0.69
