origin,end,strat_ret,idx_ret,excess
2024-09-04,2024-10-10,-0.0163,-0.0063,-0.0099
2024-09-11,2024-10-17,-0.0012,-0.0066,0.0053
2024-09-18,2024-10-24,-0.0797,-0.0465,-0.0332
2024-09-25,2024-10-31,-0.0584,-0.069,0.0106
2024-10-03,2024-11-07,-0.0353,-0.04,0.0047
2024-10-10,2024-11-14,-0.0883,-0.0693,-0.019
2024-10-17,2024-11-25,-0.0652,-0.0352,-0.0299
2024-10-24,2024-12-02,0.0342,0.0021,0.0321
2024-10-31,2024-12-09,0.0235,0.0266,-0.0031
2024-11-07,2024-12-16,0.0155,0.0239,-0.0085
2024-11-14,2024-12-23,0.0527,0.0205,0.0322
2024-11-25,2024-12-31,0.0322,-0.0079,0.0401
2024-12-02,2025-01-07,-0.0271,-0.0216,-0.0054
2024-12-09,2025-01-14,-0.083,-0.0777,-0.0052
2024-12-16,2025-01-21,-0.0759,-0.0822,0.0063
2024-12-23,2025-01-28,-0.0896,-0.0664,-0.0232
2024-12-31,2025-02-03,-0.0841,-0.0435,-0.0406
2025-01-07,2025-02-10,-0.0636,-0.0434,-0.0202
2025-01-14,2025-02-17,-0.102,-0.0386,-0.0634
2025-01-21,2025-02-24,-0.1,-0.045,-0.055
2025-01-28,2025-03-04,-0.0948,-0.0481,-0.0467
2025-02-03,2025-03-11,-0.0611,-0.0514,-0.0097
2025-02-10,2025-03-19,-0.0472,-0.0237,-0.0235
2025-02-17,2025-03-26,0.0396,0.0302,0.0094
2025-02-24,2025-04-03,0.0371,0.0379,-0.0008
2025-03-04,2025-04-11,0.0526,0.0419,0.0107
2025-03-11,2025-04-22,0.065,0.0878,-0.0228
2025-03-19,2025-04-29,0.0436,0.0598,-0.0162
2025-03-26,2025-05-07,0.0259,0.0375,-0.0116
2025-04-03,2025-05-14,0.0493,0.0591,-0.0098
2025-04-11,2025-05-21,0.1089,0.0953,0.0136
2025-04-22,2025-05-28,0.0684,0.0314,0.0369
2025-04-29,2025-06-04,0.0691,0.0315,0.0376
2025-05-07,2025-06-11,0.0799,0.0573,0.0225
2025-05-14,2025-06-18,0.0198,0.0189,0.0009
2025-05-21,2025-06-25,0.0151,0.0249,-0.0098
2025-05-28,2025-07-02,0.0109,0.0337,-0.0228
2025-06-04,2025-07-09,0.0141,0.0329,-0.0188
2025-06-11,2025-07-16,0.0179,0.0058,0.0121
2025-06-18,2025-07-23,0.0348,0.0219,0.0129
2025-06-25,2025-07-30,-0.0283,-0.0113,-0.017
2025-07-02,2025-08-06,-0.0657,-0.0374,-0.0283
2025-07-09,2025-08-13,-0.062,-0.0365,-0.0255
2025-07-16,2025-08-21,-0.0663,-0.0143,-0.052
2025-07-23,2025-08-29,-0.0844,-0.0412,-0.0432
2025-07-30,2025-09-05,-0.0156,-0.0089,-0.0068
2025-08-06,2025-09-12,0.0415,0.0231,0.0184
2025-08-13,2025-09-19,0.0578,0.0347,0.023
2025-08-21,2025-09-26,-0.0044,-0.0183,0.0139
2025-08-29,2025-10-06,0.0437,0.0315,0.0123
2025-09-05,2025-10-13,0.0041,0.0204,-0.0163
2025-09-12,2025-10-20,-0.034,0.0227,-0.0567
2025-09-19,2025-10-28,-0.0487,0.0139,-0.0626
2025-09-26,2025-11-04,0.0021,0.0424,-0.0403
2025-10-06,2025-11-12,-0.04,0.0288,-0.0688
2025-10-13,2025-11-19,-0.044,0.0263,-0.0702
2025-10-20,2025-11-26,-0.0566,0.0101,-0.0667
2025-10-28,2025-12-03,-0.0773,-0.004,-0.0733
2025-11-04,2025-12-10,-0.0864,-0.0113,-0.0751
2025-11-12,2025-12-17,-0.0603,-0.0143,-0.046
2025-11-19,2025-12-24,-0.0042,-0.0023,-0.0019
2025-11-26,2026-01-01,0.0264,-0.0019,0.0283
2025-12-03,2026-01-08,0.0245,-0.0015,0.026
2025-12-10,2026-01-16,0.0434,0.0033,0.0401
2025-12-17,2026-01-23,0.0138,-0.0336,0.0474
2025-12-24,2026-02-01,-0.002,-0.0519,0.0499
2026-01-01,2026-02-06,0.0256,-0.0199,0.0455
2026-01-08,2026-02-13,0.0564,-0.0155,0.0719
2026-01-16,2026-02-20,0.0439,-0.0038,0.0477
2026-01-23,2026-02-27,0.0652,0.0203,0.0449
2026-02-01,2026-03-09,-0.0012,-0.0245,0.0234
2026-02-06,2026-03-16,-0.0533,-0.0826,0.0292
2026-02-13,2026-03-23,-0.0773,-0.1136,0.0363
2026-02-20,2026-04-01,-0.0489,-0.1051,0.0562
2026-02-27,2026-04-09,-0.0172,-0.0487,0.0316
2026-03-09,2026-04-17,0.0617,0.0369,0.0248
2026-03-16,2026-04-24,0.0943,0.0498,0.0444
2026-03-23,2026-05-04,0.1269,0.1048,0.022
2026-04-01,2026-05-11,0.1018,0.0889,0.0129
2026-04-09,2026-05-18,0.0241,0.0192,0.0049
