origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,0.271,0.1507,0.1203
2023-08-03,2024-05-20,0.2121,0.1791,0.0331
2023-08-10,2024-05-28,0.2484,0.1873,0.0611
2023-08-17,2024-06-04,0.4582,0.2107,0.2474
2023-08-24,2024-06-11,0.489,0.2283,0.2607
2023-08-31,2024-06-18,0.416,0.2173,0.1987
2023-09-08,2024-06-26,0.416,0.2289,0.1871
2023-09-15,2024-07-03,0.4286,0.2442,0.1844
2023-09-22,2024-07-11,0.5417,0.2927,0.249
2023-09-29,2024-07-18,0.5379,0.293,0.2449
2023-10-06,2024-07-25,0.5515,0.2532,0.2983
2023-10-13,2024-08-01,0.5694,0.2585,0.3108
2023-10-20,2024-08-08,0.562,0.2593,0.3028
2023-10-27,2024-08-15,0.6409,0.3463,0.2946
2023-11-03,2024-08-22,0.5467,0.2782,0.2685
2023-11-10,2024-08-29,0.5575,0.2665,0.291
2023-11-17,2024-09-06,0.4057,0.1981,0.2076
2023-11-27,2024-09-13,0.5361,0.2364,0.2997
2023-12-04,2024-09-20,0.5767,0.2479,0.3288
2023-12-11,2024-09-27,0.614,0.2414,0.3726
2023-12-18,2024-10-04,0.5529,0.2132,0.3397
2023-12-26,2024-10-11,0.5605,0.2179,0.3426
2024-01-03,2024-10-18,0.6256,0.2465,0.379
2024-01-10,2024-10-25,0.5558,0.2142,0.3416
2024-01-18,2024-11-01,0.5649,0.1983,0.3666
2024-01-25,2024-11-08,0.6343,0.225,0.4092
2024-02-01,2024-11-15,0.5696,0.1966,0.373
2024-02-08,2024-11-22,0.5724,0.1944,0.378
2024-02-15,2024-12-02,0.5101,0.2023,0.3078
2024-02-23,2024-12-09,0.4925,0.1894,0.303
2024-03-01,2024-12-16,0.3878,0.1824,0.2054
2024-03-08,2024-12-23,0.3337,0.166,0.1677
2024-03-15,2024-12-31,0.3175,0.1494,0.1681
2024-03-22,2025-01-08,0.3415,0.1307,0.2108
2024-04-01,2025-01-16,0.3135,0.1323,0.1812
2024-04-08,2025-01-24,0.3562,0.1728,0.1835
2024-04-15,2025-01-31,0.3908,0.1934,0.1974
2024-04-22,2025-02-07,0.394,0.2026,0.1913
2024-04-29,2025-02-14,0.3196,0.1952,0.1244
2024-05-06,2025-02-24,0.2231,0.1549,0.0682
2024-05-13,2025-03-03,0.1979,0.1203,0.0775
2024-05-20,2025-03-10,0.1448,0.0577,0.087
2024-05-28,2025-03-17,0.1994,0.0696,0.1298
2024-06-04,2025-03-24,0.1068,0.09,0.0168
2024-06-11,2025-03-31,0.0219,0.044,-0.0221
2024-06-18,2025-04-07,-0.0946,-0.0774,-0.0172
