origin,end,strat_ret,idx_ret,excess
2025-12-30,2026-03-13,-0.0001,-0.0383,0.0382
2026-01-07,2026-03-20,-0.0477,-0.0599,0.0122
2026-01-14,2026-03-27,-0.0832,-0.0805,-0.0027
2026-01-22,2026-04-06,-0.0777,-0.0436,-0.0341
2026-01-29,2026-04-13,-0.0158,-0.0119,-0.0039
2026-02-05,2026-04-20,0.1253,0.0457,0.0796
2026-02-12,2026-04-27,0.0957,0.0499,0.0457
2026-02-20,2026-05-04,0.0927,0.0422,0.0506
2026-02-27,2026-05-11,0.1979,0.0776,0.1203
2026-03-06,2026-05-18,0.2165,0.0984,0.1181
2026-03-13,2026-05-26,0.3046,0.1337,0.1708
2026-03-20,2026-06-02,0.3476,0.1696,0.178
2026-03-27,2026-06-09,0.2711,0.1598,0.1113
