origin,end,strat_ret,idx_ret,excess
2024-09-04,2024-11-14,-0.1103,-0.0752,-0.0351
2024-09-11,2024-11-25,-0.0718,-0.0416,-0.0302
2024-09-18,2024-12-02,-0.0873,-0.0445,-0.0428
2024-09-25,2024-12-09,-0.0612,-0.0443,-0.0169
2024-10-03,2024-12-16,-0.0248,-0.017,-0.0078
2024-10-10,2024-12-23,-0.0392,-0.0503,0.011
2024-10-17,2024-12-31,-0.0214,-0.0428,0.0214
2024-10-24,2025-01-07,-0.0111,-0.0196,0.0085
2024-10-31,2025-01-14,-0.011,-0.0533,0.0422
2024-11-07,2025-01-21,-0.0084,-0.0602,0.0518
2024-11-14,2025-01-28,0.017,-0.0473,0.0642
2024-11-25,2025-02-03,0.0018,-0.051,0.0529
2024-12-02,2025-02-10,0.0043,-0.0641,0.0684
2024-12-09,2025-02-17,0.0,-0.1133,0.1133
2024-12-16,2025-02-24,0.0,-0.1235,0.1235
2024-12-23,2025-03-04,0.0,-0.1113,0.1113
2024-12-31,2025-03-11,0.0,-0.0926,0.0926
2025-01-07,2025-03-19,0.0,-0.0661,0.0661
2025-01-14,2025-03-26,0.0,-0.0096,0.0096
2025-01-21,2025-04-03,0.0,-0.0089,0.0089
2025-01-28,2025-04-11,0.0,-0.0082,0.0082
2025-02-03,2025-04-22,0.0,0.0319,-0.0319
2025-02-10,2025-04-29,0.0,0.0347,-0.0347
2025-02-17,2025-05-07,0.0,0.0688,-0.0688
2025-02-24,2025-05-14,0.0,0.0992,-0.0992
2025-03-04,2025-05-21,0.0,0.1412,-0.1412
2025-03-11,2025-05-28,0.0,0.122,-0.122
2025-03-19,2025-06-04,0.0,0.0931,-0.0931
2025-03-26,2025-06-11,0.0,0.0969,-0.0969
2025-04-03,2025-06-18,0.0,0.0792,-0.0792
2025-04-11,2025-06-25,0.0,0.1226,-0.1226
2025-04-22,2025-07-02,0.0,0.0662,-0.0662
2025-04-29,2025-07-09,0.0,0.0654,-0.0654
2025-05-07,2025-07-16,0.0,0.0634,-0.0634
2025-05-14,2025-07-23,0.0,0.0413,-0.0413
2025-05-21,2025-07-30,0.0,0.0133,-0.0133
2025-05-28,2025-08-06,0.0,-0.0049,0.0049
2025-06-04,2025-08-13,0.0,-0.0048,0.0048
2025-06-11,2025-08-21,0.0,-0.0086,0.0086
2025-06-18,2025-08-29,0.0,-0.0202,0.0202
2025-06-25,2025-09-05,0.0,-0.0201,0.0201
2025-07-02,2025-09-12,0.0,-0.0152,0.0152
2025-07-09,2025-09-19,0.0,-0.003,0.003
2025-07-16,2025-09-26,0.0,-0.0324,0.0324
2025-07-23,2025-10-06,0.0,-0.011,0.011
2025-07-30,2025-10-13,0.0,0.0113,-0.0113
2025-08-06,2025-10-20,0.0,0.0463,-0.0463
2025-08-13,2025-10-28,0.0,0.0491,-0.0491
2025-08-21,2025-11-04,0.0,0.0233,-0.0233
2025-08-29,2025-11-12,0.0,0.0612,-0.0612
2025-09-05,2025-11-19,0.0,0.0472,-0.0472
2025-09-12,2025-11-26,0.0,0.033,-0.033
2025-09-19,2025-12-03,0.0,0.0098,-0.0098
2025-09-26,2025-12-10,0.0,0.0306,-0.0306
2025-10-06,2025-12-17,0.0,0.0141,-0.0141
2025-10-13,2025-12-24,0.0,0.0238,-0.0238
2025-10-20,2026-01-01,0.0,0.0082,-0.0082
2025-10-28,2026-01-08,0.0,-0.0056,0.0056
2025-11-04,2026-01-16,0.0,-0.008,0.008
2025-11-12,2026-01-23,0.0,-0.0474,0.0474
2025-11-19,2026-02-01,0.0,-0.0542,0.0542
2025-11-26,2026-02-06,0.0,-0.0218,0.0218
2025-12-03,2026-02-13,0.0,-0.017,0.017
2025-12-10,2026-02-20,0.0,-0.0006,0.0006
2025-12-17,2026-02-27,0.0,-0.014,0.014
2025-12-24,2026-03-09,0.0,-0.0752,0.0752
2026-01-01,2026-03-16,0.0,-0.1008,0.1008
2026-01-08,2026-03-23,0.0,-0.1274,0.1274
2026-01-16,2026-04-01,0.0,-0.1086,0.1086
2026-01-23,2026-04-09,0.0,-0.0295,0.0295
2026-02-01,2026-04-17,0.0,0.0114,-0.0114
2026-02-06,2026-04-24,0.0,-0.0369,0.0369
2026-02-13,2026-05-04,0.0,-0.0207,0.0207
2026-02-20,2026-05-11,0.0,-0.0256,0.0256
2026-02-27,2026-05-18,0.0,-0.0305,0.0305
