origin,end,strat_ret,idx_ret,excess
2025-12-30,2026-03-13,-0.0076,-0.0383,0.0307
2026-01-07,2026-03-20,-0.028,-0.0599,0.0319
2026-01-14,2026-03-27,-0.0116,-0.0805,0.0689
2026-01-22,2026-04-06,-0.0078,-0.0436,0.0358
2026-01-29,2026-04-13,0.0078,-0.0119,0.0197
2026-02-05,2026-04-20,-0.0015,0.0457,-0.0472
2026-02-12,2026-04-27,-0.0246,0.0499,-0.0745
2026-02-20,2026-05-04,-0.0267,0.0422,-0.0689
2026-02-27,2026-05-11,-0.0222,0.0776,-0.0998
2026-03-06,2026-05-18,-0.0154,0.0984,-0.1138
2026-03-13,2026-05-26,-0.0065,0.1337,-0.1402
2026-03-20,2026-06-02,0.0115,0.1696,-0.1581
2026-03-27,2026-06-09,-0.0002,0.1598,-0.16
