origin,end,strat_ret,idx_ret,excess
2024-09-04,2024-10-10,-0.0125,-0.0063,-0.0062
2024-09-11,2024-10-17,-0.0076,-0.0066,-0.001
2024-09-18,2024-10-24,-0.0072,-0.0465,0.0392
2024-09-25,2024-10-31,-0.0248,-0.069,0.0442
2024-10-03,2024-11-07,-0.0164,-0.04,0.0235
2024-10-10,2024-11-14,-0.0118,-0.0693,0.0575
2024-10-17,2024-11-25,-0.0092,-0.0352,0.026
2024-10-24,2024-12-02,-0.0098,0.0021,-0.0119
2024-10-31,2024-12-09,0.0002,0.0266,-0.0264
2024-11-07,2024-12-16,0.0,0.0239,-0.0239
2024-11-14,2024-12-23,0.0,0.0205,-0.0205
2024-11-25,2024-12-31,0.0,-0.0079,0.0079
2024-12-02,2025-01-07,0.0,-0.0216,0.0216
2024-12-09,2025-01-14,0.0,-0.0777,0.0777
2024-12-16,2025-01-21,0.0,-0.0822,0.0822
2024-12-23,2025-01-28,0.0,-0.0664,0.0664
2024-12-31,2025-02-03,0.0,-0.0435,0.0435
2025-01-07,2025-02-10,0.0,-0.0434,0.0434
2025-01-14,2025-02-17,0.0,-0.0386,0.0386
2025-01-21,2025-02-24,0.0,-0.045,0.045
2025-01-28,2025-03-04,0.0,-0.0481,0.0481
2025-02-03,2025-03-11,0.0,-0.0514,0.0514
2025-02-10,2025-03-19,0.0,-0.0237,0.0237
2025-02-17,2025-03-26,0.0,0.0302,-0.0302
2025-02-24,2025-04-03,0.0,0.0379,-0.0379
2025-03-04,2025-04-11,0.0,0.0419,-0.0419
2025-03-11,2025-04-22,0.0,0.0878,-0.0878
2025-03-19,2025-04-29,0.0,0.0598,-0.0598
2025-03-26,2025-05-07,0.0,0.0375,-0.0375
2025-04-03,2025-05-14,0.0,0.0591,-0.0591
2025-04-11,2025-05-21,0.0,0.0953,-0.0953
2025-04-22,2025-05-28,0.0,0.0314,-0.0314
2025-04-29,2025-06-04,0.0,0.0315,-0.0315
2025-05-07,2025-06-11,0.0,0.0573,-0.0573
2025-05-14,2025-06-18,0.0,0.0189,-0.0189
2025-05-21,2025-06-25,0.0,0.0249,-0.0249
2025-05-28,2025-07-02,0.0,0.0337,-0.0337
2025-06-04,2025-07-09,0.0,0.0329,-0.0329
2025-06-11,2025-07-16,0.0,0.0058,-0.0058
2025-06-18,2025-07-23,0.0,0.0219,-0.0219
2025-06-25,2025-07-30,0.0,-0.0113,0.0113
2025-07-02,2025-08-06,0.0,-0.0374,0.0374
2025-07-09,2025-08-13,0.0,-0.0365,0.0365
2025-07-16,2025-08-21,0.0,-0.0143,0.0143
2025-07-23,2025-08-29,0.0,-0.0412,0.0412
2025-07-30,2025-09-05,0.0,-0.0089,0.0089
2025-08-06,2025-09-12,0.0,0.0231,-0.0231
2025-08-13,2025-09-19,0.0,0.0347,-0.0347
2025-08-21,2025-09-26,0.0,-0.0183,0.0183
2025-08-29,2025-10-06,0.0,0.0315,-0.0315
2025-09-05,2025-10-13,0.0,0.0204,-0.0204
2025-09-12,2025-10-20,0.0,0.0227,-0.0227
2025-09-19,2025-10-28,0.0,0.0139,-0.0139
2025-09-26,2025-11-04,0.0,0.0424,-0.0424
2025-10-06,2025-11-12,0.0,0.0288,-0.0288
2025-10-13,2025-11-19,0.0,0.0263,-0.0263
2025-10-20,2025-11-26,0.0,0.0101,-0.0101
2025-10-28,2025-12-03,0.0,-0.004,0.004
2025-11-04,2025-12-10,0.0,-0.0113,0.0113
2025-11-12,2025-12-17,0.0,-0.0143,0.0143
2025-11-19,2025-12-24,0.0,-0.0023,0.0023
2025-11-26,2026-01-01,0.0,-0.0019,0.0019
2025-12-03,2026-01-08,0.0,-0.0015,0.0015
2025-12-10,2026-01-16,0.0,0.0033,-0.0033
2025-12-17,2026-01-23,0.0,-0.0336,0.0336
2025-12-24,2026-02-01,0.0,-0.0519,0.0519
2026-01-01,2026-02-06,0.0,-0.0199,0.0199
2026-01-08,2026-02-13,0.0,-0.0155,0.0155
2026-01-16,2026-02-20,0.0,-0.0038,0.0038
2026-01-23,2026-02-27,0.0,0.0203,-0.0203
2026-02-01,2026-03-09,0.0,-0.0245,0.0245
2026-02-06,2026-03-16,0.0,-0.0826,0.0826
2026-02-13,2026-03-23,0.0,-0.1136,0.1136
2026-02-20,2026-04-01,0.0,-0.1051,0.1051
2026-02-27,2026-04-09,0.0,-0.0487,0.0487
2026-03-09,2026-04-17,0.0,0.0369,-0.0369
2026-03-16,2026-04-24,0.0,0.0498,-0.0498
2026-03-23,2026-05-04,0.0,0.1048,-0.1048
2026-04-01,2026-05-11,0.0,0.0889,-0.0889
2026-04-09,2026-05-18,0.0,0.0192,-0.0192
