origin,end,strat_ret,idx_ret,excess
2025-12-30,2026-03-13,-0.0471,-0.0383,-0.0088
2026-01-07,2026-03-20,-0.0688,-0.0599,-0.0089
2026-01-14,2026-03-27,-0.0585,-0.0805,0.022
2026-01-22,2026-04-06,-0.0627,-0.0436,-0.0191
2026-01-29,2026-04-13,-0.0655,-0.0119,-0.0536
2026-02-05,2026-04-20,-0.0181,0.0457,-0.0638
2026-02-12,2026-04-27,0.0129,0.0499,-0.037
2026-02-20,2026-05-04,0.0136,0.0422,-0.0285
2026-02-27,2026-05-11,0.0054,0.0776,-0.0722
2026-03-06,2026-05-18,-0.0035,0.0984,-0.1018
2026-03-13,2026-05-26,0.0144,0.1337,-0.1193
2026-03-20,2026-06-02,0.0351,0.1696,-0.1344
2026-03-27,2026-06-09,0.029,0.1598,-0.1308
