origin,end,strat_ret,idx_ret,excess
2021-12-21,2022-01-27,0.0226,-0.0694,0.0921
2021-12-29,2022-02-03,-0.0024,-0.0658,0.0635
2022-01-05,2022-02-10,-0.0483,-0.0418,-0.0065
2022-01-12,2022-02-17,-0.1244,-0.0732,-0.0512
2022-01-20,2022-02-25,-0.0249,-0.0219,-0.003
2022-01-27,2022-03-04,-0.0004,0.0005,-0.001
2022-02-03,2022-03-11,-0.0532,-0.061,0.0078
2022-02-10,2022-03-18,0.0156,-0.0091,0.0246
2022-02-17,2022-03-25,0.0694,0.0372,0.0322
2022-02-25,2022-04-01,-0.0019,0.0368,-0.0387
2022-03-04,2022-04-08,0.0032,0.0368,-0.0336
2022-03-11,2022-04-18,0.0104,0.0446,-0.0341
2022-03-18,2022-04-25,-0.0743,-0.0374,-0.0369
2022-03-25,2022-05-02,-0.1086,-0.0853,-0.0233
2022-04-01,2022-05-09,-0.1064,-0.122,0.0156
2022-04-08,2022-05-16,-0.063,-0.107,0.044
2022-04-18,2022-05-23,-0.0358,-0.0952,0.0594
2022-04-25,2022-05-31,0.0037,-0.0382,0.0419
2022-05-02,2022-06-07,0.0189,0.0013,0.0176
2022-05-09,2022-06-14,-0.0842,-0.0641,-0.0201
2022-05-16,2022-06-22,-0.0922,-0.0619,-0.0303
2022-05-23,2022-06-29,-0.0835,-0.039,-0.0445
2022-05-31,2022-07-07,-0.1028,-0.0555,-0.0472
2022-06-07,2022-07-14,-0.1254,-0.089,-0.0364
2022-06-14,2022-07-21,0.1074,0.0705,0.0369
2022-06-22,2022-07-28,0.1091,0.0831,0.026
2022-06-29,2022-08-04,0.0974,0.0872,0.0101
2022-07-07,2022-08-11,0.1365,0.0781,0.0584
2022-07-14,2022-08-18,0.1713,0.1302,0.0411
2022-07-21,2022-08-25,0.0355,0.0501,-0.0145
2022-07-28,2022-09-01,-0.0424,-0.0259,-0.0165
2022-08-04,2022-09-09,-0.0022,-0.0204,0.0182
2022-08-11,2022-09-16,-0.1438,-0.0794,-0.0644
2022-08-18,2022-09-23,-0.2118,-0.1378,-0.0739
2022-08-25,2022-09-30,-0.1993,-0.1461,-0.0532
2022-09-01,2022-10-07,-0.1132,-0.0825,-0.0307
2022-09-09,2022-10-14,-0.1566,-0.1191,-0.0375
2022-09-16,2022-10-21,-0.0183,-0.0311,0.0128
2022-09-23,2022-10-28,0.1126,0.0563,0.0564
2022-09-30,2022-11-04,0.0766,0.0516,0.025
2022-10-07,2022-11-11,0.1907,0.0971,0.0937
2022-10-14,2022-11-18,0.195,0.1067,0.0883
