origin,end,strat_ret,idx_ret,excess
2021-12-21,2022-01-27,0.123,-0.0694,0.1924
2021-12-29,2022-02-03,0.0755,-0.0658,0.1413
2022-01-05,2022-02-10,0.0202,-0.0418,0.062
2022-01-12,2022-02-17,-0.0409,-0.0732,0.0323
2022-01-20,2022-02-25,-0.0034,-0.0219,0.0185
2022-01-27,2022-03-04,0.0,0.0005,-0.0005
2022-02-03,2022-03-11,0.0,-0.061,0.061
2022-02-10,2022-03-18,0.0,-0.0091,0.0091
2022-02-17,2022-03-25,0.0172,0.0372,-0.0199
2022-02-25,2022-04-01,0.0624,0.0368,0.0256
2022-03-04,2022-04-08,0.0166,0.0368,-0.0203
2022-03-11,2022-04-18,0.0055,0.0446,-0.039
2022-03-18,2022-04-25,-0.0234,-0.0374,0.014
2022-03-25,2022-05-02,-0.0798,-0.0853,0.0055
2022-04-01,2022-05-09,-0.1189,-0.122,0.0031
2022-04-08,2022-05-16,-0.0792,-0.107,0.0278
2022-04-18,2022-05-23,-0.0691,-0.0952,0.0261
2022-04-25,2022-05-31,-0.0415,-0.0382,-0.0034
2022-05-02,2022-06-07,0.0,0.0013,-0.0013
2022-05-09,2022-06-14,0.0,-0.0641,0.0641
2022-05-16,2022-06-22,0.0,-0.0619,0.0619
2022-05-23,2022-06-29,0.0,-0.039,0.039
2022-05-31,2022-07-07,0.0,-0.0555,0.0555
2022-06-07,2022-07-14,0.0,-0.089,0.089
2022-06-14,2022-07-21,0.0329,0.0705,-0.0376
2022-06-22,2022-07-28,0.0723,0.0831,-0.0108
2022-06-29,2022-08-04,0.0622,0.0872,-0.025
2022-07-07,2022-08-11,0.0572,0.0781,-0.0209
2022-07-14,2022-08-18,0.0448,0.1302,-0.0854
2022-07-21,2022-08-25,0.0196,0.0501,-0.0305
2022-07-28,2022-09-01,-0.0888,-0.0259,-0.0629
2022-08-04,2022-09-09,-0.0451,-0.0204,-0.0247
2022-08-11,2022-09-16,-0.092,-0.0794,-0.0126
2022-08-18,2022-09-23,-0.1066,-0.1378,0.0313
2022-08-25,2022-09-30,-0.1108,-0.1461,0.0353
2022-09-01,2022-10-07,-0.0283,-0.0825,0.0542
2022-09-09,2022-10-14,-0.0915,-0.1191,0.0276
2022-09-16,2022-10-21,-0.04,-0.0311,-0.0088
2022-09-23,2022-10-28,-0.0127,0.0563,-0.069
2022-09-30,2022-11-04,-0.0762,0.0516,-0.1277
2022-10-07,2022-11-11,0.031,0.0971,-0.066
2022-10-14,2022-11-18,0.0347,0.1067,-0.072
