origin,end,strat_ret,idx_ret,excess
2025-12-30,2026-03-13,0.0863,-0.0383,0.1246
2026-01-07,2026-03-20,0.0709,-0.0599,0.1308
2026-01-14,2026-03-27,0.0362,-0.0805,0.1167
2026-01-22,2026-04-06,-0.0051,-0.0436,0.0385
2026-01-29,2026-04-13,0.013,-0.0119,0.0248
2026-02-05,2026-04-20,0.1621,0.0457,0.1164
2026-02-12,2026-04-27,0.2498,0.0499,0.1999
2026-02-20,2026-05-04,0.2147,0.0422,0.1725
2026-02-27,2026-05-11,0.3897,0.0776,0.3121
2026-03-06,2026-05-18,0.3421,0.0984,0.2437
2026-03-13,2026-05-26,0.477,0.1337,0.3433
2026-03-20,2026-06-02,0.5429,0.1696,0.3733
2026-03-27,2026-06-09,0.4836,0.1598,0.3238
