origin,end,strat_ret,idx_ret,excess
2021-12-21,2022-01-27,-0.0958,-0.0694,-0.0264
2021-12-29,2022-02-03,-0.0678,-0.0658,-0.002
2022-01-05,2022-02-10,-0.0764,-0.0418,-0.0346
2022-01-12,2022-02-17,-0.1437,-0.0732,-0.0705
2022-01-20,2022-02-25,-0.0864,-0.0219,-0.0645
2022-01-27,2022-03-04,-0.0182,0.0005,-0.0187
2022-02-03,2022-03-11,-0.0376,-0.061,0.0234
2022-02-10,2022-03-18,-0.0463,-0.0091,-0.0372
2022-02-17,2022-03-25,-0.0224,0.0372,-0.0595
2022-02-25,2022-04-01,-0.0036,0.0368,-0.0403
2022-03-04,2022-04-08,-0.0699,0.0368,-0.1067
2022-03-11,2022-04-18,-0.0937,0.0446,-0.1382
2022-03-18,2022-04-25,-0.1036,-0.0374,-0.0662
2022-03-25,2022-05-02,-0.1257,-0.0853,-0.0403
2022-04-01,2022-05-09,-0.1681,-0.122,-0.0461
2022-04-08,2022-05-16,-0.0717,-0.107,0.0353
2022-04-18,2022-05-23,-0.0386,-0.0952,0.0565
2022-04-25,2022-05-31,-0.0202,-0.0382,0.0179
2022-05-02,2022-06-07,0.016,0.0013,0.0148
2022-05-09,2022-06-14,0.0678,-0.0641,0.1319
2022-05-16,2022-06-22,0.0271,-0.0619,0.089
2022-05-23,2022-06-29,0.0195,-0.039,0.0585
2022-05-31,2022-07-07,0.0115,-0.0555,0.0671
2022-06-07,2022-07-14,0.0,-0.089,0.089
2022-06-14,2022-07-21,0.0,0.0705,-0.0705
2022-06-22,2022-07-28,0.0283,0.0831,-0.0548
2022-06-29,2022-08-04,0.0793,0.0872,-0.0079
2022-07-07,2022-08-11,0.0827,0.0781,0.0046
2022-07-14,2022-08-18,0.0904,0.1302,-0.0397
2022-07-21,2022-08-25,0.0715,0.0501,0.0214
2022-07-28,2022-09-01,-0.008,-0.0259,0.0179
2022-08-04,2022-09-09,-0.0151,-0.0204,0.0053
2022-08-11,2022-09-16,-0.0989,-0.0794,-0.0195
2022-08-18,2022-09-23,-0.1467,-0.1378,-0.0088
2022-08-25,2022-09-30,-0.1327,-0.1461,0.0134
2022-09-01,2022-10-07,-0.089,-0.0825,-0.0065
2022-09-09,2022-10-14,-0.1258,-0.1191,-0.0067
2022-09-16,2022-10-21,-0.0475,-0.0311,-0.0164
2022-09-23,2022-10-28,-0.0013,0.0563,-0.0576
2022-09-30,2022-11-04,0.0,0.0516,-0.0516
2022-10-07,2022-11-11,0.0,0.0971,-0.0971
2022-10-14,2022-11-18,0.0,0.1067,-0.1067
