date,strat_equity,idx_equity
2021-12-21,100000.0,100000.0
2021-12-22,99886.8,101018.01972205788
2021-12-23,100794.51,101646.7255634885
2021-12-27,102631.74,103053.4080166795
2021-12-28,102732.79000000001,102949.30811690402
2021-12-29,104738.44,103093.63225156047
2021-12-30,101791.98000000001,102785.40748777808
2021-12-31,100896.88,102515.47451521657
2022-01-03,103601.13,103168.91353501394
2022-01-04,102173.29999999999,103103.95612176621
2022-01-05,99538.28000000001,101104.48607343517
2022-01-06,98314.05,101007.04470235799
2022-01-07,97231.12000000001,100597.9442790373
2022-01-10,96917.12000000001,100452.97949729789
2022-01-11,99390.80000000002,101373.12724941956
2022-01-12,97628.74,101658.77182913039
2022-01-13,97726.14000000001,100210.78339270521
2022-01-14,98908.1,100292.9542579033
2022-01-18,97884.95000000001,98448.77286151741
2022-01-19,97375.43000000001,97494.84935498917
2022-01-20,95759.56,96418.76180142818
2022-01-21,94373.57,94595.01809722985
2022-01-24,93531.56,94857.21079273985
2022-01-25,91016.05,93702.61771548822
2022-01-26,90310.14,93562.37901878703
2022-01-27,88675.92,93058.63086576732
2022-01-28,89499.36,95324.38954997483
2022-01-31,89782.18,97124.68136997233
2022-02-01,89595.86,97791.24840376478
2022-02-02,90709.61,98712.68795246357
2022-02-03,90086.61,96304.97867852991
2022-02-04,90371.11,96801.61669916988
2022-02-07,90029.36000000002,96443.28493157102
2022-02-08,89696.49,97253.52495052577
2022-02-09,90634.15,98665.37459002525
2022-02-10,89521.45999999999,96877.97973097654
2022-02-11,88571.7,95040.25731747624
2022-02-14,88341.88,94675.24601635667
2022-02-15,89044.58,96167.96422206593
2022-02-16,88374.29000000001,96252.70817800704
2022-02-17,87152.16,94214.73629023119
2022-02-18,86788.41,93539.57828408034
2022-02-22,86260.25,92590.81146144938
2022-02-23,86073.28,90886.0180664578
2022-02-24,85447.58,92245.38715721048
2022-02-25,86313.71,94309.1634692951
2022-02-28,87134.45000000001,94078.8035821204
2022-03-01,86583.55,92623.07486864371
2022-03-02,86499.81999999999,94349.8183030351
2022-03-03,86631.12,93854.04148011321
2022-03-04,86069.09,93109.39952148915
2022-03-07,85898.43,90360.98152594363
2022-03-08,85898.43,89707.33245792236
2022-03-09,85898.43,92012.65372510548
2022-03-10,85898.43,91617.75256172188
2022-03-11,85898.43,90430.24492778175
2022-03-14,85898.43,89759.16185717499
2022-03-15,85898.43,91680.77753130952
2022-03-16,85898.43,93732.93817661128
2022-03-17,85898.43,94890.33539765226
2022-03-18,87506.62,95996.97446538263
2022-03-21,88606.91,95955.24838570063
2022-03-22,89133.09,97039.9374140312
2022-03-23,89540.54000000001,95848.99549162995
2022-03-24,92235.59999999999,97223.84513648566
2022-03-25,92063.41,97716.39771917036
2022-03-28,90984.76999999999,98414.577010663
2022-03-29,91946.07999999999,99620.79994135453
2022-03-30,90924.87,98993.8164953601
2022-03-31,87682.11999999998,97444.31175231366
2022-04-01,87410.40999999999,97776.61854496865
2022-04-04,88138.37,98567.72317072414
2022-04-05,85954.62,97330.52862941538
2022-04-06,85615.97,96384.77599879769
2022-04-07,86201.44999999998,96794.73761983645
2022-04-08,87023.27,96538.13220708276
2022-04-11,84750.26999999999,94908.83014376856
2022-04-12,83724.48,94584.4841788002
2022-04-13,85873.13999999998,95641.42583675073
2022-04-14,84570.45,94479.94317775447
2022-04-18,84889.33,94460.5872339201
2022-04-19,86518.49,95977.39797091315
2022-04-20,84394.98999999999,95918.03834283294
2022-04-21,81271.18,94502.96446309626
2022-04-22,79254.62,91881.44710203292
2022-04-25,79354.56,92404.98179774603
2022-04-26,77495.0,89804.12267950538
2022-04-27,77373.57999999999,89992.53593636295
2022-04-28,79506.73999999999,92219.57223049054
2022-04-29,77391.40999999999,88873.43050654285
2022-05-02,78368.93,89377.80880423432
2022-05-03,78933.68,89810.14056112073
2022-05-04,82560.93,92492.08879620627
2022-05-05,79444.06,89194.77278190914
2022-05-06,78947.0,88688.6615863703
2022-05-09,74379.75,85847.33401017873
2022-05-10,76484.5,86058.33795351906
2022-05-11,77054.08,84641.54167834623
2022-05-12,76807.70999999999,84531.84924460882
2022-05-13,81076.59999999999,86549.59873962664
2022-05-16,81386.15,86208.0393227079
2022-05-17,84174.29999999999,87946.8237715356
2022-05-18,81341.12,84394.18888985628
2022-05-19,81360.20999999999,83901.8516066011
2022-05-20,81073.36,83914.11317167252
2022-05-23,82310.0,85471.14289234094
2022-05-24,82159.82999999999,84777.04903880357
2022-05-25,82084.98,85578.25698412971
2022-05-26,84879.66,87279.83139008969
2022-05-27,86061.62999999999,89439.33192902092
2022-05-31,86107.72,88878.15659158108
2022-06-01,86107.72,88213.10190500086
2022-06-02,86107.72,89838.95917744275
2022-06-03,86107.72,88370.33350301729
2022-06-06,86107.72,88647.58665618247
2022-06-07,86107.72,89491.81247776771
2022-06-08,86107.72,88525.84270559756
2022-06-09,86107.72,86419.04326604823
2022-06-10,86107.72,83903.35870260774
2022-06-13,86107.72,80650.55715816516
2022-06-14,86107.72,80346.20778411411
2022-06-15,86107.72,81518.66021160469
2022-06-16,86107.72,78868.32948542491
2022-06-17,86107.72,79041.90808646803
2022-06-21,86107.72,80976.63602098088
2022-06-22,86107.72,80871.23907342266
2022-06-23,86107.72,81642.12130642013
2022-06-24,86107.72,84137.37342887867
2022-06-27,86107.72,83887.22699901057
2022-06-28,86107.72,82197.48355926295
2022-06-29,86107.72,82138.97987769522
2022-06-30,86107.72,81419.50169629694
2022-07-01,86107.72,82278.78797553736
2022-07-05,86107.72,82409.12814968625
2022-07-06,86107.72,82703.58950359619
2022-07-07,86107.72,83941.21464376399
2022-07-08,86107.72,83871.52064306683
2022-07-11,86107.72,82904.69492438421
2022-07-12,86107.72,82138.33397940666
2022-07-13,86107.72,81772.25143234509
2022-07-14,86107.72,81527.04638694474
2022-07-15,86107.72,83092.46753415883
2022-07-18,86107.72,82397.51773410899
2022-07-19,86107.72,84674.02038497008
2022-07-20,86107.72,85173.2419987643
2022-07-21,86646.79,86013.16708296475
2022-07-22,84306.56999999999,85210.45204163197
2022-07-25,84168.08,85322.51802029969
2022-07-26,81879.76,84337.62290315422
2022-07-27,85541.73999999999,86543.5808580113
2022-07-28,86347.98,87593.6434366284
2022-07-29,90877.21999999999,88838.15290733523
2022-08-01,90628.34999999999,88587.35532797297
2022-08-02,91928.64,87997.15132598717
2022-08-03,92542.66,89373.29276742
2022-08-04,93436.41999999998,89303.81931735798
2022-08-05,92900.34,89158.63398498345
2022-08-08,92142.75,89048.29565295749
2022-08-09,90000.09000000001,88669.9567920301
2022-08-10,92638.64,90557.79671175807
2022-08-11,92885.01999999999,90493.91054445234
2022-08-12,95090.15,92061.47943475602
2022-08-15,94324.04000000001,92426.92133473464
2022-08-16,94178.16,92600.28463634824
2022-08-17,92694.57999999999,91930.06276345954
2022-08-18,93639.06,92138.70366428077
2022-08-19,91586.01,90950.11428198744
2022-08-22,89680.45999999999,89003.77593189733
2022-08-23,90527.12,88804.59770356378
2022-08-24,91023.72,89063.56615883658
2022-08-25,93301.44,90318.61479917867
2022-08-26,89542.59,87275.95600035835
2022-08-29,88631.47,86694.1434249182
2022-08-30,86706.89,85738.06692409478
2022-08-31,85879.39,85067.85030241168
2022-09-01,84657.51999999999,85322.7333197292
2022-09-02,84671.81,84406.66575435721
2022-09-06,83505.63,84061.01564827761
2022-09-07,83941.23999999999,85602.78011427254
2022-09-08,84486.7,86168.67628554502
2022-09-09,87453.47,87484.59690117955
2022-09-12,88119.35,88410.55773789826
2022-09-13,82792.19,84587.98463245184
2022-09-14,84177.57,84874.48515867516
2022-09-15,82345.73,83913.897872243
2022-09-16,81154.47,83311.21700575626
2022-09-19,81872.51,83882.49041156114
2022-09-20,79653.43,82936.95833157856
2022-09-21,78654.87,81517.36841502757
2022-09-22,76843.09,80830.37419145874
2022-09-23,74326.53,79437.45514814019
2022-09-26,72790.69,78616.03006126161
2022-09-27,73433.87,78449.33579075753
2022-09-28,74753.31,79992.60210155348
