origin,end,strat_ret,idx_ret,excess
2021-12-21,2022-03-04,-0.1393,-0.0689,-0.0704
2021-12-29,2022-03-11,-0.1799,-0.1228,-0.057
2022-01-05,2022-03-18,-0.1209,-0.0505,-0.0704
2022-01-12,2022-03-25,-0.057,-0.0388,-0.0182
2022-01-20,2022-04-01,-0.0872,0.0141,-0.1013
2022-01-27,2022-04-08,-0.0186,0.0374,-0.056
2022-02-03,2022-04-18,-0.0577,-0.0192,-0.0385
2022-02-10,2022-04-25,-0.1136,-0.0462,-0.0674
2022-02-17,2022-05-02,-0.1008,-0.0513,-0.0494
2022-02-25,2022-05-09,-0.1383,-0.0897,-0.0485
2022-03-04,2022-05-16,-0.0544,-0.0741,0.0197
2022-03-11,2022-05-23,-0.0418,-0.0548,0.0131
2022-03-18,2022-05-31,-0.016,-0.0742,0.0582
2022-03-25,2022-06-07,-0.0647,-0.0842,0.0195
2022-04-01,2022-06-14,-0.0149,-0.1783,0.1634
2022-04-08,2022-06-22,-0.0105,-0.1623,0.1518
2022-04-18,2022-06-29,0.0144,-0.1304,0.1448
2022-04-25,2022-07-07,0.0851,-0.0916,0.1767
2022-05-02,2022-07-14,0.0987,-0.0878,0.1866
2022-05-09,2022-07-21,0.1649,0.0019,0.163
2022-05-16,2022-07-28,0.061,0.0161,0.0449
2022-05-23,2022-08-04,0.1352,0.0448,0.0903
2022-05-31,2022-08-11,0.0787,0.0182,0.0605
2022-06-07,2022-08-18,0.0875,0.0296,0.0579
2022-06-14,2022-08-25,0.0835,0.1241,-0.0406
2022-06-22,2022-09-01,-0.0168,0.055,-0.0719
2022-06-29,2022-09-09,0.0156,0.0651,-0.0495
2022-07-07,2022-09-16,-0.0575,-0.0075,-0.05
2022-07-14,2022-09-23,-0.1368,-0.0256,-0.1112
2022-07-21,2022-09-30,-0.1506,-0.1034,-0.0472
2022-07-28,2022-10-07,-0.1476,-0.1063,-0.0414
2022-08-04,2022-10-14,-0.2123,-0.137,-0.0753
