origin,end,strat_ret,idx_ret,excess
2021-12-21,2022-03-04,-0.164,-0.0689,-0.0951
2021-12-29,2022-03-11,-0.2121,-0.1228,-0.0893
2022-01-05,2022-03-18,-0.1507,-0.0505,-0.1002
2022-01-12,2022-03-25,-0.1201,-0.0388,-0.0813
2022-01-20,2022-04-01,-0.122,0.0141,-0.1361
2022-01-27,2022-04-08,-0.0522,0.0374,-0.0896
2022-02-03,2022-04-18,-0.0935,-0.0192,-0.0743
2022-02-10,2022-04-25,-0.1986,-0.0462,-0.1524
2022-02-17,2022-05-02,-0.1482,-0.0513,-0.0969
2022-02-25,2022-05-09,-0.1803,-0.0897,-0.0905
2022-03-04,2022-05-16,-0.0917,-0.0741,-0.0176
2022-03-11,2022-05-23,-0.0635,-0.0548,-0.0086
2022-03-18,2022-05-31,-0.029,-0.0742,0.0451
2022-03-25,2022-06-07,-0.0159,-0.0842,0.0682
2022-04-01,2022-06-14,-0.0511,-0.1783,0.1271
2022-04-08,2022-06-22,-0.0577,-0.1623,0.1046
2022-04-18,2022-06-29,-0.0347,-0.1304,0.0957
2022-04-25,2022-07-07,0.0735,-0.0916,0.1651
2022-05-02,2022-07-14,0.0718,-0.0878,0.1597
2022-05-09,2022-07-21,0.0996,0.0019,0.0976
2022-05-16,2022-07-28,0.0279,0.0161,0.0118
2022-05-23,2022-08-04,0.0351,0.0448,-0.0097
2022-05-31,2022-08-11,-0.0301,0.0182,-0.0482
2022-06-07,2022-08-18,-0.0507,0.0296,-0.0803
2022-06-14,2022-08-25,0.0034,0.1241,-0.1207
2022-06-22,2022-09-01,-0.0841,0.055,-0.1392
2022-06-29,2022-09-09,-0.0482,0.0651,-0.1132
2022-07-07,2022-09-16,-0.1098,-0.0075,-0.1023
2022-07-14,2022-09-23,-0.1861,-0.0256,-0.1605
2022-07-21,2022-09-30,-0.1974,-0.1034,-0.094
2022-07-28,2022-10-07,-0.1703,-0.1063,-0.064
2022-08-04,2022-10-14,-0.2038,-0.137,-0.0668
