origin,end,strat_ret,idx_ret,excess
2025-12-30,2026-03-13,0.0848,-0.0383,0.1231
2026-01-07,2026-03-20,0.0694,-0.0599,0.1293
2026-01-14,2026-03-27,0.0348,-0.0805,0.1153
2026-01-22,2026-04-06,-0.0065,-0.0436,0.0371
2026-01-29,2026-04-13,-0.0165,-0.0119,-0.0046
2026-02-05,2026-04-20,0.1219,0.0457,0.0762
2026-02-12,2026-04-27,0.1866,0.0499,0.1367
2026-02-20,2026-05-04,0.135,0.0422,0.0929
2026-02-27,2026-05-11,0.2714,0.0776,0.1938
2026-03-06,2026-05-18,0.2155,0.0984,0.1171
2026-03-13,2026-05-26,0.3466,0.1337,0.2128
2026-03-20,2026-06-02,0.385,0.1696,0.2154
2026-03-27,2026-06-09,0.3477,0.1598,0.1879
