origin,end,strat_ret,idx_ret,excess
2025-12-30,2026-03-13,0.0848,-0.0383,0.1231
2026-01-07,2026-03-20,0.0777,-0.0599,0.1376
2026-01-14,2026-03-27,0.0216,-0.0805,0.1021
2026-01-22,2026-04-06,-0.0034,-0.0436,0.0403
2026-01-29,2026-04-13,0.026,-0.0119,0.0379
2026-02-05,2026-04-20,0.1352,0.0457,0.0895
2026-02-12,2026-04-27,0.1233,0.0499,0.0733
2026-02-20,2026-05-04,0.0661,0.0422,0.024
2026-02-27,2026-05-11,0.1374,0.0776,0.0598
2026-03-06,2026-05-18,0.0985,0.0984,0.0002
2026-03-13,2026-05-26,0.2188,0.1337,0.085
2026-03-20,2026-06-02,0.3067,0.1696,0.1371
2026-03-27,2026-06-09,0.2255,0.1598,0.0657
