,equity
2021-12-08,100000.0
2021-12-09,100000.0
2021-12-10,100000.0
2021-12-13,100000.0
2021-12-14,100000.0
2021-12-15,100000.0
2021-12-16,100000.0
2021-12-17,100000.0
2021-12-20,100000.0
2021-12-21,100000.0
2021-12-22,100208.81975616456
2021-12-23,100580.92982734682
2021-12-27,101997.60015396119
2021-12-28,101569.89993026735
2021-12-29,101262.76041618349
2021-12-30,101102.98469482422
2021-12-31,100561.82017578126
2022-01-03,103328.19566871643
2022-01-04,105098.72153083803
2022-01-05,102274.77168342592
2022-01-06,102601.33910781861
2022-01-07,104480.17107620242
2022-01-10,103836.51448524477
2022-01-11,105873.37432174683
2022-01-12,106268.97673988344
2022-01-13,105815.61216171265
2022-01-14,106270.05388244631
2022-01-18,103702.97627815246
2022-01-19,101411.53390281678
2022-01-20,99473.4676764679
2022-01-21,96588.42695816042
2022-01-24,96981.70507087707
2022-01-25,96209.53236320497
2022-01-26,96599.16522209169
2022-01-27,94300.79521408083
2022-01-28,95465.17333091736
2022-01-31,99133.97424583435
2022-02-01,99971.78603492738
2022-02-02,100992.55752891541
2022-02-03,97910.46224258424
2022-02-04,99044.723675766
2022-02-07,99300.89597496034
2022-02-08,100533.70097686768
2022-02-09,103681.4504171753
2022-02-10,102329.47310531617
2022-02-11,99441.62383010866
2022-02-14,98545.92815582277
2022-02-15,102019.5072418213
2022-02-16,102452.85369262696
2022-02-17,98296.97955879213
2022-02-18,97120.44789619446
2022-02-22,95703.0669681549
2022-02-23,92747.75237197877
2022-02-24,95166.20664489745
2022-02-25,96941.75607986451
2022-02-28,95910.40680221557
2022-03-01,94020.7964102936
2022-03-02,96364.9051214981
2022-03-03,94750.68739307404
2022-03-04,93042.71973209381
2022-03-07,89099.3730524063
2022-03-08,90113.8914012909
2022-03-09,92298.54839344024
2022-03-10,91145.92821300507
2022-03-11,89706.93161239623
2022-03-14,88501.91168739318
2022-03-15,90860.3416744995
2022-03-16,95068.42996635436
2022-03-17,96236.31265205384
2022-03-18,97893.71471122741
2022-03-21,96777.01441307068
2022-03-22,98740.72664672851
2022-03-23,96598.64726371763
2022-03-24,98850.97979888915
2022-03-25,98986.76503204346
2022-03-28,100315.19236740112
2022-03-29,102476.56793769836
2022-03-30,100684.6530784607
2022-03-31,99639.43264881134
2022-04-01,98779.19925704955
2022-04-04,99767.82941650391
2022-04-05,96940.64129714965
2022-04-06,94789.90731254577
2022-04-07,94727.66844100952
2022-04-08,94241.86698989868
2022-04-11,92866.57449737549
2022-04-12,92306.16315727234
2022-04-13,93989.62357284545
2022-04-14,91897.87435554503
2022-04-18,92016.77737121582
2022-04-19,94662.83077766417
2022-04-20,92153.65629119874
2022-04-21,89368.80610015869
2022-04-22,87169.70151596068
2022-04-25,88264.50600440979
2022-04-26,84854.54185844421
2022-04-27,84468.46152336121
2022-04-28,88411.43048934935
2022-04-29,85157.52551879882
2022-05-02,87242.14785293578
2022-05-03,88097.29173202514
2022-05-04,91445.85264389038
2022-05-05,87858.31265914917
2022-05-06,86939.4434576416
2022-05-09,83512.43519989014
2022-05-10,84901.40169616698
2022-05-11,83122.17058959961
2022-05-12,84050.3612814026
2022-05-13,87459.39036740114
2022-05-16,86717.27550076293
2022-05-17,89462.74514935302
2022-05-18,86071.93807446287
2022-05-19,86629.9137885742
2022-05-20,86767.6837885742
2022-05-23,87045.94383984376
2022-05-24,85620.14390393067
2022-05-25,86732.06896801759
2022-05-26,88836.61903210451
2022-05-27,91159.5390321045
2022-05-31,90373.31891674806
2022-06-01,89476.68889477538
2022-06-02,92180.47880078125
2022-06-03,90302.58916333009
2022-06-06,87788.5190131836
2022-06-07,88898.50221447754
2022-06-08,88389.18589093018
2022-06-09,86359.24572979737
2022-06-10,83551.92233242799
2022-06-13,76776.7718774109
2022-06-14,76673.0102517395
2022-06-15,77716.44016140747
2022-06-16,74672.68014675904
2022-06-17,75451.92480618287
2022-06-21,76151.37504360963
2022-06-22,76578.46470059203
2022-06-23,74691.81493740845
2022-06-24,76787.91486721802
2022-06-27,76278.2557531433
2022-06-28,74471.7298145752
2022-06-29,74188.83495755005
2022-06-30,73464.40500866697
2022-07-01,73267.78511196899
2022-07-05,73669.48957669067
2022-07-06,73924.25978939819
2022-07-07,75652.94476010131
2022-07-08,75549.38482785034
2022-07-11,74242.73000408936
2022-07-12,73601.759819458
2022-07-13,73462.35948803711
2022-07-14,73692.02450131226
2022-07-15,75316.29998150635
2022-07-18,74772.63474179077
2022-07-19,77448.76455776977
2022-07-20,79085.18963604738
2022-07-21,80304.9697539978
2022-07-22,78842.52347241211
2022-07-25,78673.31629177857
2022-07-26,77114.40655621339
2022-07-27,80705.73184857177
2022-07-28,81730.33059239195
2022-07-29,82440.23318028258
2022-08-01,82520.93238056946
2022-08-02,83256.45837284852
2022-08-03,85313.92406201172
2022-08-04,84814.30613484191
2022-08-05,84308.96151512908
2022-08-08,84805.45354962158
2022-08-09,82542.06619824219
2022-08-10,85682.6139941864
2022-08-11,85905.786346138
2022-08-12,87582.45300995636
2022-08-15,87506.31678902433
2022-08-16,87461.22682259367
2022-08-17,85793.4992279129
2022-08-18,86300.82937218476
2022-08-19,84632.31912361906
2022-08-22,82023.43190724181
2022-08-23,82035.1647326355
2022-08-24,82808.59235962675
2022-08-25,84451.08543133544
2022-08-26,80684.49265373992
2022-08-29,79877.44689598845
2022-08-30,79447.6592210083
2022-08-31,79020.15651104736
2022-09-01,78946.25186325837
2022-09-02,77990.75835957336
2022-09-06,77513.07311058807
2022-09-07,79040.22131798552
2022-09-08,80016.54325287629
2022-09-09,81877.73633488464
2022-09-12,82468.71219876099
2022-09-13,77868.29596669006
2022-09-14,78257.3417430954
2022-09-15,77176.22226235199
2022-09-16,76448.77880036163
2022-09-19,76411.8663137703
2022-09-20,75325.87495608139
2022-09-21,73998.68431341933
2022-09-22,72200.0296945076
2022-09-23,71284.97536658095
2022-09-26,70068.83230383681
2022-09-27,70323.52971480179
2022-09-28,72277.25180678177
2022-09-29,70871.99443922804
2022-09-30,69509.94840987014
2022-10-03,71608.66870802687
2022-10-04,73871.85835676956
2022-10-05,74008.44826395797
2022-10-06,73768.83355711745
2022-10-07,71497.60797835159
2022-10-10,70586.47325941848
2022-10-11,69613.93314116287
2022-10-12,69659.16353293227
2022-10-13,71550.25359846879
2022-10-14,69988.4136542778
2022-10-17,71714.09351023483
2022-10-18,72195.7937323265
2022-10-19,72107.37348948288
2022-10-20,72173.2035970192
2022-10-21,73744.54342837141
2022-10-24,74637.27371119308
2022-10-25,76102.71348170089
2022-10-26,74828.48346155928
2022-10-27,73993.13358561324
2022-10-28,76638.25322192001
2022-10-31,75713.68366205978
2022-11-01,75554.46332468794
2022-11-02,73225.71832972334
2022-11-03,71539.45849261092
2022-11-04,72505.39850474166
2022-11-07,73525.60819659042
2022-11-08,74527.92834795761
2022-11-09,73274.43352343369
2022-11-10,78920.75355646896
2022-11-11,81156.46364443589
2022-11-14,80240.99160906601
2022-11-15,80981.16373125838
2022-11-16,79381.4837021141
2022-11-17,78558.75029001998
2022-11-18,78649.46195498275
2022-11-21,77615.4653185539
2022-11-22,78495.9295035057
2022-11-23,79478.92005312728
2022-11-25,79270.3901449852
2022-11-28,78335.51396471784
2022-11-29,78318.66539141463
2022-11-30,81098.70051302717
2022-12-01,81243.31882998275
2022-12-02,80834.37709002302
2022-12-05,79263.68016268538
2022-12-06,78357.711840847
2022-12-07,78289.30524401473
2022-12-08,78807.15911700058
2022-12-09,78650.0618496971
2022-12-12,79146.29390276717
2022-12-13,79788.30375307845
2022-12-14,78759.40497469708
2022-12-15,77672.89493792343
2022-12-16,77201.14497988508
2022-12-19,76915.05652437972
2022-12-20,76867.08316744612
2022-12-21,77043.17369967268
2022-12-22,76977.703431118
2022-12-23,77000.86343111799
2022-12-27,76960.543431118
2022-12-28,76879.423431118
2022-12-29,76908.463431118
2022-12-30,76908.463431118
