step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
14,2021-12-21,NASDAQ:AMD,entry,0.1361887930138268,144.25,144.25,0.0,231.0803004043905,0.3333333333333333,
14,2021-12-21,NASDAQ:BIIB,entry,0.1361887930138268,234.65,234.65,0.0,142.05554371759357,0.3333333333333333,
14,2021-12-21,NASDAQ:EA,entry,0.1361887930138268,132.17,132.17,0.0,237.06842198179123,0.3333333333333333,
15,2021-12-22,NASDAQ:BIIB,trim,0.1361887930138268,234.65,234.48,142.0,141.99761173660866,0.3333333333333333,
16,2021-12-23,NASDAQ:AMD,trim,0.1361887930138268,144.25,146.14,231.0,229.90399616805803,0.3333333333333333,
17,2021-12-27,NASDAQ:AMD,trim,0.1361887930138268,144.25,154.36,230.0,221.62853070743716,0.3333333333333333,
19,2021-12-29,NASDAQ:BIIB,trim,0.1361887930138268,234.65,258.31,142.0,135.15858206547688,0.3333333333333333,
34,2022-01-20,NASDAQ:EA,trim,0.1361887930138268,132.17,138.88,237.0,229.83765360983102,0.3333333333333333,
35,2022-01-21,NASDAQ:EA,trim,0.1361887930138268,132.17,139.01,230.0,226.28698175191235,0.3333333333333333,
39,2022-01-27,NASDAQ:AMD,exit,0.1361887930138268,144.25,102.6,222.0,0.0,,DD
39,2022-01-27,NASDAQ:BIIB,trim,0.1361887930138268,234.65,218.94,136.0,135.11243567491854,0.3333333333333333,
39,2022-01-27,NASDAQ:EA,trim,0.05133553803103536,132.17,131.06,227.0,225.70972582532173,0.3333333333333333,
39,2022-01-27,NASDAQ:AMAT,entry,0.1361887930138268,130.15,130.15,0.0,48.49844179792551,0.3333333333333333,
40,2022-01-28,NASDAQ:BIIB,trim,0.1361887930138268,234.65,225.21,136.0,132.75785563104068,0.3333333333333333,
42,2022-02-01,NASDAQ:BIIB,trim,0.1361887930138268,234.65,229.37,133.0,130.9240237752685,0.3333333333333333,
43,2022-02-02,NASDAQ:EA,trim,0.01898480068827072,132.17,137.17,226.0,221.73993341595587,0.3333333333333333,
44,2022-02-03,NASDAQ:EA,trim,0.03131229639714105,132.17,137.29,222.0,219.57362760094202,0.3333333333333333,
45,2022-02-04,NASDAQ:EA,trim,0.01898480068827072,132.17,137.71,220.0,219.44024883208675,0.3333333333333333,
64,2022-03-04,NASDAQ:BIIB,exit,0.1361887930138268,234.65,209.45,131.0,0.0,,horizon
64,2022-03-04,NASDAQ:EA,exit,0.00448542237727386,132.17,126.49,220.0,0.0,,horizon
64,2022-03-04,NASDAQ:AMD,entry,0.1361887930138268,108.41,108.41,0.0,224.4875269809059,0.3333333333333333,
65,2022-03-07,NASDAQ:BIIB,entry,0.1361887930138268,205.78,205.78,0.0,136.7277837172385,0.3333333333333333,
88,2022-04-07,NASDAQ:BIIB,trim,0.05133553803103536,205.78,211.64,136.0,135.66888741888744,0.3333333333333333,
89,2022-04-08,NASDAQ:AMAT,exit,0.1361887930138268,130.15,119.96,48.0,0.0,,horizon
89,2022-04-08,NASDAQ:BIIB,trim,0.05133553803103536,205.78,214.75,136.0,133.23313930927435,0.3333333333333333,
89,2022-04-08,NASDAQ:BKR,entry,0.1361887930138268,37.52,37.52,0.0,737.8044402985076,0.3333333333333333,
90,2022-04-11,NASDAQ:BIIB,trim,0.03131229639714105,205.78,210.62,134.0,133.25249264077488,0.3333333333333333,
91,2022-04-12,NASDAQ:BIIB,trim,0.05133553803103536,205.78,208.06,134.0,133.35071613957513,0.3333333333333333,
92,2022-04-13,NASDAQ:BIIB,trim,0.03131229639714105,205.78,213.98,134.0,132.8516528024426,0.3333333333333333,
93,2022-04-14,NASDAQ:BIIB,trim,0.03131229639714105,205.78,212.55,133.0,131.88471732141457,0.3333333333333333,
95,2022-04-19,NASDAQ:BIIB,trim,0.03131229639714105,205.78,223.02,132.0,128.4541446208113,0.3333333333333333,
96,2022-04-20,NASDAQ:BIIB,trim,0.03131229639714105,205.78,220.43,129.0,126.90674288133799,0.3333333333333333,
97,2022-04-21,NASDAQ:BIIB,trim,0.03131229639714105,205.78,218.4,127.0,123.55099206349206,0.3333333333333333,
99,2022-04-25,NASDAQ:BIIB,trim,0.03131229639714105,205.78,214.54,124.0,122.83347316739692,0.3333333333333333,
114,2022-05-16,NASDAQ:AMD,exit,0.1361887930138268,108.41,94.24,224.0,0.0,,horizon
114,2022-05-16,NASDAQ:AMAT,entry,0.1361887930138268,110.48,110.48,0.0,86.02657856625639,0.3333333333333333,
115,2022-05-17,NASDAQ:BIIB,exit,0.009599268627152217,205.78,202.9,123.0,0.0,,horizon
115,2022-05-17,NASDAQ:AMD,entry,0.1361887930138268,102.47,102.47,0.0,208.23072899385193,0.3333333333333333,
139,2022-06-22,NASDAQ:BKR,exit,0.05133553803103536,37.52,29.52,737.0,0.0,,horizon
139,2022-06-22,NASDAQ:AMZN,entry,0.1361887930138268,108.95,108.95,0.0,223.21275814593852,0.3333333333333333,
140,2022-06-23,NASDAQ:AMZN,trim,0.1361887930138268,108.95,112.44,223.0,216.78862800901226,0.3333333333333333,
141,2022-06-24,NASDAQ:AMZN,trim,0.1361887930138268,108.95,116.46,217.0,215.5738737191597,0.3333333333333333,
145,2022-06-30,NASDAQ:AMD,exit,0.1361887930138268,102.47,76.47,208.0,0.0,,DD
145,2022-06-30,NASDAQ:ADSK,entry,0.1361887930138268,171.96,171.96,0.0,134.93447662247036,0.3333333333333333,
146,2022-07-01,NASDAQ:AMZN,trim,0.1361887930138268,108.95,109.56,216.0,214.62897042716318,0.3333333333333333,
147,2022-07-05,NASDAQ:AMZN,trim,0.1361887930138268,108.95,113.5,215.0,210.7886343612335,0.3333333333333333,
148,2022-07-06,NASDAQ:AMZN,trim,0.1361887930138268,108.95,114.33,211.0,209.8395871599755,0.3333333333333333,
158,2022-07-20,NASDAQ:ADSK,trim,0.00448542237727386,171.96,196.38,134.0,131.93047492955836,0.3333333333333333,
159,2022-07-21,NASDAQ:ADSK,trim,0.00448542237727386,171.96,199.1,132.0,131.61436464088396,0.3333333333333333,
160,2022-07-22,NASDAQ:ADSK,trim,0.00448542237727386,171.96,195.95,132.0,131.9158628901931,0.3333333333333333,
