step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
14,2021-12-21,NASDAQ:AMD,entry,0.1361887930138268,144.25,144.25,0.0,34.66204506065858,0.049999999999999996,
14,2021-12-21,NASDAQ:BIIB,entry,0.1361887930138268,234.65,234.65,0.0,21.308331557639036,0.049999999999999996,
14,2021-12-21,NASDAQ:EA,entry,0.1361887930138268,132.17,132.17,0.0,37.830067337519864,0.049999999999999996,
15,2021-12-22,NYSE:ALB,entry,0.1361887930138268,225.22999572753906,225.22999572753906,0.0,22.19550501633631,0.049999999999999996,
15,2021-12-22,NYSE:APA,entry,0.1361887930138268,25.829999923706055,25.829999923706055,0.0,193.53827002577611,0.049999999999999996,
15,2021-12-22,NYSE:AXON,entry,0.1361887930138268,159.00999450683594,159.00999450683594,0.0,31.438863421790035,0.049999999999999996,
16,2021-12-23,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,227.89999389648438,22.0,21.98683683689043,0.049999999999999996,
16,2021-12-23,NYSE:APA,trim,0.05133553803103536,25.829999923706055,26.06999969482422,193.0,192.20560182534794,0.049999999999999996,
16,2021-12-23,NASDAQ:WBD,entry,0.1361887930138268,24.420000076293945,24.420000076293945,0.0,205.19246377049075,0.049999999999999996,
16,2021-12-23,NYSE:CCL,entry,0.1361887930138268,21.200000762939453,21.200000762939453,0.0,236.35848116052435,0.049999999999999996,
16,2021-12-23,NYSE:DECK,entry,0.1361887930138268,59.42166519165039,59.42166519165039,0.0,84.32614543482057,0.049999999999999996,
17,2021-12-27,NASDAQ:AMD,trim,0.1361887930138268,144.25,154.36,34.0,32.75352414744787,0.049999999999999996,
17,2021-12-27,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,233.10000610351562,22.0,21.689548927574226,0.049999999999999996,
17,2021-12-27,NYSE:APA,trim,0.1361887930138268,25.829999923706055,27.969999313354492,193.0,180.75917452690484,0.049999999999999996,
17,2021-12-27,NASDAQ:FANG,entry,0.1361887930138268,111.14,111.14,0.0,45.490678310239815,0.049999999999999996,
17,2021-12-27,NASDAQ:TSLA,entry,0.1361887930138268,364.64666748046875,364.64666748046875,0.0,13.86502178213614,0.049999999999999996,
17,2021-12-27,NYSE:ANET,entry,0.1361887930138268,36.709999084472656,36.709999084472656,0.0,137.72362063442642,0.049999999999999996,
18,2021-12-28,NASDAQ:AMD,trim,0.1361887930138268,144.25,153.15,33.0,32.873211959679445,0.049999999999999996,
18,2021-12-28,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,232.8000030517578,22.0,21.625998048228514,0.049999999999999996,
18,2021-12-28,NYSE:APA,trim,0.1361887930138268,25.829999923706055,27.93000030517578,181.0,180.25536543556515,0.049999999999999996,
18,2021-12-28,NYSE:DVN,entry,0.1361887930138268,44.5,44.5,0.0,113.13555981179566,0.049999999999999996,
18,2021-12-28,NYSE:FSLR,entry,0.1361887930138268,87.3499984741211,87.3499984741211,0.0,57.63631939978192,0.049999999999999996,
18,2021-12-28,NYSE:GNRC,entry,0.1361887930138268,348.17999267578125,348.17999267578125,0.0,14.459568377074929,0.049999999999999996,
19,2021-12-29,NASDAQ:BIIB,trim,0.1361887930138268,234.65,258.31,21.0,19.530965394003868,0.049999999999999996,
19,2021-12-29,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,232.52999877929688,22.0,21.696313152754037,0.049999999999999996,
19,2021-12-29,NYSE:APA,trim,0.1361887930138268,25.829999923706055,27.90999984741211,181.0,180.76115007191333,0.049999999999999996,
19,2021-12-29,NYSE:DECK,trim,0.1361887930138268,59.42166519165039,60.97666549682617,84.0,82.73728367760177,0.049999999999999996,
19,2021-12-29,NYSE:NCLH,entry,0.1361887930138268,21.579999923706055,21.579999923706055,0.0,233.7833034643832,0.049999999999999996,
19,2021-12-29,NYSE:OXY,entry,0.1361887930138268,29.260000228881836,29.260000228881836,0.0,172.42117674166315,0.049999999999999996,
19,2021-12-29,NYSE:PSKY,entry,0.1361887930138268,29.989999771118164,29.989999771118164,0.0,168.22419838041355,0.049999999999999996,
20,2021-12-30,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,234.35000610351562,22.0,21.418009552450965,0.049999999999999996,
20,2021-12-30,NYSE:DECK,trim,0.1361887930138268,59.42166519165039,61.31833267211914,83.0,81.85660716153608,0.049999999999999996,
20,2021-12-30,NYSE:PSKY,trim,0.1361887930138268,29.989999771118164,31.1200008392334,168.0,161.28889890690903,0.049999999999999996,
20,2021-12-30,NYSE:CF,entry,0.1361887930138268,71.87999725341797,71.87999725341797,0.0,69.82903257002233,0.049999999999999996,
20,2021-12-30,NYSE:RCL,entry,0.1361887930138268,77.3499984741211,77.3499984741211,0.0,64.89089551852214,0.049999999999999996,
21,2021-12-31,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,233.77000427246094,22.0,21.309744032790103,0.049999999999999996,
21,2021-12-31,NYSE:DECK,trim,0.05133553803103536,59.42166519165039,61.051666259765625,82.0,81.59611782575311,0.049999999999999996,
21,2021-12-31,NYSE:OXY,trim,0.05133553803103536,29.260000228881836,28.989999771118164,172.0,171.8378403905123,0.049999999999999996,
22,2022-01-03,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,236.6699981689453,22.0,21.778637992189754,0.049999999999999996,
22,2022-01-03,NASDAQ:WBD,trim,0.05133553803103536,24.420000076293945,25.329999923706055,205.0,203.4879679928374,0.049999999999999996,
22,2022-01-03,NASDAQ:TSLA,trim,0.1361887930138268,364.64666748046875,399.9266662597656,13.0,12.888238391149818,0.049999999999999996,
22,2022-01-03,NYSE:NCLH,trim,0.1361887930138268,21.579999923706055,22.18000030517578,233.0,232.38729228199722,0.049999999999999996,
22,2022-01-03,NYSE:OXY,trim,0.1361887930138268,29.260000228881836,31.059999465942383,172.0,165.94817457693364,0.049999999999999996,
22,2022-01-03,NYSE:PSKY,trim,0.1361887930138268,29.989999771118164,32.2400016784668,162.0,159.87437795874183,0.049999999999999996,
22,2022-01-03,NYSE:RCL,trim,0.05133553803103536,77.3499984741211,80.83000183105469,64.0,63.76778543822058,0.049999999999999996,
23,2022-01-04,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,242.5800018310547,22.0,21.457871761037723,0.049999999999999996,
23,2022-01-04,NYSE:APA,trim,0.1361887930138268,25.829999923706055,29.459999084472656,181.0,176.68875535799233,0.049999999999999996,
23,2022-01-04,NASDAQ:WBD,trim,0.05133553803103536,24.420000076293945,26.75,204.0,194.5888063956287,0.049999999999999996,
23,2022-01-04,NASDAQ:FANG,trim,0.1361887930138268,111.14,119.2,45.0,43.66820948895191,0.049999999999999996,
23,2022-01-04,NYSE:DVN,trim,0.1361887930138268,44.5,47.65999984741211,113.0,109.2163362934989,0.049999999999999996,
23,2022-01-04,NYSE:NCLH,trim,0.1361887930138268,21.579999923706055,22.469999313354492,233.0,231.65334802611474,0.049999999999999996,
23,2022-01-04,NYSE:OXY,trim,0.1361887930138268,29.260000228881836,33.380001068115234,166.0,155.93919725949775,0.049999999999999996,
23,2022-01-04,NYSE:PSKY,trim,0.1361887930138268,29.989999771118164,33.04999923706055,160.0,157.49623876681275,0.049999999999999996,
23,2022-01-04,NYSE:RCL,trim,0.05133553803103536,77.3499984741211,82.37999725341797,64.0,63.185855118089364,0.049999999999999996,
24,2022-01-05,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,235.63999938964844,22.0,21.430837768229193,0.049999999999999996,
24,2022-01-05,NASDAQ:WBD,trim,0.05133553803103536,24.420000076293945,26.450000762939453,195.0,190.92485644465316,0.049999999999999996,
24,2022-01-05,NASDAQ:FANG,trim,0.1361887930138268,111.14,118.11,44.0,42.75643551456423,0.049999999999999996,
24,2022-01-05,NYSE:DVN,trim,0.1361887930138268,44.5,46.61000061035156,110.0,108.34504467918073,0.049999999999999996,
24,2022-01-05,NYSE:PSKY,trim,0.1361887930138268,29.989999771118164,32.720001220703125,158.0,154.3387044689316,0.049999999999999996,
24,2022-01-05,NYSE:RCL,trim,0.1361887930138268,77.3499984741211,80.61000061035156,64.0,62.64684977532041,0.049999999999999996,
25,2022-01-06,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,233.3800048828125,22.0,21.706217871171436,0.049999999999999996,
25,2022-01-06,NYSE:APA,trim,0.1361887930138268,25.829999923706055,29.6200008392334,177.0,171.02623528799637,0.049999999999999996,
25,2022-01-06,NASDAQ:FANG,trim,0.1361887930138268,111.14,123.65,43.0,40.96884134865654,0.049999999999999996,
25,2022-01-06,NYSE:DVN,trim,0.1361887930138268,44.5,48.369998931884766,109.0,104.73014977517573,0.049999999999999996,
25,2022-01-06,NYSE:OXY,trim,0.1361887930138268,29.260000228881836,32.7599983215332,156.0,154.6336230863487,0.049999999999999996,
25,2022-01-06,NYSE:PSKY,trim,0.1361887930138268,29.989999771118164,32.720001220703125,155.0,154.82264803694656,0.049999999999999996,
26,2022-01-07,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,236.02000427246094,22.0,21.724470717261333,0.049999999999999996,
26,2022-01-07,NASDAQ:WBD,trim,0.05133553803103536,24.420000076293945,30.059999465942383,191.0,170.57251372589897,0.049999999999999996,
26,2022-01-07,NYSE:CCL,trim,0.1361887930138268,21.200000762939453,21.899999618530273,236.0,234.12829958072288,0.049999999999999996,
26,2022-01-07,NYSE:DVN,trim,0.1361887930138268,44.5,48.88999938964844,105.0,104.87645194347472,0.049999999999999996,
26,2022-01-07,NYSE:NCLH,trim,0.1361887930138268,21.579999923706055,22.200000762939453,232.0,230.96439167987054,0.049999999999999996,
26,2022-01-07,NYSE:OXY,trim,0.1361887930138268,29.260000228881836,33.209999084472656,155.0,154.39355052262843,0.049999999999999996,
26,2022-01-07,NYSE:PSKY,trim,0.1361887930138268,29.989999771118164,35.38999938964844,155.0,144.8830110182126,0.049999999999999996,
27,2022-01-10,NYSE:DVN,trim,0.1361887930138268,44.5,48.5,105.0,104.76716039016563,0.049999999999999996,
28,2022-01-11,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,240.1699981689453,22.0,21.664750544480253,0.049999999999999996,
28,2022-01-11,NYSE:APA,trim,0.1361887930138268,25.829999923706055,32.0,172.0,162.60072183120246,0.049999999999999996,
28,2022-01-11,NYSE:DVN,trim,0.1361887930138268,44.5,49.79999923706055,105.0,104.48239313879957,0.049999999999999996,
28,2022-01-11,NYSE:OXY,trim,0.1361887930138268,29.260000228881836,34.70000076293945,155.0,149.94878916993176,0.049999999999999996,
29,2022-01-12,NYSE:ALB,trim,0.1361887930138268,225.22999572753906,241.07000732421875,22.0,21.617534571486093,0.049999999999999996,
29,2022-01-12,NYSE:APA,trim,0.1361887930138268,25.829999923706055,32.650001525878906,163.0,159.61221972222927,0.049999999999999996,
