step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
13,2025-12-30,NASDAQ:AMAT,entry,0.1304449648711944,259.97,259.97,0.0,96.16494210870484,0.25,
13,2025-12-30,NASDAQ:AMD,entry,0.1304449648711944,215.34,215.34,0.0,116.09547692021918,0.25,
13,2025-12-30,NASDAQ:AVGO,entry,0.1304449648711944,349.85,349.85,0.0,71.45919679862799,0.25,
13,2025-12-30,NASDAQ:BIIB,entry,0.1304449648711944,176.4,176.4,0.0,130.38548752834467,0.25,
14,2025-12-31,NASDAQ:AMD,trim,0.1304449648711944,215.34,214.16,116.0,115.74303091146807,0.25,
15,2026-01-02,NASDAQ:AMAT,trim,0.1304449648711944,259.97,268.87,96.0,94.57764904972663,0.25,
15,2026-01-02,NASDAQ:AMD,trim,0.1304449648711944,215.34,223.47,116.0,113.79197431422561,0.25,
16,2026-01-05,NASDAQ:AMAT,trim,0.1304449648711944,259.97,284.32,95.0,89.8807329769274,0.25,
17,2026-01-06,NASDAQ:AMAT,trim,0.1304449648711944,259.97,296.01,90.0,87.47359886490322,0.25,
20,2026-01-09,NASDAQ:AMAT,trim,0.1304449648711944,259.97,301.18,88.0,85.89644066671094,0.25,
21,2026-01-12,NASDAQ:AMAT,trim,0.1304449648711944,259.97,307.24,86.0,85.25420680900923,0.25,
23,2026-01-14,NASDAQ:AMAT,trim,0.1304449648711944,259.97,301.89,86.0,85.40472523104442,0.25,
24,2026-01-15,NASDAQ:AMAT,exit,0.1304449648711944,259.97,319.08,86.0,0.0,,target
24,2026-01-15,NASDAQ:CDNS,entry,0.1304449648711944,320.6,320.6,0.0,16.921965065502192,0.25,
26,2026-01-20,NASDAQ:AMD,trim,0.1304449648711944,215.34,231.92,114.0,113.03789022076577,0.25,
27,2026-01-21,NASDAQ:AMD,trim,0.1304449648711944,215.34,249.8,114.0,107.7683646917534,0.25,
28,2026-01-22,NASDAQ:AMD,trim,0.1304449648711944,215.34,253.73,108.0,106.49970441019981,0.25,
29,2026-01-23,NASDAQ:AMD,exit,0.1304449648711944,215.34,259.68,107.0,0.0,,target
29,2026-01-23,NASDAQ:AMAT,entry,0.1304449648711944,322.38,322.38,0.0,83.81329486940878,0.25,
31,2026-01-27,NASDAQ:AMAT,trim,0.1304449648711944,322.38,332.71,83.0,82.57044047368579,0.25,
32,2026-01-28,NASDAQ:AMAT,trim,0.1304449648711944,322.38,336.75,83.0,81.94620267260579,0.25,
33,2026-01-29,NASDAQ:AMAT,trim,0.1304449648711944,322.38,341.34,82.0,80.91204517489894,0.25,
36,2026-02-03,NASDAQ:CDNS,exit,0.06982109227871941,320.6,268.5,16.0,0.0,,DD
