,equity
2025-12-17,100000.0
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,99080.275
2026-01-02,101278.245
2026-01-05,101861.91
2026-01-06,103550.07999999999
2026-01-07,103468.27
2026-01-08,102227.45
2026-01-09,104315.98
2026-01-12,104399.11499999999
2026-01-13,104945.66500000001
2026-01-14,103345.225
2026-01-15,105760.985
2026-01-16,106200.03499999999
2026-01-20,104435.66499999998
2026-01-21,107515.235
2026-01-22,108275.625
2026-01-23,107975.91
2026-01-26,109011.28999999998
2026-01-27,109974.48
2026-01-28,110401.18999999999
2026-01-29,109821.43
2026-01-30,107804.93499999998
2026-02-02,108427.58499999999
2026-02-03,105899.73499999997
2026-02-04,103272.29500000001
2026-02-05,103997.64999999998
2026-02-06,108165.06999999998
2026-02-09,110738.38499999997
2026-02-10,111522.87499999999
2026-02-11,111350.95499999999
2026-02-12,108328.51499999997
2026-02-13,110378.17499999999
2026-02-17,109334.14999999998
2026-02-18,111054.805
2026-02-19,110300.41499999998
2026-02-20,110141.53999999998
2026-02-23,108394.12999999998
2026-02-24,110789.68999999997
2026-02-25,111457.31
2026-02-26,109981.19999999998
2026-02-27,110594.47999999998
2026-03-02,110193.37999999999
2026-03-03,108572.38999999998
2026-03-04,110681.46999999999
2026-03-05,110385.24999999999
2026-03-06,109335.64
2026-03-09,110346.43999999999
2026-03-10,109603.23
2026-03-11,110335.43
2026-03-12,107935.82999999999
2026-03-13,107070.99999999999
2026-03-16,107780.41999999998
2026-03-17,108855.97999999998
2026-03-18,107186.80999999998
2026-03-19,108425.55199999998
2026-03-20,108070.27699999997
2026-03-23,108913.89699999998
2026-03-24,109394.69699999996
2026-03-25,111014.83699999998
2026-03-26,108197.49199999997
2026-03-27,106551.96199999998
2026-03-30,106325.25199999998
2026-03-31,107155.20199999998
2026-04-01,108275.48199999997
2026-04-02,109489.36199999998
2026-04-06,110889.11199999998
2026-04-07,111671.70199999998
2026-04-08,115424.92199999999
2026-04-09,117265.03595727537
2026-04-10,117555.19601037596
2026-04-13,118713.10112695309
2026-04-14,118558.76105310056
2026-04-15,118784.1012026367
2026-04-16,121907.89011621093
2026-04-17,123263.3360097656
2026-04-20,123632.52543359372
2026-04-21,123395.63563867185
2026-04-22,125346.78442285153
2026-04-23,125518.04531762692
2026-04-24,127855.69569116208
2026-04-27,127413.18545556637
2026-04-28,126779.22512048337
2026-04-29,126482.55538110348
2026-04-30,127038.26448754879
2026-05-01,126968.72545556637
2026-05-04,127081.57582788082
2026-05-05,128132.60463647457
2026-05-06,129436.17620019527
2026-05-07,128786.52471093746
2026-05-08,129245.85463647457
2026-05-11,129367.85463647457
2026-05-12,128952.44478540035
2026-05-13,129330.64553002926
2026-05-14,129556.95500878902
2026-05-15,128964.64553002926
2026-05-18,128964.64553002926
2026-05-19,128964.64553002926
2026-05-20,128964.64553002926
2026-05-21,128964.64553002926
2026-05-22,128964.64553002926
