,equity
2025-12-17,100000.0
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,98848.62
2026-01-02,101938.28
2026-01-05,103174.985
2026-01-06,103597.59499999999
2026-01-07,102449.265
2026-01-08,99415.94499999999
2026-01-09,102582.70499999999
2026-01-12,104611.07
2026-01-13,106586.32999999999
2026-01-14,105338.91999999998
2026-01-15,108238.10999999999
2026-01-16,110201.48999999999
2026-01-20,108549.98999999999
2026-01-21,111215.30999999998
2026-01-22,111557.74999999999
2026-01-23,111881.37
2026-01-26,111641.63499999998
2026-01-27,113909.04499999998
2026-01-28,114439.965
2026-01-29,114793.76999999999
2026-01-30,112824.09499999997
2026-02-02,113464.625
2026-02-03,111319.50499999998
2026-02-04,108167.20499999999
2026-02-05,107761.41
2026-02-06,113308.70999999998
2026-02-09,115307.59999999999
2026-02-10,114525.49999999997
2026-02-11,115830.58
2026-02-12,113331.38999999998
2026-02-13,116611.53
2026-02-17,116275.98
2026-02-18,116797.33
2026-02-19,117341.95999999999
2026-02-20,117355.25
2026-02-23,116687.69
2026-02-24,120511.63999999998
2026-02-25,122477.57999999999
2026-02-26,119807.94999999998
2026-02-27,118913.44
2026-03-02,118705.73
2026-03-03,116858.76
2026-03-04,119192.77
2026-03-05,120271.60999999999
2026-03-06,118720.69999999998
2026-03-09,121942.99999999999
2026-03-10,121562.82999999999
2026-03-11,121761.05
2026-03-12,119531.1
2026-03-13,118240.07999999999
2026-03-16,119223.69999999998
2026-03-17,119516.49999999999
2026-03-18,118627.7
2026-03-19,120062.95999999999
2026-03-20,119122.26999999999
2026-03-23,120902.97999999998
2026-03-24,121954.04
2026-03-25,121449.7
2026-03-26,117107.98999999999
2026-03-27,115835.41999999998
2026-03-30,113572.03
2026-03-31,117445.52999999997
2026-04-01,120090.13999999998
2026-04-02,121667.31999999999
2026-04-06,123511.91
2026-04-07,123953.47
2026-04-08,131143.78999999998
2026-04-09,133867.63999999998
2026-04-10,134533.34011413573
2026-04-13,134634.35997146607
2026-04-14,134230.18017120362
2026-04-15,134226.39037094114
2026-04-16,134991.14991439818
2026-04-17,137488.20991439818
2026-04-20,137033.67063278198
2026-04-21,136664.1107826233
2026-04-22,140739.28034133912
2026-04-23,142669.7698033142
2026-04-24,147075.5102027893
2026-04-27,149959.45933761596
2026-04-28,148013.54039230346
2026-04-29,149373.86168136596
2026-04-30,149249.05699386596
2026-05-01,151653.86168136596
2026-05-04,154940.90074386596
2026-05-05,158140.58238449096
2026-05-06,158140.58238449096
2026-05-07,158140.58238449096
2026-05-08,158140.58238449096
2026-05-11,158140.58238449096
2026-05-12,158140.58238449096
2026-05-13,158140.58238449096
2026-05-14,158140.58238449096
2026-05-15,158140.58238449096
2026-05-18,158140.58238449096
2026-05-19,158140.58238449096
2026-05-20,158140.58238449096
2026-05-21,158140.58238449096
2026-05-22,158140.58238449096
