,equity
2025-12-17,100000.0
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,99825.995
2026-01-02,100216.965
2026-01-05,100479.72000000003
2026-01-06,101394.99500000004
2026-01-07,101818.89009613039
2026-01-08,100642.30518646244
2026-01-09,102223.56496795658
2026-01-12,102298.68005310062
2026-01-13,102396.35000686647
2026-01-14,101502.63009017947
2026-01-15,102235.46977981568
2026-01-16,102024.15454956057
2026-01-20,100443.90514266971
2026-01-21,103291.00483703616
2026-01-22,103745.7650030518
2026-01-23,103064.07003540041
2026-01-26,103815.09523803713
2026-01-27,104653.6652789307
2026-01-28,105077.10483947757
2026-01-29,104617.394998169
2026-01-30,103572.62029739382
2026-02-02,104148.09567871096
2026-02-03,101796.02577468874
2026-02-04,101386.13528610232
2026-02-05,100505.08556686401
2026-02-06,103798.51543258669
2026-02-09,104441.34583358766
2026-02-10,105137.09555160525
2026-02-11,106181.3858380127
2026-02-12,103691.09523391725
2026-02-13,105524.89585357667
2026-02-17,105081.68098754885
2026-02-18,106242.08618713383
2026-02-19,105663.69548477176
2026-02-20,105457.95610107423
2026-02-23,103459.70120834351
2026-02-24,104918.6057220459
2026-02-25,105133.99567626954
2026-02-26,105159.45613464355
2026-02-27,104901.48591064455
2026-03-02,104841.68577697755
2026-03-03,103727.18579833987
2026-03-04,105658.7162536621
2026-03-05,105758.7349475098
2026-03-06,103485.83548950197
2026-03-09,104555.23598159794
2026-03-10,103972.1255230713
2026-03-11,104454.25573379519
2026-03-12,101623.85625732425
2026-03-13,101798.19587814333
2026-03-16,102922.19043380741
2026-03-17,103538.52080795291
2026-03-18,102910.41062316898
2026-03-19,103680.23635971072
2026-03-20,102529.89630874636
2026-03-23,103561.16602439882
2026-03-24,102937.12527351381
2026-03-25,103337.19630142214
2026-03-26,100773.79311184693
2026-03-27,98575.61429394533
2026-03-30,97689.02390454103
2026-03-31,100557.15407345584
2026-04-01,101560.48379734805
2026-04-02,102089.033848465
2026-04-06,102472.62376225283
2026-04-07,102905.95411976626
2026-04-08,105660.01449543763
2026-04-09,105719.57839533998
2026-04-10,105245.81824076844
2026-04-13,107919.34365458682
2026-04-14,108803.3832867737
2026-04-15,111008.10310145571
2026-04-16,113147.1430172272
2026-04-17,114177.18240046693
2026-04-20,115464.27295581056
2026-04-21,115734.56291827394
2026-04-22,116976.23287303164
2026-04-23,115270.12244807435
2026-04-24,118746.90283869936
2026-04-27,118384.90235476686
2026-04-28,118076.17220416262
2026-04-29,118473.88256373598
2026-04-30,119255.32262232971
2026-05-01,120127.06274043274
2026-05-04,120314.44282527162
2026-05-05,121357.5125207062
2026-05-06,121570.00273402406
2026-05-07,121753.49261714173
2026-05-08,122123.34235621644
2026-05-11,121721.75219203187
2026-05-12,121424.51258326722
2026-05-13,121426.47253657533
2026-05-14,121847.4123025055
2026-05-15,121810.84752131654
2026-05-18,122133.50743342591
2026-05-19,122305.9873528595
2026-05-20,122305.9873528595
2026-05-21,122305.9873528595
2026-05-22,122305.9873528595
