,equity
2021-12-08,100000.0
2021-12-09,100000.0
2021-12-10,100000.0
2021-12-13,100000.0
2021-12-14,100000.0
2021-12-15,100000.0
2021-12-16,100000.0
2021-12-17,100000.0
2021-12-20,100000.0
2021-12-21,100000.0
2021-12-22,101580.54821090697
2021-12-23,103085.62969665526
2021-12-27,106764.96993141173
2021-12-28,106050.23006973266
2021-12-29,105535.07032546996
2021-12-30,104912.41073570252
2021-12-31,104168.90989799499
2022-01-03,108219.10857086182
2022-01-04,112576.85831565857
2022-01-05,109667.5994921875
2022-01-06,110721.21019943237
2022-01-07,113386.7389805603
2022-01-10,112799.94080825805
2022-01-11,116766.47973297119
2022-01-12,117588.99109832763
2022-01-13,115856.78053466797
2022-01-14,117202.4000024414
2022-01-18,114761.1809991455
2022-01-19,112361.13080429076
2022-01-20,109712.0508401489
2022-01-21,107916.54733651732
2022-01-24,108274.69217355346
2022-01-25,104904.57184762573
2022-01-26,104611.27190194702
2022-01-27,101640.45168466186
2022-01-28,103993.1724994812
2022-01-31,105943.8924994812
2022-02-01,106562.3224994812
2022-02-02,106631.43249948119
2022-02-03,104649.15249948118
2022-02-04,104700.67249948118
2022-02-07,104778.32249948119
2022-02-08,105571.17249948118
2022-02-09,107825.26249948118
2022-02-10,106110.41249948117
2022-02-11,103327.84249948118
2022-02-14,102486.2224994812
2022-02-15,104654.10249948117
2022-02-16,104409.6224994812
2022-02-17,102032.44249948119
2022-02-18,101187.1624994812
2022-02-22,101099.65249948119
2022-02-23,99699.49249948119
2022-02-24,106103.39249948118
2022-02-25,108323.0224994812
2022-02-28,110149.8624994812
2022-03-01,107984.20117135618
2022-03-02,109447.2082807312
2022-03-03,106749.51243066405
2022-03-04,104661.72401940917
2022-03-07,98753.06180924986
2022-03-08,100759.59543878172
2022-03-09,103882.95274468993
2022-03-10,101613.18201898191
2022-03-11,99313.42919488523
2022-03-14,97413.84910745238
2022-03-15,100938.58316262816
2022-03-16,104706.64754144286
2022-03-17,105577.27262216185
2022-03-18,107665.06738198851
2022-03-21,107490.89153726195
2022-03-22,108032.97234902951
2022-03-23,106169.90777322385
2022-03-24,109618.15428811644
2022-03-25,109313.02368127438
2022-03-28,110437.71165383908
2022-03-29,112602.9267835388
2022-03-30,108832.77478738403
2022-03-31,106190.28527536009
2022-04-01,104514.28429467772
2022-04-04,105404.38336663817
2022-04-05,102061.49436212156
2022-04-06,100767.21383233642
2022-04-07,100935.48343255614
2022-04-08,99818.38343072508
2022-04-11,98019.7006531677
2022-04-12,97512.7226819763
2022-04-13,98429.97755563352
2022-04-14,96335.35879647825
2022-04-18,97344.74655587766
2022-04-19,99034.30333688355
2022-04-20,97757.40864633178
2022-04-21,94987.11634896848
2022-04-22,92738.5148340759
2022-04-25,94305.78041085813
2022-04-26,90777.29146188353
2022-04-27,90217.33484078977
2022-04-28,93840.10946664427
2022-04-29,90858.89746224973
2022-05-02,93110.56173654173
2022-05-03,93946.128910614
2022-05-04,98061.74117929075
2022-05-05,94126.19055673217
2022-05-06,93712.58526010129
2022-05-09,89475.75762704466
2022-05-10,91155.30596932981
2022-05-11,89179.19818795775
2022-05-12,89481.84584972533
2022-05-13,93582.75227550657
2022-05-16,92765.36199108274
2022-05-17,95568.64115978393
2022-05-18,92064.08115978392
2022-05-19,92106.4811597839
2022-05-20,91502.96115978392
2022-05-23,91293.20115978392
2022-05-24,89628.04115978393
2022-05-25,90943.11115978393
2022-05-26,92835.85115978392
2022-05-27,97005.72115978392
2022-05-31,96834.65115978393
2022-06-01,97076.59115978391
2022-06-02,99669.2211597839
2022-06-03,97531.0511597839
2022-06-06,78947.82115978393
2022-06-07,79249.11115978392
2022-06-08,78194.85115978392
2022-06-09,76070.23115978391
2022-06-10,73963.75115978392
2022-06-13,70856.33115978392
2022-06-14,70663.65115978391
2022-06-15,71765.84115978391
2022-06-16,69770.57115978391
2022-06-17,70231.3011597839
2022-06-21,70613.57115978393
2022-06-22,71263.26115978391
2022-06-23,73055.64115978392
2022-06-24,75483.38115978391
2022-06-27,74510.31115978392
2022-06-28,72657.81115978392
2022-06-29,72597.61115978392
2022-06-30,72169.65115978393
2022-07-01,71585.01115978391
2022-07-05,72221.00115978392
2022-07-06,72731.72115978392
2022-07-07,74400.24115978391
2022-07-08,74382.7211597839
2022-07-11,73232.52115978392
2022-07-12,72218.75115978392
2022-07-13,72046.18115978391
2022-07-14,72820.4411597839
2022-07-15,74458.13115978392
2022-07-18,73910.28115978392
2022-07-19,76511.57115978391
2022-07-20,78657.85615978393
2022-07-21,79217.95615978392
2022-07-22,77711.66615978391
2022-07-25,78612.95615978392
2022-07-26,77744.76615978392
2022-07-27,81677.53615978391
2022-07-28,82273.17615978392
2022-07-29,83845.00615978392
2022-08-01,83021.19615978393
2022-08-02,84296.43615978392
2022-08-03,84736.71615978391
2022-08-04,83469.26615978392
2022-08-05,84044.33615978392
2022-08-08,84819.61615978392
2022-08-09,83500.19615978391
2022-08-10,85397.83615978392
2022-08-11,86187.57604625853
2022-08-12,87378.18553539427
2022-08-15,86779.52547863158
2022-08-16,85824.95564891965
2022-08-17,84659.97610302122
2022-08-18,85253.42587597045
2022-08-19,84227.99615978391
2022-08-22,83696.84581920774
2022-08-23,84392.90559215697
2022-08-24,85377.52502453001
2022-08-25,86946.91542186888
2022-08-26,83542.07542186888
2022-08-29,82218.00536510619
2022-08-30,81454.88610302121
2022-08-31,80747.0661030212
2022-09-01,80525.00610302122
2022-09-02,80093.15610302122
2022-09-06,79726.98610302122
2022-09-07,81095.99610302123
2022-09-08,82278.76610302125
2022-09-09,84280.92610302125
2022-09-12,84718.30172557982
2022-09-13,78672.82156994016
2022-09-14,78993.41125866087
2022-09-15,75350.98141430052
2022-09-16,74568.59141430054
2022-09-19,74512.48141430052
2022-09-20,73491.41141430053
2022-09-21,72209.99141430052
2022-09-22,70140.09141430052
2022-09-23,69171.73141430052
2022-09-26,68139.83141430051
2022-09-27,68544.65141430053
2022-09-28,69731.07141430052
2022-09-29,68081.99141430052
2022-09-30,67085.70641430051
2022-10-03,69111.47641430052
2022-10-04,71094.39641430051
2022-10-05,70927.39641430051
2022-10-06,70647.58641430052
2022-10-07,67200.39641430051
2022-10-10,66008.49641430052
2022-10-11,65366.03641430052
2022-10-12,65884.92641430053
2022-10-13,66614.10641430054
2022-10-14,64794.47641430052
2022-10-17,66926.86641430052
2022-10-18,67406.39641430053
2022-10-19,67397.83641430052
2022-10-20,67670.56641430053
2022-10-21,68951.84641430053
2022-10-24,69312.25641430051
2022-10-25,70890.36641430052
2022-10-26,69595.46641430052
2022-10-27,68573.25641430053
2022-10-28,69360.72641430053
2022-10-31,68394.54641430052
2022-11-01,67430.9657014099
2022-11-02,65536.6462733093
2022-11-03,64611.42666332396
2022-11-04,65884.66627330933
2022-11-07,67818.97631664427
2022-11-08,68101.95631359253
2022-11-09,67607.85631359252
2022-11-10,73227.08652874145
2022-11-11,75012.17661052855
2022-11-14,75083.91661052855
2022-11-15,75963.80661052855
2022-11-16,74796.30715252075
2022-11-17,73806.45719768676
2022-11-18,73007.5372880188
2022-11-21,72330.82701702269
2022-11-22,73284.03742351683
2022-11-23,74053.58724285278
2022-11-25,73529.40706218872
2022-11-28,72943.63755901488
2022-11-29,72250.2567008606
2022-11-30,75175.61688152465
2022-12-01,75896.01728801879
2022-12-02,74858.25751384886
2022-12-05,73262.1975590149
2022-12-06,72436.15697185669
2022-12-07,72623.63679119262
2022-12-08,73869.35647503051
2022-12-09,73271.08652019652
2022-12-12,74292.41697185667
2022-12-13,75515.52755901488
2022-12-14,74913.38751384887
2022-12-15,73064.18697185669
2022-12-16,72482.92742351684
2022-12-19,71864.59661052856
2022-12-20,71874.87652019653
2022-12-21,72106.12652019653
2022-12-22,71810.86724285278
2022-12-23,71810.86724285278
2022-12-27,71810.86724285278
2022-12-28,71810.86724285278
2022-12-29,71810.86724285278
2022-12-30,71810.86724285278
