step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
14,2021-12-21,NASDAQ:AMD,entry,0.1361887930138268,144.25,144.25,0.0,138.6481802426343,0.2,
14,2021-12-21,NASDAQ:BIIB,entry,0.1361887930138268,234.65,234.65,0.0,85.23332623055614,0.2,
14,2021-12-21,NASDAQ:EA,entry,0.1361887930138268,132.17,132.17,0.0,151.32026935007946,0.2,
14,2021-12-21,NASDAQ:FANG,entry,0.1361887930138268,104.9,104.9,0.0,190.65776930409913,0.2,
14,2021-12-21,NYSE:ALB,entry,0.1361887930138268,224.14999389648438,224.14999389648438,0.0,80.30337046679847,0.2,
15,2021-12-22,NASDAQ:FANG,trim,0.05133553803103536,104.9,105.69,190.0,189.95180179431003,0.2,
17,2021-12-27,NASDAQ:AMD,trim,0.1361887930138268,144.25,154.36,138.0,134.36614471142946,0.2,
17,2021-12-27,NASDAQ:FANG,trim,0.1361887930138268,104.9,111.14,190.0,186.618302120355,0.2,
19,2021-12-29,NASDAQ:BIIB,trim,0.1361887930138268,234.65,258.31,85.0,80.87304394126728,0.2,
23,2022-01-04,NASDAQ:FANG,trim,0.1361887930138268,104.9,119.2,187.0,177.3472653464503,0.2,
24,2022-01-05,NASDAQ:FANG,trim,0.1361887930138268,104.9,118.11,178.0,175.01938862276165,0.2,
25,2022-01-06,NASDAQ:FANG,trim,0.1361887930138268,104.9,123.65,176.0,167.2337086787303,0.2,
27,2022-01-10,NASDAQ:FANG,trim,0.1361887930138268,104.9,121.35,168.0,167.52255475509892,0.2,
29,2022-01-12,NASDAQ:FANG,trim,0.1361887930138268,104.9,124.57,168.0,166.63362059233768,0.2,
30,2022-01-13,NASDAQ:FANG,trim,0.1361887930138268,104.9,124.08,167.0,166.45206263411208,0.2,
31,2022-01-14,NASDAQ:FANG,trim,0.1361887930138268,104.9,129.21,167.0,162.07770273742844,0.2,
33,2022-01-19,NASDAQ:EA,trim,0.1361887930138268,132.17,136.91,151.0,149.226572486031,0.2,
33,2022-01-19,NASDAQ:FANG,trim,0.1361887930138268,104.9,125.71,163.0,162.5217567342495,0.2,
34,2022-01-20,NASDAQ:EA,trim,0.1361887930138268,132.17,138.88,150.0,144.54016346733692,0.2,
35,2022-01-21,NASDAQ:EA,trim,0.1361887930138268,132.17,139.01,145.0,141.77568520250344,0.2,
37,2022-01-25,NASDAQ:FANG,trim,0.1361887930138268,104.9,126.98,163.0,153.46320611206,0.2,
38,2022-01-26,NASDAQ:FANG,trim,0.1361887930138268,104.9,127.4,154.0,152.38533690639719,0.2,
39,2022-01-27,NASDAQ:AMD,exit,0.1361887930138268,144.25,102.6,135.0,0.0,,DD
39,2022-01-27,NASDAQ:FANG,trim,0.1361887930138268,104.9,128.64,153.0,149.64727831788326,0.2,
39,2022-01-27,NASDAQ:AMAT,entry,0.1361887930138268,130.15,130.15,0.0,74.85460622358819,0.19999999999999996,
50,2022-02-11,NASDAQ:FANG,trim,0.1361887930138268,104.9,135.57,150.0,146.76163598314065,0.2,
55,2022-02-18,NASDAQ:FANG,trim,0.1361887930138268,104.9,131.47,147.0,144.00593985022724,0.2,
57,2022-02-23,NASDAQ:FANG,trim,0.1361887930138268,104.9,129.56,145.0,143.34227384995367,0.2,
59,2022-02-25,NASDAQ:FANG,trim,0.1361887930138268,104.9,133.27,144.0,142.4438279520663,0.2,
60,2022-02-28,NASDAQ:FANG,trim,0.1361887930138268,104.9,138.1,143.0,139.463902898149,0.2,
61,2022-03-01,NASDAQ:FANG,trim,0.1361887930138268,104.9,136.83,140.0,138.42187414355405,0.2,
64,2022-03-04,NASDAQ:BIIB,exit,0.1361887930138268,234.65,209.45,81.0,0.0,,horizon
64,2022-03-04,NASDAQ:EA,exit,0.00448542237727386,132.17,126.49,142.0,0.0,,horizon
64,2022-03-04,NASDAQ:FANG,exit,0.1361887930138268,104.9,137.8,139.0,0.0,,horizon
64,2022-03-04,NYSE:ALB,exit,0.05133553803103536,224.14999389648438,179.07000732421875,80.0,0.0,,horizon
64,2022-03-04,NASDAQ:AMD,entry,0.1361887930138268,108.41,108.41,0.0,144.13109768471546,0.2,
65,2022-03-07,NASDAQ:BIIB,entry,0.1361887930138268,205.78,205.78,0.0,89.97079905382874,0.2,
65,2022-03-07,NASDAQ:BKR,entry,0.1361887930138268,34.78,34.78,0.0,532.3229163110086,0.2,
65,2022-03-07,NASDAQ:CSGP,entry,0.1361887930138268,53.27,53.27,0.0,347.5538019391192,0.2,
66,2022-03-08,NASDAQ:CSGP,trim,0.1361887930138268,53.27,54.31,347.0,343.7180082728204,0.2,
67,2022-03-09,NASDAQ:CSGP,trim,0.1361887930138268,53.27,57.02,344.0,332.85171920899467,0.2,
68,2022-03-10,NASDAQ:BKR,trim,0.1361887930138268,34.78,36.74,532.0,516.4580029748741,0.2,
69,2022-03-11,NASDAQ:BKR,trim,0.1361887930138268,34.78,37.64,517.0,502.73435253179804,0.2,
71,2022-03-15,NASDAQ:CSGP,trim,0.05133553803103536,53.27,57.84,333.0,327.681172705686,0.2,
72,2022-03-16,NASDAQ:CSGP,trim,0.05133553803103536,53.27,59.53,328.0,324.55200788336765,0.2,
73,2022-03-17,NASDAQ:CSGP,trim,0.03131229639714105,53.27,62.55,325.0,313.252390556305,0.2,
74,2022-03-18,NASDAQ:CSGP,trim,0.03131229639714105,53.27,65.21,314.0,305.8718145882055,0.2,
76,2022-03-22,NASDAQ:CSGP,trim,0.01898480068827072,53.27,66.99,306.0,302.4987763740391,0.2,
80,2022-03-28,NASDAQ:CSGP,trim,0.01898480068827072,53.27,68.39,303.0,301.1882881897482,0.2,
81,2022-03-29,NASDAQ:CSGP,trim,0.03131229639714105,53.27,69.59,302.0,299.43956070264227,0.2,
85,2022-04-04,NASDAQ:CSGP,trim,0.01898480068827072,53.27,67.64,300.0,297.07748417056297,0.2,
86,2022-04-05,NASDAQ:CSGP,trim,0.01898480068827072,53.27,66.98,298.0,293.67806851742125,0.2,
89,2022-04-08,NASDAQ:AMAT,exit,0.1361887930138268,130.15,119.96,74.0,0.0,,horizon
89,2022-04-08,NASDAQ:FANG,entry,0.1361887930138268,141.99,141.99,0.0,123.70096516342488,0.19999999999999996,
95,2022-04-19,NASDAQ:BIIB,trim,0.03131229639714105,205.78,223.02,89.0,87.39129687605094,0.2,
96,2022-04-20,NASDAQ:BIIB,trim,0.03131229639714105,205.78,220.43,88.0,87.63293122214252,0.2,
97,2022-04-21,NASDAQ:BIIB,trim,0.03131229639714105,205.78,218.4,88.0,85.74870434659744,0.2,
99,2022-04-25,NASDAQ:BIIB,trim,0.03131229639714105,205.78,214.54,86.0,84.93161661833169,0.2,
99,2022-04-25,NASDAQ:CSGP,trim,0.05133553803103536,53.27,62.65,294.0,290.84164452189754,0.2,
101,2022-04-27,NASDAQ:CSGP,trim,0.1361887930138268,53.27,63.72,291.0,283.4557286455882,0.2,
102,2022-04-28,NASDAQ:CSGP,trim,0.1361887930138268,53.27,65.46,284.0,282.5548278230504,0.2,
114,2022-05-16,NASDAQ:AMD,exit,0.1361887930138268,108.41,94.24,144.0,0.0,,horizon
114,2022-05-16,NASDAQ:AMAT,entry,0.1361887930138268,110.48,110.48,0.0,98.95724876497738,0.19999999999999996,
115,2022-05-17,NASDAQ:BIIB,exit,0.009599268627152217,205.78,202.9,85.0,0.0,,horizon
115,2022-05-17,NASDAQ:BKR,exit,0.1361887930138268,34.78,35.16,503.0,0.0,,horizon
115,2022-05-17,NASDAQ:CSGP,exit,0.1361887930138268,53.27,58.08,283.0,0.0,,horizon
115,2022-05-17,NASDAQ:AMD,entry,0.1361887930138268,102.47,102.47,0.0,134.1387805558183,0.2,
116,2022-05-18,NASDAQ:ADSK,entry,0.1361887930138268,187.98,187.98,0.0,97.08259936853325,0.2,
116,2022-05-18,NASDAQ:BKR,entry,0.1361887930138268,34.64,34.64,0.0,526.8356532706952,0.2,
117,2022-05-19,NASDAQ:ADSK,trim,0.05133553803103536,187.98,193.72,97.0,95.59863219748543,0.2,
118,2022-05-20,NASDAQ:ADSK,trim,0.1361887930138268,187.98,191.41,96.0,95.46941658898113,0.2,
119,2022-05-23,NASDAQ:BKR,trim,0.1361887930138268,34.64,35.71,526.0,517.9966124138023,0.2,
120,2022-05-24,NASDAQ:BKR,trim,0.1361887930138268,34.64,36.28,518.0,504.45173730145746,0.2,
123,2022-05-27,NASDAQ:ADSK,trim,0.01898480068827072,187.98,211.38,96.0,94.47026695665097,0.2,
124,2022-05-31,NASDAQ:ADSK,trim,0.01898480068827072,187.98,207.75,95.0,94.86993515907044,0.2,
126,2022-06-02,NASDAQ:ADSK,trim,0.009599268627152217,187.98,214.09,95.0,94.12403675695678,0.2,
131,2022-06-09,NASDAQ:FANG,trim,0.1361887930138268,141.99,157.83,123.0,122.55057358738439,0.2,
132,2022-06-10,NASDAQ:FANG,trim,0.1361887930138268,141.99,155.49,123.0,121.13578384009826,0.2,
133,2022-06-13,NASDAQ:FANG,trim,0.05133553803103536,141.99,147.8,122.0,120.88766596276643,0.2,
134,2022-06-14,NASDAQ:FANG,trim,0.1361887930138268,141.99,149.63,121.0,119.30828730399574,0.2,
139,2022-06-22,NASDAQ:FANG,exit,0.05133553803103536,141.99,126.1,120.0,0.0,,horizon
139,2022-06-22,NASDAQ:AMZN,entry,0.1361887930138268,108.95,108.95,0.0,153.8054614896455,0.19999999999999996,
140,2022-06-23,NASDAQ:ADSK,trim,0.05133553803103536,187.98,183.41,95.0,92.56421694180733,0.2,
140,2022-06-23,NASDAQ:AMZN,trim,0.1361887930138268,108.95,112.44,153.0,150.98899883757454,0.2,
141,2022-06-24,NASDAQ:ADSK,trim,0.03131229639714105,187.98,192.48,93.0,90.67460011064463,0.2,
141,2022-06-24,NASDAQ:AMZN,trim,0.1361887930138268,108.95,116.46,151.0,149.8630175965729,0.2,
145,2022-06-30,NASDAQ:AMD,exit,0.1361887930138268,102.47,76.47,134.0,0.0,,DD
145,2022-06-30,NASDAQ:DXCM,entry,0.1361887930138268,74.53,74.53,0.0,219.4820668664257,0.19999999999999996,
146,2022-07-01,NASDAQ:DXCM,trim,0.1361887930138268,74.53,77.63,219.0,213.58965643819246,0.2,
147,2022-07-05,NASDAQ:AMZN,trim,0.1361887930138268,108.95,113.5,150.0,147.08770950922363,0.2,
147,2022-07-05,NASDAQ:DXCM,trim,0.1361887930138268,74.53,78.46,214.0,212.7766381506103,0.2,
148,2022-07-06,NASDAQ:AMZN,trim,0.1361887930138268,108.95,114.33,148.0,145.64421437327806,0.2,
148,2022-07-06,NASDAQ:DXCM,trim,0.1361887930138268,74.53,78.35,213.0,212.52716055260856,0.2,
149,2022-07-07,NASDAQ:DXCM,trim,0.1361887930138268,74.53,81.92,213.0,209.25721471309666,0.2,
150,2022-07-08,NASDAQ:DXCM,trim,0.1361887930138268,74.53,81.24,210.0,209.92463108440273,0.2,
158,2022-07-20,NASDAQ:ADSK,trim,0.00448542237727386,187.98,196.38,91.0,89.42915281238864,0.2,
158,2022-07-20,NASDAQ:BKR,exit,0.1361887930138268,34.64,25.89,505.0,0.0,,DD
158,2022-07-20,NASDAQ:AMZN,trim,0.1361887930138268,108.95,122.77,146.0,143.04876622380777,0.2,
158,2022-07-20,NASDAQ:AMD,entry,0.1361887930138268,89.43,89.43,0.0,127.81362231415302,0.19999999999999996,
159,2022-07-21,NASDAQ:ADSK,trim,0.00448542237727386,187.98,199.1,90.0,89.09223018230477,0.2,
159,2022-07-21,NASDAQ:AMZN,trim,0.1361887930138268,108.95,124.63,144.0,142.3273933185981,0.2,
160,2022-07-22,NASDAQ:ADSK,trim,0.00448542237727386,187.98,195.95,90.0,89.2632560821479,0.2,
160,2022-07-22,NASDAQ:AMZN,trim,0.1361887930138268,108.95,122.42,143.0,142.8780838857775,0.2,
160,2022-07-22,NASDAQ:DXCM,trim,0.1361887930138268,74.53,83.78,210.0,208.7745885568976,0.2,
161,2022-07-25,NASDAQ:ADSK,trim,0.0026288117770767614,187.98,195.71,90.0,88.77106447957121,0.2,
162,2022-07-26,NASDAQ:ADSK,trim,0.0026288117770767614,187.98,193.07,89.0,88.31268984977925,0.2,
162,2022-07-26,NASDAQ:DXCM,trim,0.1361887930138268,74.53,82.7,209.0,206.1732893506273,0.2,
163,2022-07-27,NASDAQ:ADSK,trim,0.0026288117770767614,187.98,203.41,89.0,87.23459529667608,0.2,
163,2022-07-27,NASDAQ:DXCM,trim,0.1361887930138268,74.53,85.8,207.0,206.81106094751607,0.2,
164,2022-07-28,NASDAQ:AMAT,exit,0.009599268627152217,110.48,105.16,98.0,0.0,,horizon
164,2022-07-28,NASDAQ:ADSK,trim,0.0026288117770767614,187.98,212.16,88.0,85.14992943673114,0.2,
164,2022-07-28,NASDAQ:BKR,entry,0.1361887930138268,24.98,24.98,0.0,557.7222035049923,0.19999999999999996,
165,2022-07-29,NASDAQ:ADSK,trim,0.0011697933365105498,187.98,216.32,86.0,84.90583870791826,0.2,
165,2022-07-29,NASDAQ:AMZN,trim,0.1361887930138268,108.95,134.95,143.0,136.10100799775384,0.2,
166,2022-08-01,NASDAQ:ADSK,exit,0.00021312872975277067,187.98,218.14,85.0,0.0,,horizon
166,2022-08-01,NASDAQ:AMZN,trim,0.1361887930138268,108.95,135.39,137.0,136.0909892111447,0.2,
166,2022-08-01,NASDAQ:CMCSA,entry,0.1361887930138268,37.51,37.51,0.0,304.5544026540844,0.2,
168,2022-08-03,NASDAQ:AMZN,trim,0.05133553803103536,108.95,139.52,137.0,135.44100508383656,0.2,
169,2022-08-04,NASDAQ:AMZN,trim,0.1361887930138268,108.95,142.57,136.0,132.92116875427425,0.2,
171,2022-08-08,NASDAQ:DXCM,trim,0.1361887930138268,74.53,91.4,207.0,206.63252767283237,0.2,
173,2022-08-10,NASDAQ:AMZN,trim,0.1361887930138268,108.95,142.69,133.0,132.5238140675372,0.2,
177,2022-08-16,NASDAQ:AMZN,trim,0.05133553803103536,108.95,144.78,133.0,132.6338239349142,0.2,
178,2022-08-17,NASDAQ:AMZN,trim,0.05133553803103536,108.95,142.1,133.0,132.80289253551638,0.2,
179,2022-08-18,NASDAQ:AMZN,trim,0.05133553803103536,108.95,142.3,133.0,132.77365445746224,0.2,
189,2022-09-01,NASDAQ:AMZN,exit,0.03131229639714105,108.95,127.82,133.0,0.0,,horizon
189,2022-09-01,NASDAQ:FTNT,entry,0.1361887930138268,48.55,48.55,0.0,364.92039195256194,0.2,
190,2022-09-02,NASDAQ:FTNT,trim,0.05133553803103536,48.55,48.6,364.0,362.86565903903045,0.2,
191,2022-09-06,NASDAQ:FTNT,trim,0.05133553803103536,48.55,49.65,363.0,353.85073573609026,0.2,
192,2022-09-07,NASDAQ:DXCM,trim,0.05133553803103536,74.53,88.37,207.0,202.16432080227318,0.2,
193,2022-09-08,NASDAQ:DXCM,trim,0.05133553803103536,74.53,91.59,203.0,197.36376273934795,0.2,
193,2022-09-08,NASDAQ:FTNT,trim,0.05133553803103536,48.55,51.71,354.0,349.5754598587677,0.2,
194,2022-09-09,NASDAQ:FTNT,trim,0.05133553803103536,48.55,53.59,350.0,346.029166435844,0.2,
195,2022-09-12,NASDAQ:DXCM,exit,0.05133553803103536,74.53,94.18,198.0,0.0,,horizon
195,2022-09-12,NASDAQ:FTNT,trim,0.03131229639714105,48.55,55.84,347.0,336.1332204386976,0.2,
195,2022-09-12,NASDAQ:NVDA,entry,0.1361887930138268,14.505000114440918,14.505000114440918,0.0,1294.0144006348626,0.2,
205,2022-09-26,NASDAQ:AMD,exit,0.1361887930138268,89.43,66.3,127.0,0.0,,DD
205,2022-09-26,NASDAQ:AMZN,entry,0.1361887930138268,115.15,115.15,0.0,142.10813492397716,0.19999999999999996,
207,2022-09-28,NASDAQ:FTNT,trim,0.05133553803103536,48.55,49.97,337.0,335.8238589803053,0.2,
208,2022-09-29,NASDAQ:FTNT,trim,0.05133553803103536,48.55,49.63,336.0,331.88119054114475,0.2,
209,2022-09-30,NASDAQ:FTNT,trim,0.05133553803103536,48.55,49.13,332.0,331.3910971230218,0.2,
210,2022-10-03,NASDAQ:FTNT,trim,0.05133553803103536,48.55,50.96,332.0,329.8110094028517,0.2,
211,2022-10-04,NASDAQ:FTNT,trim,0.05133553803103536,48.55,52.68,330.0,329.5738984446139,0.2,
212,2022-10-05,NASDAQ:FTNT,trim,0.05133553803103536,48.55,53.59,330.0,326.0241560491615,0.2,
213,2022-10-06,NASDAQ:FTNT,trim,0.03131229639714105,48.55,53.74,327.0,323.8564653343369,0.2,
214,2022-10-07,NASDAQ:BKR,exit,0.1361887930138268,24.98,22.88,557.0,0.0,,horizon
214,2022-10-07,NASDAQ:AMD,entry,0.1361887930138268,58.44,58.44,0.0,220.92077764381918,0.19999999999999996,
215,2022-10-10,NASDAQ:FTNT,trim,0.05133553803103536,48.55,51.23,324.0,322.99649496769143,0.2,
216,2022-10-11,NASDAQ:CMCSA,exit,0.05133553803103536,37.51,28.68,304.0,0.0,,horizon
216,2022-10-11,NASDAQ:BKR,entry,0.1361887930138268,22.25,22.25,0.0,588.9690806968445,0.2,
237,2022-11-09,NASDAQ:AMZN,exit,,115.15,86.14,142.0,0.0,,DD
239,2022-11-11,NASDAQ:FTNT,exit,,48.55,56.13,323.0,0.0,,horizon
245,2022-11-21,NASDAQ:NVDA,exit,,14.505000114440918,15.317000389099121,1294.0,0.0,,horizon
264,2022-12-19,NASDAQ:AMD,exit,,58.44,64.59,220.0,0.0,,horizon
266,2022-12-21,NASDAQ:BKR,exit,,22.25,29.35,588.0,0.0,,horizon
