,equity
2021-12-08,100000.0
2021-12-09,100000.0
2021-12-10,100000.0
2021-12-13,100000.0
2021-12-14,100000.0
2021-12-15,100000.0
2021-12-16,100000.0
2021-12-17,100000.0
2021-12-20,100000.0
2021-12-21,100000.0
2021-12-22,99964.78050613403
2021-12-23,100874.92379379272
2021-12-27,101128.47156333923
2021-12-28,99959.85032653809
2021-12-29,98929.11377716064
2021-12-30,100703.28199958801
2021-12-31,98416.10287284851
2022-01-03,101821.0717010498
2022-01-04,101723.3912563324
2022-01-05,97453.15414047241
2022-01-06,96106.63003349304
2022-01-07,102079.82962226868
2022-01-10,102957.21182441711
2022-01-11,103798.45883369446
2022-01-12,103093.32298469543
2022-01-13,101084.5202960968
2022-01-14,100541.45892524719
2022-01-18,99099.45141792297
2022-01-19,98664.81241035461
2022-01-20,98411.77104377747
2022-01-21,94450.43113136292
2022-01-24,94047.89163208008
2022-01-25,95042.5923461914
2022-01-26,95301.01342964172
2022-01-27,93527.05332183838
2022-01-28,93302.41259765625
2022-01-31,95511.79275512695
2022-02-01,96832.35396957397
2022-02-02,96240.93201065063
2022-02-03,94853.37225341797
2022-02-04,93993.9527015686
2022-02-07,96044.34331893921
2022-02-08,97592.69270515442
2022-02-09,100831.34118270874
2022-02-10,97987.12263870239
2022-02-11,94200.63325500488
2022-02-14,94224.80583763123
2022-02-15,98946.34230613708
2022-02-16,97394.46349525452
2022-02-17,93927.58271598816
2022-02-18,90841.81557273865
2022-02-22,87927.02380943298
2022-02-23,85724.08535194397
2022-02-24,87749.70499038696
2022-02-25,88940.00328445435
2022-02-28,90495.90367126465
2022-03-01,89342.5155758667
2022-03-02,87351.79451202393
2022-03-03,85259.61477310181
2022-03-04,84946.19297317506
2022-03-07,81097.91468185425
2022-03-08,83075.49370231628
2022-03-09,84005.26496925353
2022-03-10,84033.80456962585
2022-03-11,83035.27508201599
2022-03-14,81143.9546131134
2022-03-15,83879.34912147521
2022-03-16,87093.19824447631
2022-03-17,87890.152576828
2022-03-18,90124.56492652892
2022-03-21,89338.7566417694
2022-03-22,90371.20040168762
2022-03-23,89366.88772621154
2022-03-24,89966.63899459838
2022-03-25,90265.5387271881
2022-03-28,91424.62843170165
2022-03-29,92861.04055824279
2022-03-30,92313.98905029296
2022-03-31,93284.109400177
2022-04-01,92715.83957328796
2022-04-04,92517.79004516601
2022-04-05,92709.18901290893
2022-04-06,89525.3792728424
2022-04-07,88736.09036102294
2022-04-08,88433.3692249298
2022-04-11,88827.5511440277
2022-04-12,88866.46134796142
2022-04-13,90949.32156219482
2022-04-14,91210.08864059448
2022-04-18,89959.07171669006
2022-04-19,91838.65878715515
2022-04-20,89150.29110565185
2022-04-21,88337.42112960815
2022-04-22,86380.70077774048
2022-04-25,87863.32095367432
2022-04-26,84354.5105542755
2022-04-27,83700.8673638916
2022-04-28,87135.18081733704
2022-04-29,82710.28703048706
2022-05-02,86098.63680374145
2022-05-03,87494.0593448639
2022-05-04,94301.73982818604
2022-05-05,90681.31890342713
2022-05-06,88728.7247554016
2022-05-09,82256.59653305053
2022-05-10,82985.60908752441
2022-05-11,80143.98868408203
2022-05-12,80115.19010231018
2022-05-13,84057.41891571044
2022-05-16,83014.16899253844
2022-05-17,86378.10988739014
2022-05-18,82490.66039970398
2022-05-19,82393.9889289093
2022-05-20,83700.14886245728
2022-05-23,83506.74910690307
2022-05-24,80935.6688809967
2022-05-25,82960.28748512268
2022-05-26,89245.37905273438
2022-05-27,92146.4606943512
2022-05-31,91199.06928359985
2022-06-01,89514.69698104859
2022-06-02,92076.9900617981
2022-06-03,91017.5790538025
2022-06-06,91984.47012496949
2022-06-07,92256.44063949585
2022-06-08,92433.7513911438
2022-06-09,88644.00887527465
2022-06-10,84903.2912059784
2022-06-13,73266.87945411683
2022-06-14,73664.28212924958
2022-06-15,76820.21920581818
2022-06-16,73788.83870788575
2022-06-17,77136.5802659607
2022-06-21,76803.5573262787
2022-06-22,76709.1583613968
2022-06-23,76055.57735534669
2022-06-24,83250.57860275269
2022-06-27,82125.44880767823
2022-06-28,81505.56671043397
2022-06-29,77067.30754943848
2022-06-30,76246.98749443055
2022-07-01,77608.94699378968
2022-07-05,79140.48852821351
2022-07-06,76758.26794906617
2022-07-07,78564.15751358033
2022-07-08,77387.8684854126
2022-07-11,75209.04688926697
2022-07-12,76913.64683242798
2022-07-13,76790.59783073426
2022-07-14,75437.54703804017
2022-07-15,78356.58665462495
2022-07-18,81174.5357265091
2022-07-19,84930.00491615296
2022-07-20,88953.91708847047
2022-07-21,83234.64602943421
2022-07-22,82536.60706993104
2022-07-25,82451.23705574036
2022-07-26,79900.10429473878
2022-07-27,82029.86700912476
2022-07-28,80575.9466142273
2022-07-29,79622.24650283814
2022-08-01,80404.91450210572
2022-08-02,80771.96551223756
2022-08-03,82762.64740081788
2022-08-04,83644.1066331482
2022-08-05,80746.31495376588
2022-08-08,82992.45379730225
2022-08-09,81720.01626296998
2022-08-10,85127.57595153809
2022-08-11,85985.83481689454
2022-08-12,87749.93661209107
2022-08-15,88113.29434677125
2022-08-16,89603.43743225098
2022-08-17,87110.97615905762
2022-08-18,86640.30624862672
2022-08-19,84278.6363496399
2022-08-22,81342.18468185425
2022-08-23,80998.53588195801
2022-08-24,82089.24564071656
2022-08-25,84354.84538742066
2022-08-26,81803.34512420655
2022-08-29,81393.03934570313
2022-08-30,80927.7429399109
2022-08-31,80638.64799209595
2022-09-01,80700.28125473023
2022-09-02,80615.75685211182
2022-09-06,79607.32012268067
2022-09-07,81770.51816650391
2022-09-08,82759.42929931641
2022-09-09,84527.02982040406
2022-09-12,86369.44673828126
2022-09-13,82062.8855343628
2022-09-14,82129.372497406
2022-09-15,82301.65584152222
2022-09-16,81846.76634643556
2022-09-19,81514.7861921692
2022-09-20,80227.17394378662
2022-09-21,79106.72106964112
2022-09-22,77669.85349105835
2022-09-23,77201.03837600708
2022-09-26,76416.44224380494
2022-09-27,76841.6683847046
2022-09-28,78209.88434295655
2022-09-29,76418.33836730958
2022-09-30,75845.50036209107
2022-10-03,78771.65427337647
2022-10-04,80923.87427337648
2022-10-05,81425.31427337647
2022-10-06,81024.97427337646
2022-10-07,75525.65427337647
2022-10-10,75469.23399017334
2022-10-11,73287.86399017334
2022-10-12,72914.14418487549
2022-10-13,74578.47228546142
2022-10-14,73098.39057800293
2022-10-17,74354.14112884521
2022-10-18,74593.63587860107
2022-10-19,74210.22441009521
2022-10-20,74469.39092926025
2022-10-21,74855.61991790771
2022-10-24,75693.79028228759
2022-10-25,77236.58134368896
2022-10-26,76272.87081817626
2022-10-27,79022.88014801024
2022-10-28,81542.20387908936
2022-10-31,80949.4463873291
2022-11-01,79491.53066772461
2022-11-02,76447.03712371826
2022-11-03,74877.22202209472
2022-11-04,71923.24300292968
2022-11-07,72685.78444580077
2022-11-08,72929.75426391601
2022-11-09,73174.03829101562
2022-11-10,80130.57146362304
2022-11-11,84283.95294860839
2022-11-14,82841.56519226074
2022-11-15,84100.4692602539
2022-11-16,82631.40528015136
2022-11-17,81429.44272521972
2022-11-18,80145.88427261352
2022-11-21,76646.60287384033
2022-11-22,77257.71546081542
2022-11-23,78730.47420028686
2022-11-25,78725.72517303466
2022-11-28,77305.83417037963
2022-11-29,77032.31479553222
2022-11-30,78084.21412185668
2022-12-01,78503.20373443603
2022-12-02,77043.99539855956
2022-12-05,75758.2937574768
2022-12-06,74450.32396606445
2022-12-07,74555.79406265258
2022-12-08,74646.28525833129
2022-12-09,75373.60509017944
2022-12-12,75770.32576278686
2022-12-13,74932.80551055908
2022-12-14,75131.1637449646
2022-12-15,72971.24475387573
2022-12-16,72772.88441757202
2022-12-19,71318.24475387573
2022-12-20,71163.96542648315
2022-12-21,71163.96542648315
2022-12-22,71163.96542648315
2022-12-23,71163.96542648315
2022-12-27,71163.96542648315
2022-12-28,71163.96542648315
2022-12-29,71163.96542648315
2022-12-30,71163.96542648315
