step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
13,2025-12-30,NASDAQ:AMAT,entry,0.1304449648711944,259.97,259.97,0.0,128.21992281160644,0.3333333333333333,
13,2025-12-30,NASDAQ:AMD,entry,0.1304449648711944,215.34,215.34,0.0,154.7939692269589,0.3333333333333333,
13,2025-12-30,NASDAQ:AVGO,entry,0.1304449648711944,349.85,349.85,0.0,89.56219332094709,0.3333333333333333,
14,2025-12-31,NASDAQ:AMD,trim,0.1304449648711944,215.34,214.16,154.0,153.85478147179677,0.3333333333333333,
15,2026-01-02,NASDAQ:AMAT,trim,0.1304449648711944,259.97,268.87,128.0,126.37864643384039,0.3333333333333333,
15,2026-01-02,NASDAQ:AMD,trim,0.1304449648711944,215.34,223.47,154.0,152.05363881803672,0.3333333333333333,
16,2026-01-05,NASDAQ:AMAT,trim,0.1304449648711944,259.97,284.32,127.0,120.96110603076346,0.3333333333333333,
17,2026-01-06,NASDAQ:AMAT,trim,0.1304449648711944,259.97,296.01,121.0,116.66001711653884,0.3333333333333333,
18,2026-01-07,NASDAQ:AMAT,trim,0.1304449648711944,259.97,292.2,117.0,116.87116700889801,0.3333333333333333,
20,2026-01-09,NASDAQ:AMAT,trim,0.1304449648711944,259.97,301.18,117.0,113.53421541935053,0.3333333333333333,
21,2026-01-12,NASDAQ:AMAT,trim,0.1304449648711944,259.97,307.24,114.0,113.49549754806232,0.3333333333333333,
24,2026-01-15,NASDAQ:AMAT,exit,0.1304449648711944,259.97,319.08,114.0,0.0,,target
24,2026-01-15,NASDAQ:BIIB,entry,0.1304449648711944,168.57,168.57,0.0,37.570154831820574,0.3333333333333333,
27,2026-01-21,NASDAQ:AMD,trim,0.1304449648711944,215.34,249.8,153.0,148.40580464371493,0.3333333333333333,
28,2026-01-22,NASDAQ:AMD,trim,0.1304449648711944,215.34,253.73,149.0,146.5570356941105,0.3333333333333333,
29,2026-01-23,NASDAQ:AMD,exit,0.1304449648711944,215.34,259.68,147.0,0.0,,target
29,2026-01-23,NASDAQ:AMAT,entry,0.1304449648711944,322.38,322.38,0.0,115.6827036416651,0.3333333333333333,
31,2026-01-27,NASDAQ:AMAT,trim,0.1304449648711944,322.38,332.71,115.0,114.12245398895934,0.3333333333333333,
32,2026-01-28,NASDAQ:AMAT,trim,0.1304449648711944,322.38,336.75,115.0,113.278856718634,0.3333333333333333,
33,2026-01-29,NASDAQ:AMAT,trim,0.1304449648711944,322.38,341.34,114.0,112.10110154098552,0.3333333333333333,
37,2026-02-04,NASDAQ:AVGO,exit,0.1304449648711944,349.85,308.05,89.0,0.0,,DD
37,2026-02-04,NASDAQ:AMD,entry,0.1304449648711944,200.19,200.19,0.0,180.10757280583442,0.3333333333333333,
40,2026-02-09,NASDAQ:AMD,trim,0.1304449648711944,200.19,216.0,180.0,177.9438271604938,0.3333333333333333,
44,2026-02-13,NASDAQ:AMAT,trim,0.1304449648711944,322.38,354.91,113.0,109.52216054774448,0.3333333333333333,
45,2026-02-17,NASDAQ:AMAT,trim,0.1304449648711944,322.38,359.13,110.0,107.92376019825689,0.3333333333333333,
