,equity
2021-12-08,100000.0
2021-12-09,100000.0
2021-12-10,100000.0
2021-12-13,100000.0
2021-12-14,100000.0
2021-12-15,100000.0
2021-12-16,100000.0
2021-12-17,100000.0
2021-12-20,100000.0
2021-12-21,100000.0
2021-12-22,99886.8
2021-12-23,100794.51
2021-12-27,102631.74
2021-12-28,102732.79000000001
2021-12-29,104738.44
2021-12-30,101791.98000000001
2021-12-31,100896.88
2022-01-03,103601.13
2022-01-04,102173.29999999999
2022-01-05,99538.28000000001
2022-01-06,98314.05
2022-01-07,97231.12000000001
2022-01-10,96917.12000000001
2022-01-11,99390.80000000002
2022-01-12,97628.74
2022-01-13,97726.14000000001
2022-01-14,98908.1
2022-01-18,97884.95000000001
2022-01-19,97375.43000000001
2022-01-20,95759.56
2022-01-21,94368.46
2022-01-24,93558.79
2022-01-25,91085.18
2022-01-26,90389.57
2022-01-27,88744.55
2022-01-28,89695.19000000002
2022-01-31,90236.00000000001
2022-02-01,90090.13
2022-02-02,91248.2
2022-02-03,90435.79
2022-02-04,90657.35
2022-02-07,90365.90000000001
2022-02-08,90187.85
2022-02-09,91340.87000000001
2022-02-10,90063.16000000002
2022-02-11,88806.17000000001
2022-02-14,88560.36000000002
2022-02-15,89611.15000000002
2022-02-16,89029.29000000001
2022-02-17,87660.52
2022-02-18,87169.25000000001
2022-02-22,86530.75
2022-02-23,86238.52000000002
2022-02-24,85896.24000000002
2022-02-25,86830.90000000001
2022-02-28,87537.07
2022-03-01,86802.18000000001
2022-03-02,86883.69
2022-03-03,86900.01000000001
2022-03-04,86134.63
2022-03-07,84407.53000000001
2022-03-08,85318.65000000001
2022-03-09,86805.05000000002
2022-03-10,85108.01
2022-03-11,84426.17000000001
2022-03-14,83270.33000000002
2022-03-15,85549.93000000001
2022-03-16,88070.09000000001
2022-03-17,87524.97000000002
2022-03-18,88514.65000000001
2022-03-21,88781.21
2022-03-22,89146.25000000001
2022-03-23,88581.93000000002
2022-03-24,90867.77000000002
2022-03-25,90324.25
2022-03-28,90577.29000000001
2022-03-29,91873.21
2022-03-30,90171.13
2022-03-31,87707.53
2022-04-01,87246.01000000001
2022-04-04,88002.25000000001
2022-04-05,86252.09000000001
2022-04-06,85717.85
2022-04-07,86138.89
2022-04-08,85835.45000000001
2022-04-11,84196.92000000001
2022-04-12,83234.85
2022-04-13,85282.79000000001
2022-04-14,84096.29000000001
2022-04-18,84387.74
2022-04-19,85943.53000000001
2022-04-20,83922.16
2022-04-21,80950.61
2022-04-22,78998.70000000001
2022-04-25,79058.08
2022-04-26,77338.74
2022-04-27,77225.0
2022-04-28,79219.86000000002
2022-04-29,77231.52
2022-05-02,78103.37000000001
2022-05-03,78627.90000000001
2022-05-04,82013.64000000001
2022-05-05,79068.94000000002
2022-05-06,78548.18000000001
2022-05-09,74257.09000000001
2022-05-10,76273.04000000001
2022-05-11,76839.00000000001
2022-05-12,76618.65000000001
2022-05-13,80634.66
2022-05-16,80952.09000000001
2022-05-17,82690.72000000002
2022-05-18,80833.17000000001
2022-05-19,81105.90000000001
2022-05-20,79768.92000000001
2022-05-23,81248.82
2022-05-24,80568.39000000001
2022-05-25,80632.43000000001
2022-05-26,83480.73000000001
2022-05-27,84649.03000000001
2022-05-31,83493.09000000001
2022-06-01,84170.5
2022-06-02,85581.78
2022-06-03,85572.31
2022-06-06,85337.37000000001
2022-06-07,85303.29000000001
2022-06-08,84198.90000000001
2022-06-09,82066.01000000001
2022-06-10,80150.76000000001
2022-06-13,76621.55
2022-06-14,76374.66
2022-06-15,76046.91
2022-06-16,72502.08
2022-06-17,72481.84
2022-06-21,73778.71000000002
2022-06-22,72957.09000000001
2022-06-23,73127.14000000001
2022-06-24,75317.20000000001
2022-06-27,74448.13
2022-06-28,71849.23000000001
2022-06-29,71332.35
2022-06-30,70348.27
2022-07-01,70544.25
2022-07-05,71773.53000000001
2022-07-06,71972.88
2022-07-07,73492.42
2022-07-08,73040.08
2022-07-11,71606.42
2022-07-12,70496.32
2022-07-13,70589.3
2022-07-14,70861.68
2022-07-15,72419.18
2022-07-18,72484.24
2022-07-19,74866.84
2022-07-20,77725.52
2022-07-21,78613.26
2022-07-22,77546.74
2022-07-25,77188.64000000001
2022-07-26,75331.12
2022-07-27,78374.07
2022-07-28,79923.90000000001
2022-07-29,83681.49
2022-08-01,84440.81999999999
2022-08-02,84416.15000000001
2022-08-03,85582.43000000001
2022-08-04,87756.59999999999
2022-08-05,87059.51000000001
2022-08-08,86221.7
2022-08-09,84715.80000000002
2022-08-10,87409.68
2022-08-11,86931.17
2022-08-12,88767.12
2022-08-15,88855.25
2022-08-16,88978.95000000001
2022-08-17,87377.41
2022-08-18,87913.87
2022-08-19,85436.4
2022-08-22,83038.51000000001
2022-08-23,82704.98999999999
2022-08-24,82888.29000000001
2022-08-25,85167.91
2022-08-26,81129.38
2022-08-29,80161.92000000001
2022-08-30,79284.72
2022-08-31,78354.8
2022-09-01,78113.91
2022-09-02,77641.82999999999
2022-09-06,77120.68
2022-09-07,78066.3
2022-09-08,78927.72
2022-09-09,80255.54000000001
2022-09-12,80630.63
2022-09-13,76217.58114059447
2022-09-14,76658.368381958
2022-09-15,75695.59574081421
2022-09-16,75919.63783630371
2022-09-19,76461.80986358643
2022-09-20,75296.10127700806
2022-09-21,75310.40134521484
2022-09-22,73091.05168624877
2022-09-23,72183.5515498352
2022-09-26,71013.4073588562
2022-09-27,71271.91810913086
2022-09-28,73162.11202728271
2022-09-29,71808.11439559936
2022-09-30,71138.495809021
2022-10-03,73670.82006820678
2022-10-04,76973.25959075928
2022-10-05,77293.64526336669
2022-10-06,78334.11412277221
2022-10-07,78052.01230010987
2022-10-10,76611.97405456542
2022-10-11,76272.3627093506
2022-10-12,75939.88391815184
2022-10-13,78163.80398635863
2022-10-14,75336.08034103393
2022-10-17,77549.16708602905
2022-10-18,77084.1699317932
2022-10-19,77844.98127700806
2022-10-20,77597.56635467529
2022-10-21,78730.82120880127
2022-10-24,79574.83587722777
2022-10-25,81250.46134521483
2022-10-26,81163.37175445557
2022-10-27,81575.81127700806
2022-10-28,87845.9252633667
2022-10-31,87401.4394543457
2022-11-01,87402.02831375122
2022-11-02,85642.55567260741
2022-11-03,85451.1810723877
2022-11-04,87700.18216369628
2022-11-07,88725.00127700805
2022-11-08,89406.21034103393
2022-11-09,86751.99195907592
2022-11-10,92448.62391815185
2022-11-11,92680.53931793213
2022-11-14,91758.22405456542
2022-11-15,93268.17257293701
2022-11-16,91554.3436453247
2022-11-17,90563.98999999999
2022-11-18,90360.20662750243
2022-11-21,89925.41061386108
2022-11-22,89524.32804092407
2022-11-23,90011.37804092407
2022-11-25,89776.77804092407
2022-11-28,89922.12804092406
2022-11-29,89366.22804092406
2022-11-30,90868.17804092407
2022-12-01,91314.42804092407
2022-12-02,91334.82804092407
2022-12-05,90939.57804092407
2022-12-06,90750.87804092406
2022-12-07,90750.87804092406
2022-12-08,90750.87804092406
2022-12-09,90750.87804092406
2022-12-12,90750.87804092406
2022-12-13,90750.87804092406
2022-12-14,90750.87804092406
2022-12-15,90750.87804092406
2022-12-16,90750.87804092406
2022-12-19,90750.87804092406
2022-12-20,90750.87804092406
2022-12-21,90750.87804092406
2022-12-22,90750.87804092406
2022-12-23,90750.87804092406
2022-12-27,90750.87804092406
2022-12-28,90750.87804092406
2022-12-29,90750.87804092406
2022-12-30,90750.87804092406
