,equity
2025-12-17,100000.0
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,98780.40292358398
2026-01-02,101036.2106628418
2026-01-05,99197.84176635742
2026-01-06,101004.61227416992
2026-01-07,97182.30258178711
2026-01-08,94409.85107421875
2026-01-09,94447.6640625
2026-01-12,93663.96102905273
2026-01-13,95739.72164916992
2026-01-14,92134.41192626953
2026-01-15,93905.6813659668
2026-01-16,92262.74133300781
2026-01-20,93498.22079467773
2026-01-21,95007.13235473633
2026-01-22,95124.95913696289
2026-01-23,94125.52114868164
2026-01-26,92692.66384887695
2026-01-27,94628.53207397461
2026-01-28,97552.43167114258
2026-01-29,93216.75122070312
2026-01-30,95242.04229736328
2026-02-02,97823.1431274414
2026-02-03,99859.78088378906
2026-02-04,101009.54284667969
2026-02-05,102677.90225219727
2026-02-06,105219.21960449219
2026-02-09,107684.28433227539
2026-02-10,106987.04005432129
2026-02-11,106648.93980407715
2026-02-12,105063.22067260742
2026-02-13,106045.91989135742
2026-02-17,105596.92094421387
2026-02-18,107312.38150024414
2026-02-19,106767.21952819824
2026-02-20,107204.96141052246
2026-02-23,106015.31834411621
2026-02-24,106725.70121765137
2026-02-25,103412.37951660156
2026-02-26,101789.42037963867
2026-02-27,101953.12040710449
2026-03-02,103872.56057739258
2026-03-03,98713.35934448242
2026-03-04,98672.60945129395
2026-03-05,96882.80926513672
2026-03-06,91509.01058959961
2026-03-09,95825.15934753418
2026-03-10,97088.70930480957
2026-03-11,98167.71054077148
2026-03-12,94173.96176147461
2026-03-13,94277.61036682129
2026-03-16,95513.01152038574
2026-03-17,96357.60952758789
2026-03-18,98076.25996398926
2026-03-19,101462.4603729248
2026-03-20,98597.25849914551
2026-03-23,99568.76034545898
2026-03-24,103031.0591583252
2026-03-25,102984.05926513672
2026-03-26,98010.30972290039
2026-03-27,99132.45907592773
2026-03-30,96587.75952148438
2026-03-31,99375.61047363281
2026-04-01,102619.5609741211
2026-04-02,106470.30934143066
2026-04-06,103788.4109954834
2026-04-07,105461.15963745117
2026-04-08,108819.81091308594
2026-04-09,108379.85981750488
2026-04-10,109627.50904846191
2026-04-13,108056.91014099121
2026-04-14,107868.95924377441
2026-04-15,106693.46043395996
2026-04-16,109862.20875549316
2026-04-17,110082.76127624512
2026-04-20,110376.55949401855
2026-04-21,106295.50938415527
2026-04-22,107751.10905456543
2026-04-23,106446.46069335938
2026-04-24,108010.21069335938
2026-04-27,107022.00970458984
2026-04-28,103948.05981445312
2026-04-29,106960.81036376953
2026-04-30,108940.81036376953
2026-05-01,111083.25970458984
2026-05-04,112264.50970458984
2026-05-05,113091.6099243164
2026-05-06,110829.01135253906
2026-05-07,108502.51080322266
2026-05-08,109007.40948486328
2026-05-11,115725.45849609375
2026-05-12,114156.75915527344
2026-05-13,114156.75915527344
2026-05-14,114156.75915527344
2026-05-15,114156.75915527344
2026-05-18,114156.75915527344
2026-05-19,114156.75915527344
2026-05-20,114156.75915527344
2026-05-21,114156.75915527344
2026-05-22,114156.75915527344
