,equity
2021-12-08,100000.0
2021-12-09,100000.0
2021-12-10,100000.0
2021-12-13,100000.0
2021-12-14,100000.0
2021-12-15,100000.0
2021-12-16,100000.0
2021-12-17,100000.0
2021-12-20,100000.0
2021-12-21,100000.0
2021-12-22,101302.06847763062
2021-12-23,103251.27154922485
2021-12-27,105976.85088539124
2021-12-28,104983.00016784668
2021-12-29,104102.01197052002
2021-12-30,104070.55198478699
2021-12-31,102850.76111030579
2022-01-03,107960.69946289062
2022-01-04,112703.67902565002
2022-01-05,110274.7708568573
2022-01-06,110507.19929504395
2022-01-07,115887.40842056274
2022-01-10,116372.94183120727
2022-01-11,117669.06070327759
2022-01-12,118031.57957534789
2022-01-13,116869.13028030394
2022-01-14,118958.39915237426
2022-01-18,117112.85499832152
2022-01-19,114455.2547868347
2022-01-20,111358.83598526
2022-01-21,109678.3639147644
2022-01-24,111240.81891476439
2022-01-25,108439.46891476438
2022-01-26,108929.61891476439
2022-01-27,105507.28891476437
2022-01-28,106695.17891476439
2022-01-31,108323.22891476439
2022-02-01,109022.89891476439
2022-02-02,109927.48891476438
2022-02-03,108383.4989147644
2022-02-04,108440.04891476438
2022-02-07,108237.62891476438
2022-02-08,108809.30891476439
2022-02-09,109937.4789147644
2022-02-10,107911.37891476438
2022-02-11,105887.82891476438
2022-02-14,104840.15891476438
2022-02-15,107367.1289147644
2022-02-16,107777.7489147644
2022-02-17,106057.6289147644
2022-02-18,105479.49891476438
2022-02-22,104218.2289147644
2022-02-23,102509.92891476439
2022-02-24,105839.34891476438
2022-02-25,108136.88891476441
2022-02-28,110626.4289147644
2022-03-01,107629.56827023313
2022-03-02,109417.31848507689
2022-03-03,106753.078801239
2022-03-04,105416.40827511596
2022-03-07,97872.84929348752
2022-03-08,99367.46936154172
2022-03-09,102414.4395055847
2022-03-10,100398.64936245725
2022-03-11,98516.71915097044
2022-03-14,96549.93923428345
2022-03-15,100137.03483425902
2022-03-16,104207.9123899536
2022-03-17,103891.65412609861
2022-03-18,105444.00714337156
2022-03-21,105750.04923626708
2022-03-22,106088.47934521483
2022-03-23,104297.98185604857
2022-03-24,108403.12613674926
2022-03-25,108117.5252817993
2022-03-28,109232.43388043212
2022-03-29,111586.7770359497
2022-03-30,108117.07575283812
2022-03-31,105614.41636166381
2022-04-01,103738.80625729368
2022-04-04,104205.41528256224
2022-04-05,100894.3264220886
2022-04-06,99677.14594418333
2022-04-07,99821.29514096068
2022-04-08,98572.57509884643
2022-04-11,96923.57384060668
2022-04-12,95808.37170437622
2022-04-13,97086.4266756897
2022-04-14,94358.368493927
2022-04-18,95705.61131924437
2022-04-19,97537.39612149047
2022-04-20,98202.25144802856
2022-04-21,96247.02688504028
2022-04-22,94232.77954373168
2022-04-25,95698.02269009399
2022-04-26,92043.06455044555
2022-04-27,91987.0998055725
2022-04-28,95906.73673611449
2022-04-29,92969.62856472777
2022-05-02,94882.44482754516
2022-05-03,95941.07592007445
2022-05-04,99626.1639638977
2022-05-05,95980.64316189574
2022-05-06,95631.36050686645
2022-05-09,91514.49129544068
2022-05-10,92658.54360134888
2022-05-11,90550.4523019104
2022-05-12,90758.39990220337
2022-05-13,94409.19485581665
2022-05-16,93451.0044835022
2022-05-17,95769.84315232544
2022-05-18,92445.16267625122
2022-05-19,92541.93267625122
2022-05-20,92294.65267625121
2022-05-23,92561.69267625122
2022-05-24,90790.24267625122
2022-05-25,92214.26267625122
2022-05-26,94306.26267625122
2022-05-27,99585.87267625122
2022-05-31,97999.10267625122
2022-06-01,97830.44267625122
2022-06-02,100919.75267625121
2022-06-03,98312.49267625122
2022-06-06,98437.49267625122
2022-06-07,98929.47267625121
2022-06-08,97786.93267625122
2022-06-09,95245.67267625121
2022-06-10,90712.08267625122
2022-06-13,86067.71267625122
2022-06-14,86206.69267625122
2022-06-15,87263.61267625121
2022-06-16,84649.05267625122
2022-06-17,84826.42767625122
2022-06-21,85538.84767625121
2022-06-22,85474.04767625121
2022-06-23,87227.19767625122
2022-06-24,89988.18767625121
2022-06-27,89154.42767625122
2022-06-28,86955.40767625121
2022-06-29,86004.7876762512
2022-06-30,84939.14767625122
2022-07-01,83665.8476762512
2022-07-05,84043.7276762512
2022-07-06,84287.1576762512
2022-07-07,86542.32767625121
2022-07-08,86405.7576762512
2022-07-11,85062.35767625121
2022-07-12,84485.48767625121
2022-07-13,84459.7876762512
2022-07-14,85472.84767625121
2022-07-15,87346.76767625121
2022-07-18,86934.2676762512
2022-07-19,89896.0676762512
2022-07-20,92840.4776762512
2022-07-21,93541.09767625121
2022-07-22,91842.1176762512
2022-07-25,92759.57767625121
2022-07-26,91556.49767625121
2022-07-27,94247.1776762512
2022-07-28,94766.8376762512
2022-07-29,96469.09767625121
2022-08-01,95425.7576762512
2022-08-02,97060.6976762512
2022-08-03,96159.77767625121
2022-08-04,94983.7576762512
2022-08-05,95387.9576762512
2022-08-08,95671.4976762512
2022-08-09,94761.35767625121
2022-08-10,96430.69767625122
2022-08-11,98151.1176762512
2022-08-12,99719.7576762512
2022-08-15,98636.23767625121
2022-08-16,98228.85767625121
2022-08-17,97500.2376762512
2022-08-18,98604.8176762512
2022-08-19,97657.1976762512
2022-08-22,96458.03767625122
2022-08-23,97728.97767625122
2022-08-24,98244.99767625122
2022-08-25,99976.81767625122
2022-08-26,95416.57767625121
2022-08-29,94321.31767625122
2022-08-30,93309.77767625121
2022-08-31,92634.5576762512
2022-09-01,92236.76767625121
2022-09-02,91755.86767625122
2022-09-06,91150.41767625122
2022-09-07,93405.6676762512
2022-09-08,94741.07767625121
2022-09-09,96517.97767625122
2022-09-12,97227.46767625122
2022-09-13,92129.23767625121
2022-09-14,92876.5576762512
2022-09-15,90060.3676762512
2022-09-16,89325.07767625123
2022-09-19,89053.55767625122
2022-09-20,87943.28767625122
2022-09-21,86587.40767625121
2022-09-22,84434.9176762512
2022-09-23,83384.06767625123
2022-09-26,82710.38767625122
2022-09-27,83208.84767625123
2022-09-28,84966.50767625122
2022-09-29,83854.17767625123
2022-09-30,82448.80767625122
2022-10-03,85416.96767625122
2022-10-04,87994.50767625123
2022-10-05,88377.45767625122
2022-10-06,88146.37767625123
2022-10-07,83210.09767625121
2022-10-10,81295.94767625123
2022-10-11,80781.43767625123
2022-10-12,81301.69767625122
2022-10-13,82737.33767625122
2022-10-14,80286.91767625122
2022-10-17,82459.78767625122
2022-10-18,82696.79767625123
2022-10-19,83323.27767625122
2022-10-20,83934.98767625123
2022-10-21,85266.39767625123
2022-10-24,86258.85267625123
2022-10-25,88276.90267625122
2022-10-26,88256.07267625122
2022-10-27,87884.99267625123
2022-10-28,93489.94767625123
2022-10-31,92699.24767625124
2022-11-01,90668.08767625123
2022-11-02,88022.66323289185
2022-11-03,85911.8827458313
2022-11-04,87084.0634416321
2022-11-07,88367.892467511
2022-11-08,89353.30371995241
2022-11-09,87206.26260667115
2022-11-10,93429.11274583131
2022-11-11,95749.03378953249
2022-11-14,95516.61351121218
2022-11-15,96504.31279435426
2022-11-16,94964.70364243776
2022-11-17,93721.09364640505
2022-11-18,92403.73373307497
2022-11-21,91462.96327622683
2022-11-22,92783.83417802126
2022-11-23,93992.27359788209
2022-11-25,93235.65331956178
2022-11-28,92068.91408494265
2022-11-29,91180.69276292116
2022-11-30,95459.30304124148
2022-12-01,96926.32366746217
2022-12-02,95366.76401536255
2022-12-05,93165.40408494264
2022-12-06,91660.10318040162
2022-12-07,91404.56290208132
2022-12-08,92140.38359788209
2022-12-09,91450.08359788211
2022-12-12,92510.4335978821
2022-12-13,93899.94359788208
2022-12-14,93517.1035978821
2022-12-15,91348.92359788211
2022-12-16,91304.0735978821
2022-12-19,89794.4535978821
2022-12-20,89830.3935978821
2022-12-21,90024.7935978821
2022-12-22,89640.79359788209
2022-12-23,89671.6735978821
2022-12-27,89617.9135978821
2022-12-28,89509.7535978821
2022-12-29,89657.7535978821
2022-12-30,89584.4735978821
