,equity
2021-12-08,100000.0
2021-12-09,100000.0
2021-12-10,100000.0
2021-12-13,100000.0
2021-12-14,100000.0
2021-12-15,100000.0
2021-12-16,100000.0
2021-12-17,100000.0
2021-12-20,100000.0
2021-12-21,100000.0
2021-12-22,99968.3603515625
2021-12-23,101025.00386810303
2021-12-27,101244.34216690063
2021-12-28,100259.44062805176
2021-12-29,99200.49398803711
2021-12-30,100974.88261795044
2021-12-31,98629.03366470337
2022-01-03,102352.83205413818
2022-01-04,102859.63142776489
2022-01-05,98933.42450332642
2022-01-06,97505.1103439331
2022-01-07,104738.26006317139
2022-01-10,105437.25241088867
2022-01-11,106416.729347229
2022-01-12,106021.08255386353
2022-01-13,105032.3211593628
2022-01-14,104515.47863769531
2022-01-18,102472.63207626343
2022-01-19,101685.24203109741
2022-01-20,101257.58166122437
2022-01-21,97008.69095230103
2022-01-24,96383.24660873413
2022-01-25,96224.0330657959
2022-01-26,96372.44791412354
2022-01-27,94871.58345413208
2022-01-28,94972.7827758789
2022-01-31,97305.22912216187
2022-02-01,98404.96648406982
2022-02-02,98196.18676567078
2022-02-03,96397.99496078491
2022-02-04,94068.50297164917
2022-02-07,94925.24571990967
2022-02-08,95912.45531082153
2022-02-09,98415.22039031982
2022-02-10,96373.57334136963
2022-02-11,93224.0500793457
2022-02-14,93455.32992172241
2022-02-15,97311.57800674438
2022-02-16,95940.21773910522
2022-02-17,93321.90546417236
2022-02-18,91810.48065567017
2022-02-22,89628.52722549438
2022-02-23,87354.97970962524
2022-02-24,89679.58003616333
2022-02-25,91396.14306259155
2022-02-28,92002.6766281128
2022-03-01,89318.0669844818
2022-03-02,88905.50670639038
2022-03-03,86947.21707809449
2022-03-04,87267.71544395447
2022-03-07,85126.57604595184
2022-03-08,87228.9438987732
2022-03-09,89293.0455356598
2022-03-10,89366.30423316956
2022-03-11,87845.96442756653
2022-03-14,85910.54540977479
2022-03-15,88625.2882686615
2022-03-16,93015.56571540833
2022-03-17,93115.99057731629
2022-03-18,95128.04311332703
2022-03-21,94539.66199455262
2022-03-22,97484.69402275086
2022-03-23,96398.38478874206
2022-03-24,98852.73005516051
2022-03-25,97981.07732414245
2022-03-28,99531.38125343322
2022-03-29,101912.49304954529
2022-03-30,98924.87888969421
2022-03-31,95557.62755393982
2022-04-01,94602.56593589782
2022-04-04,95519.92101127624
2022-04-05,93699.69122261048
2022-04-06,90974.34838127135
2022-04-07,90880.58458580017
2022-04-08,90061.82455680847
2022-04-11,90280.35600212097
2022-04-12,90634.19841651917
2022-04-13,92131.55828269958
2022-04-14,90984.16441856384
2022-04-18,90087.16296028136
2022-04-19,93279.52234046935
2022-04-20,92689.44750968933
2022-04-21,91726.7028377533
2022-04-22,89156.55914329528
2022-04-25,90966.90119651794
2022-04-26,87712.26936050414
2022-04-27,87568.71618766784
2022-04-28,90140.04729385376
2022-04-29,87342.04299659729
2022-05-02,89828.84134407043
2022-05-03,91653.270307312
2022-05-04,95166.80819114685
2022-05-05,91098.41946243287
2022-05-06,88472.76602333068
2022-05-09,84487.88624259949
2022-05-10,84675.71761032104
2022-05-11,81368.70835479736
2022-05-12,81364.83028423309
2022-05-13,85570.21437286376
2022-05-16,84116.33567951202
2022-05-17,87016.22887939453
2022-05-18,83146.06783634186
2022-05-19,84378.26936611175
2022-05-20,85003.53219795227
2022-05-23,85131.92339958191
2022-05-24,81920.92587596894
2022-05-25,84508.09389858246
2022-05-26,88628.505484581
2022-05-27,92456.54114772797
2022-05-31,91627.1772095871
2022-06-01,90080.10966915131
2022-06-02,94333.2912089157
2022-06-03,92414.60398921967
2022-06-06,92432.44858608246
2022-06-07,93391.4664007187
2022-06-08,92846.33314189911
2022-06-09,90305.31254253388
2022-06-10,86710.66398868561
2022-06-13,81692.44825706483
2022-06-14,81324.64323291779
2022-06-15,84168.74006233216
2022-06-16,77599.65219936371
2022-06-17,80355.1620470047
2022-06-21,79944.73028240204
2022-06-22,79891.06048069001
2022-06-23,80361.09060916901
2022-06-24,85101.80145130158
2022-06-27,83965.87147006989
2022-06-28,82737.00024852753
2022-06-29,79027.62064609528
2022-06-30,77593.89961109162
2022-07-01,78753.89069614411
2022-07-05,80827.81069049836
2022-07-06,78362.84034023285
2022-07-07,80349.62121448517
2022-07-08,79355.42034778596
2022-07-11,77129.31909999848
2022-07-12,77454.47973308564
2022-07-13,77405.43065128327
2022-07-14,76445.78971538544
2022-07-15,78182.66962680817
2022-07-18,78255.23981914521
2022-07-19,81016.1989599228
2022-07-20,82217.11903247834
2022-07-21,82247.74943408967
2022-07-22,81165.22886905671
2022-07-25,80754.96013507844
2022-07-26,78460.78832683564
2022-07-27,81156.0802684784
2022-07-28,81741.03909454346
2022-07-29,81588.46969280244
2022-08-01,81951.27744255067
2022-08-02,83124.0588470459
2022-08-03,85988.70877132416
2022-08-04,86162.81836471558
2022-08-05,85727.14696846009
2022-08-08,87245.55755767823
2022-08-09,84557.58916873932
2022-08-10,88751.57843894958
2022-08-11,89193.55807762145
2022-08-12,90550.0379497528
2022-08-15,90784.13718223572
2022-08-16,91565.70906181335
2022-08-17,89757.61828147886
2022-08-18,89641.34716636658
2022-08-19,87690.75822685241
2022-08-22,85193.44693351747
2022-08-23,85012.89754386901
2022-08-24,85750.08681785583
2022-08-25,86848.90765159606
2022-08-26,83756.09708091736
2022-08-29,83011.05682792663
2022-08-30,82898.04762565612
2022-08-31,82025.37797080993
2022-09-01,82137.22794181823
2022-09-02,81633.2364867401
2022-09-06,80984.04741508483
2022-09-07,83061.36611015319
2022-09-08,84006.6569441986
2022-09-09,86006.11595756529
2022-09-12,87533.02809471129
2022-09-13,83249.50792991638
2022-09-14,83641.08799461364
2022-09-15,83446.5069783783
2022-09-16,81792.28743492127
2022-09-19,82826.0977242279
2022-09-20,80347.71786766053
2022-09-21,78759.03588981628
2022-09-22,76163.37864860534
2022-09-23,74666.1795815277
2022-09-26,73549.67115104674
2022-09-27,74374.64197746276
2022-09-28,76471.82145317076
2022-09-29,75463.96124626158
2022-09-30,74344.20698112487
2022-10-03,76340.1067638397
2022-10-04,79097.08091484068
2022-10-05,79154.0727593231
2022-10-06,78171.97309135436
2022-10-07,76239.58466117857
2022-10-10,75429.31488517759
2022-10-11,74079.18229728697
2022-10-12,74018.63274833678
2022-10-13,74724.12124687193
2022-10-14,73309.94459220885
2022-10-17,74990.22563224791
2022-10-18,75651.5983226776
2022-10-19,74995.3975237274
2022-10-20,74828.825724411
2022-10-21,75832.9499834442
2022-10-24,76383.64494743345
2022-10-25,77995.90583793639
2022-10-26,77042.6846721649
2022-10-27,80300.43044120786
2022-10-28,82308.79726310729
2022-10-31,81569.10708061217
2022-11-01,80406.49637809752
2022-11-02,77138.55245329284
2022-11-03,76833.77285429381
2022-11-04,78007.05370283508
2022-11-07,79614.2427021637
2022-11-08,79799.31283750915
2022-11-09,76354.66319120787
2022-11-10,85866.37419218443
2022-11-11,88392.45155180359
2022-11-14,88231.13119535826
2022-11-15,87602.73991804503
2022-11-16,84853.97023039244
2022-11-17,83934.68064337157
2022-11-18,83320.54068022154
2022-11-21,81430.55055075072
2022-11-22,82126.47004919432
2022-11-23,84740.84951811217
2022-11-25,84796.44006948851
2022-11-28,83124.66946058653
2022-11-29,83450.4709265747
2022-11-30,85687.40866499327
2022-12-01,86344.8198226013
2022-12-02,85910.81999426268
2022-12-05,83053.6286356964
2022-12-06,81384.84920339964
2022-12-07,81075.45858412169
2022-12-08,81322.55081587218
2022-12-09,82334.33010893248
2022-12-12,82247.38087492369
2022-12-13,81159.28031378172
2022-12-14,80847.05883818053
2022-12-15,79274.08965330504
2022-12-16,78394.3503783264
2022-12-19,78664.48987417601
2022-12-20,78664.48987417601
2022-12-21,78664.48987417601
2022-12-22,78664.48987417601
2022-12-23,78664.48987417601
2022-12-27,78664.48987417601
2022-12-28,78664.48987417601
2022-12-29,78664.48987417601
2022-12-30,78664.48987417601
