step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
13,2025-12-30,NASDAQ:AMAT,entry,0.1304449648711944,259.97,259.97,0.0,158.03886283602077,0.41085363171480327,
13,2025-12-30,NASDAQ:AMD,entry,0.1304449648711944,215.34,215.34,0.0,161.99796620775902,0.34884642043178826,
13,2025-12-30,NASDAQ:AVGO,entry,0.1304449648711944,349.85,349.85,0.0,62.969829313536785,0.24029994785340847,
24,2026-01-15,NASDAQ:AMAT,exit,0.1304449648711944,259.97,319.08,158.0,0.0,,target
24,2026-01-15,NASDAQ:BIIB,entry,0.1304449648711944,168.57,168.57,0.0,13.128668802277982,0.265888511673435,
25,2026-01-16,NASDAQ:AMAT,entry,0.1304449648711944,327.01,327.01,0.0,50.00214312628142,0.1449651200413682,
29,2026-01-23,NASDAQ:AMD,exit,0.1304449648711944,215.34,259.68,161.0,0.0,,target
29,2026-01-23,NASDAQ:CDNS,entry,0.1304449648711944,318.32,318.32,0.0,109.97268943201809,0.3210659802039875,
36,2026-02-03,NASDAQ:CDNS,exit,0.06982109227871941,318.32,268.5,109.0,0.0,,DD
36,2026-02-03,NASDAQ:AMD,entry,0.1304449648711944,242.11,242.11,0.0,133.37701066339466,0.2941820000926904,
36,2026-02-03,NASDAQ:CHTR,entry,0.1304449648711944,212.74,212.74,0.0,28.20546105132863,0.05466442033909785,
37,2026-02-04,NASDAQ:AVGO,exit,0.1304449648711944,349.85,308.05,62.0,0.0,,DD
37,2026-02-04,NASDAQ:AMD,exit,0.1304449648711944,242.11,200.19,133.0,0.0,,DD
37,2026-02-04,NASDAQ:CDNS,entry,0.1304449648711944,271.42,271.42,0.0,134.29877827720873,0.3708769704299215,
38,2026-02-05,NASDAQ:AMD,entry,0.1304449648711944,192.5,192.5,0.0,91.10241185469886,0.16360497751617742,
49,2026-02-23,NASDAQ:BIIB,exit,0.1304449648711944,168.57,196.34,13.0,0.0,,horizon
49,2026-02-23,NASDAQ:AVGO,entry,0.1304449648711944,330.34,330.34,0.0,86.58678543319,0.2658885116734351,
50,2026-02-24,NASDAQ:AMAT,exit,0.06982109227871941,327.01,377.93,50.0,0.0,,horizon
50,2026-02-24,NASDAQ:BIIB,entry,0.1304449648711944,195.13,195.13,0.0,20.072924204376477,0.1449651200413682,
61,2026-03-11,NASDAQ:CHTR,exit,0.06982109227871941,212.74,224.36,28.0,0.0,,horizon
61,2026-03-11,NASDAQ:AMAT,entry,0.1304449648711944,351.07,351.07,0.0,18.20007942167791,0.0546644203390978,
62,2026-03-12,NASDAQ:CDNS,exit,0.051608745228298065,271.42,290.32,134.0,0.0,,horizon
62,2026-03-12,NASDAQ:CSGP,entry,0.1304449648711944,43.36,43.36,0.0,438.56186577490723,0.3182473665898249,
63,2026-03-13,NASDAQ:AMD,exit,0.1304449648711944,192.5,193.39,91.0,0.0,,horizon
63,2026-03-13,NASDAQ:CDW,entry,0.1304449648711944,116.16,116.16,0.0,211.1322847834095,0.21623458135627405,
74,2026-03-30,NASDAQ:AVGO,exit,0.1304449648711944,330.34,293.41,86.0,0.0,,DD
74,2026-03-30,NASDAQ:AMD,entry,0.1304449648711944,196.04,196.04,0.0,112.56618165706962,0.20067064815446378,
74,2026-03-30,NASDAQ:CDNS,entry,0.1304449648711944,270.88,270.88,0.0,26.47636758169528,0.0652178635189713,
75,2026-03-31,NASDAQ:BIIB,exit,0.051608745228298065,195.13,183.33,20.0,0.0,,horizon
75,2026-03-31,NASDAQ:AVGO,entry,0.1304449648711944,309.51,309.51,0.0,52.3401036498584,0.1449651200413682,
80,2026-04-08,NASDAQ:CSGP,exit,0.06982109227871941,43.36,38.82,438.0,0.0,,DD
80,2026-04-08,NASDAQ:INTC,entry,0.1304449648711944,58.95000076293945,58.95000076293945,0.0,267.41814072902673,0.31662377094337746,
81,2026-04-09,NASDAQ:AMD,exit,0.1304449648711944,196.04,236.64,112.0,0.0,,target
81,2026-04-09,NASDAQ:LRCX,entry,0.1304449648711944,258.760009765625,258.760009765625,0.0,65.36814717258343,0.1921404850080405,
82,2026-04-10,NASDAQ:AVGO,exit,0.051608745228298065,309.51,371.55,52.0,0.0,,target
82,2026-04-10,NASDAQ:AMD,entry,0.1304449648711944,245.04,245.04,0.0,76.35621724103034,0.15511887883423892,
86,2026-04-16,NASDAQ:AMAT,exit,0.06982109227871941,351.07,389.9,18.0,0.0,,horizon
86,2026-04-16,NASDAQ:CSGP,entry,0.1304449648711944,40.04,40.04,0.0,173.45189710893243,0.0546644203390978,
88,2026-04-20,NASDAQ:CDW,exit,,116.16,136.85,211.0,0.0,,horizon
89,2026-04-21,NASDAQ:CDNS,exit,,270.88,325.84,26.0,0.0,,target
90,2026-04-22,NASDAQ:AMD,exit,,245.04,303.46,76.0,0.0,,target
92,2026-04-24,NASDAQ:INTC,exit,,58.95000076293945,82.54000091552734,267.0,0.0,,target
94,2026-04-28,NASDAQ:CSGP,exit,,40.04,35.96,173.0,0.0,,DD
106,2026-05-14,NASDAQ:LRCX,exit,,258.760009765625,299.1499938964844,65.0,0.0,,horizon
