,equity
2025-12-17,100000.0
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,98599.99140930176
2026-01-02,104035.04063415527
2026-01-05,103375.15126037598
2026-01-06,102720.05986022949
2026-01-07,97088.65135192871
2026-01-08,98203.83129882812
2026-01-09,98741.79112243652
2026-01-12,99624.86935424805
2026-01-13,101445.7796382904
2026-01-14,101654.5502204895
2026-01-15,102500.12994194031
2026-01-16,104279.92074584961
2026-01-20,102782.90898513794
2026-01-21,106080.17248916626
2026-01-22,105979.4799156189
2026-01-23,106310.76224899292
2026-01-26,105426.15895462036
2026-01-27,107321.84357833862
2026-01-28,109246.83968353271
2026-01-29,110086.53171730042
2026-01-30,107485.09914398193
2026-02-02,107681.76944732666
2026-02-03,105247.90969657898
2026-02-04,102371.02953720093
2026-02-05,98981.81958580017
2026-02-06,101434.34148597717
2026-02-09,101663.80114173889
2026-02-10,103206.54936599731
2026-02-11,100614.33062171936
2026-02-12,97275.66990470886
2026-02-13,96642.38564682007
2026-02-17,96197.94764709473
2026-02-18,96852.04653739929
2026-02-19,97837.86527633667
2026-02-20,99211.80700302124
2026-02-23,97169.91562271118
2026-02-24,99473.00777435303
2026-02-25,101665.10538673401
2026-02-26,99628.0177936554
2026-02-27,98632.7380657196
2026-03-02,99590.38830375671
2026-03-03,99544.66711997986
2026-03-04,101074.65803909302
2026-03-05,106939.45777702332
2026-03-06,105472.04030227661
2026-03-09,104636.55667495728
2026-03-10,103412.896692276
2026-03-11,104602.5991859436
2026-03-12,102361.19366455078
2026-03-13,102778.62930488586
2026-03-16,104072.61694747926
2026-03-17,104242.35635055543
2026-03-18,104018.16652511597
2026-03-19,103984.32638290405
2026-03-20,102054.52585250855
2026-03-23,103895.9973361206
2026-03-24,104270.65671318055
2026-03-25,107953.7468636322
2026-03-26,102727.56608894348
2026-03-27,102408.72691131593
2026-03-30,100356.18732162476
2026-03-31,104058.23813316345
2026-04-01,104464.59768127442
2026-04-02,107605.23614654542
2026-04-06,107000.6874282074
2026-04-07,107917.78695785523
2026-04-08,112165.19958923341
2026-04-09,113223.63799224854
2026-04-10,116611.8070465088
2026-04-13,118821.87614974976
2026-04-14,123338.38831100464
2026-04-15,121407.15340194703
2026-04-16,126908.49210128785
2026-04-17,128248.43124923707
2026-04-20,128259.57111320496
2026-04-21,127539.07246932984
2026-04-22,132015.07271347046
2026-04-23,130928.11219558716
2026-04-24,133971.76263771058
2026-04-27,134237.0324092865
2026-04-28,129586.60249099732
2026-04-29,135193.75385055543
2026-04-30,138347.42089424134
2026-05-01,141053.21338043213
2026-05-04,144146.07280693055
2026-05-05,146506.07382545472
2026-05-06,148205.30477294922
2026-05-07,146292.55366668702
2026-05-08,146640.3727584839
2026-05-11,151268.36207733155
2026-05-12,150187.7025314331
2026-05-13,150187.7025314331
2026-05-14,150187.7025314331
2026-05-15,150187.7025314331
2026-05-18,150187.7025314331
2026-05-19,150187.7025314331
2026-05-20,150187.7025314331
2026-05-21,150187.7025314331
2026-05-22,150187.7025314331
