step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
14,2021-12-21,NASDAQ:AMD,entry,0.1361887930138268,144.25,144.25,0.0,109.57885999836265,0.15806750554763813,
14,2021-12-21,NASDAQ:BIIB,entry,0.1361887930138268,234.65,234.65,0.0,165.25146008935778,0.387762551099678,
14,2021-12-21,NASDAQ:EA,entry,0.1361887930138268,132.17,132.17,0.0,328.4935638591843,0.45416994335268385,
39,2022-01-27,NASDAQ:AMD,exit,0.1361887930138268,144.25,102.6,109.0,0.0,,DD
39,2022-01-27,NASDAQ:AMAT,entry,0.1361887930138268,130.15,130.15,0.0,16.158968882059067,0.15806750554763815,
64,2022-03-04,NASDAQ:BIIB,exit,0.1361887930138268,234.65,209.45,165.0,0.0,,horizon
64,2022-03-04,NASDAQ:EA,exit,0.00448542237727386,132.17,126.49,328.0,0.0,,horizon
64,2022-03-04,NASDAQ:AMD,entry,0.1361887930138268,108.41,108.41,0.0,100.71445807582313,0.25124364229976914,
65,2022-03-07,NASDAQ:BIIB,entry,0.1361887930138268,205.78,205.78,0.0,235.99419655867766,0.5497836008691034,
65,2022-03-07,NASDAQ:BKR,entry,0.1361887930138268,34.78,34.78,0.0,103.88723604512016,0.04090525128348932,
89,2022-04-08,NASDAQ:AMAT,exit,0.1361887930138268,130.15,119.96,16.0,0.0,,horizon
89,2022-04-08,NASDAQ:FANG,entry,0.1361887930138268,141.99,141.99,0.0,101.90705816609093,0.15806750554763815,
114,2022-05-16,NASDAQ:AMD,exit,0.1361887930138268,108.41,94.24,100.0,0.0,,horizon
114,2022-05-16,NASDAQ:AMAT,entry,0.1361887930138268,110.48,110.48,0.0,115.75748823316424,0.25124364229976914,
115,2022-05-17,NASDAQ:BIIB,exit,0.009599268627152217,205.78,202.9,235.0,0.0,,horizon
115,2022-05-17,NASDAQ:BKR,exit,0.1361887930138268,34.78,35.16,103.0,0.0,,horizon
115,2022-05-17,NASDAQ:AMD,entry,0.1361887930138268,102.47,102.47,0.0,92.4413906509221,0.2606518675105103,
116,2022-05-18,NASDAQ:ADSK,entry,0.1361887930138268,187.98,187.98,0.0,144.92339375656996,0.316815822921226,
139,2022-06-22,NASDAQ:FANG,exit,0.05133553803103536,141.99,126.1,101.0,0.0,,horizon
139,2022-06-22,NASDAQ:AMZN,entry,0.1361887930138268,108.95,108.95,0.0,93.55346952368096,0.1274414970845185,
139,2022-06-22,NASDAQ:DXCM,entry,0.1361887930138268,71.52,71.52,0.0,49.033210790528265,0.043847170183976075,
145,2022-06-30,NASDAQ:AMD,exit,0.1361887930138268,102.47,76.47,92.0,0.0,,DD
145,2022-06-30,NASDAQ:FTNT,entry,0.1361887930138268,56.58,56.58,0.0,139.08432002791358,0.0993952377050522,
145,2022-06-30,NASDAQ:META,entry,0.1361887930138268,161.25,161.25,0.0,79.1759701919258,0.16125662980545807,
164,2022-07-28,NASDAQ:AMAT,exit,0.009599268627152217,110.48,105.16,115.0,0.0,,horizon
164,2022-07-28,NASDAQ:AMD,entry,0.1361887930138268,91.67,91.67,0.0,104.72396519050577,0.25124364229976914,
166,2022-08-01,NASDAQ:ADSK,exit,0.00021312872975277067,187.98,218.14,144.0,0.0,,horizon
166,2022-08-01,NASDAQ:BKR,entry,0.1361887930138268,24.66,24.66,0.0,487.44330450177057,0.3152250693465306,
189,2022-09-01,NASDAQ:AMZN,exit,0.03131229639714105,108.95,127.82,93.0,0.0,,horizon
189,2022-09-01,NASDAQ:DXCM,exit,0.05133553803103536,71.52,83.08,49.0,0.0,,horizon
189,2022-09-01,NASDAQ:NVDA,entry,0.1361887930138268,13.937000274658203,13.937000274658203,0.0,1084.2930232062872,0.17287942084318997,
195,2022-09-12,NASDAQ:FTNT,exit,0.03131229639714105,56.58,55.84,139.0,0.0,,horizon
195,2022-09-12,NASDAQ:META,exit,0.01898480068827072,161.25,168.9600067138672,79.0,0.0,,horizon
195,2022-09-12,NASDAQ:WBD,entry,0.1361887930138268,13.3100004196167,13.3100004196167,0.0,1763.1201737086917,0.2606518675105103,
204,2022-09-23,NASDAQ:AMD,exit,0.1361887930138268,91.67,67.96,104.0,0.0,,DD
204,2022-09-23,NASDAQ:DXCM,entry,0.1361887930138268,80.66,80.66,0.0,253.93810324461614,0.25124364229976914,
216,2022-10-11,NASDAQ:BKR,exit,0.1361887930138268,24.66,22.25,487.0,0.0,,horizon
216,2022-10-11,NASDAQ:AMD,entry,0.1361887930138268,57.63,57.63,0.0,275.1096876687653,0.2703758654411917,
217,2022-10-12,NASDAQ:BKR,entry,0.1361887930138268,22.64,22.64,0.0,168.19351560872798,0.044849203905338975,
237,2022-11-09,NASDAQ:WBD,exit,,13.3100004196167,9.84000015258789,1763.0,0.0,,DD
239,2022-11-11,NASDAQ:NVDA,exit,,13.937000274658203,16.32699966430664,1084.0,0.0,,horizon
254,2022-12-05,NASDAQ:DXCM,exit,,80.66,116.56,253.0,0.0,,horizon
266,2022-12-21,NASDAQ:AMD,exit,,57.63,67.68,275.0,0.0,,horizon
267,2022-12-22,NASDAQ:BKR,exit,,22.64,28.36,168.0,0.0,,horizon
