,equity
2025-12-17,100000.0
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,99253.185
2026-01-02,100693.665
2026-01-05,100918.94499999999
2026-01-06,100270.15500000001
2026-01-07,99196.575
2026-01-08,97674.285
2026-01-09,99200.845
2026-01-12,100211.845
2026-01-13,101170.08499999999
2026-01-14,100880.605
2026-01-15,102180.915
2026-01-16,102503.105
2026-01-20,99838.185
2026-01-21,101916.07500000001
2026-01-22,101843.065
2026-01-23,102495.485
2026-01-26,103294.38500000001
2026-01-27,105044.725
2026-01-28,105011.66500000001
2026-01-29,105748.305
2026-01-30,103366.45500000002
2026-02-02,106897.465
2026-02-03,105697.195
2026-02-04,102514.66500000001
2026-02-05,102335.15500000001
2026-02-06,105473.205
2026-02-09,105889.38500000001
2026-02-10,105382.375
2026-02-11,106653.765
2026-02-12,102106.135
2026-02-13,103001.62500000001
2026-02-17,104836.005
2026-02-18,105538.335
2026-02-19,104977.275
2026-02-20,106078.215
2026-02-23,106029.46500000001
2026-02-24,108967.465
2026-02-25,110577.595
2026-02-26,109482.415
2026-02-27,107258.34500000002
2026-03-02,107257.585
2026-03-03,106446.505
2026-03-04,107009.80500000001
2026-03-05,106427.93500000001
2026-03-06,105268.355
2026-03-09,106663.155
2026-03-10,106892.96499999998
2026-03-11,106998.235
2026-03-12,105315.315
2026-03-13,103643.375
2026-03-16,104221.05500000001
2026-03-17,104195.785
2026-03-18,104158.125
2026-03-19,104185.49500000001
2026-03-20,104120.185
2026-03-23,104204.185
2026-03-24,104174.645
2026-03-25,104178.285
2026-03-26,104112.52
2026-03-27,104051.375
2026-03-30,104000.485
2026-03-31,104113.185
2026-04-01,104141.04500000001
2026-04-02,104148.46500000001
2026-04-06,104147.625
2026-04-07,104284.405
2026-04-08,104401.02500000001
2026-04-09,104430.985
2026-04-10,104547.46500000001
2026-04-13,104604.865
2026-04-14,104612.07500000001
2026-04-15,104723.655
2026-04-16,104735.905
2026-04-17,104792.395
2026-04-20,104744.02500000001
2026-04-21,104761.80500000001
2026-04-22,104905.16500000001
2026-04-23,104886.195
2026-04-24,104905.935
2026-04-27,104874.015
2026-04-28,104745.425
2026-04-29,104784.765
2026-04-30,104868.625
2026-05-01,104895.57500000001
2026-05-04,104862.115
2026-05-05,104938.13500000001
2026-05-06,104924.695
2026-05-07,104834.535
2026-05-08,104885.21500000001
2026-05-11,104885.21500000001
2026-05-12,104885.21500000001
2026-05-13,104885.21500000001
2026-05-14,104885.21500000001
2026-05-15,104885.21500000001
2026-05-18,104885.21500000001
2026-05-19,104885.21500000001
2026-05-20,104885.21500000001
2026-05-21,104885.21500000001
2026-05-22,104885.21500000001
