origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,0.3349,0.1507,0.1841
2023-08-03,2024-05-20,0.5793,0.1791,0.4003
2023-08-10,2024-05-28,0.7237,0.1873,0.5363
2023-08-17,2024-06-04,0.8023,0.2107,0.5916
2023-08-24,2024-06-11,0.7752,0.2283,0.5469
2023-08-31,2024-06-18,0.6961,0.2173,0.4789
2023-09-08,2024-06-26,0.7257,0.2289,0.4968
2023-09-15,2024-07-03,0.7133,0.2442,0.4691
2023-09-22,2024-07-11,0.8409,0.2927,0.5482
2023-09-29,2024-07-18,0.9068,0.293,0.6137
2023-10-06,2024-07-25,0.8699,0.2532,0.6167
2023-10-13,2024-08-01,0.9178,0.2585,0.6593
2023-10-20,2024-08-08,0.7822,0.2593,0.5229
2023-10-27,2024-08-15,0.9038,0.3463,0.5575
2023-11-03,2024-08-22,0.8347,0.2782,0.5565
2023-11-10,2024-08-29,0.7495,0.2665,0.483
2023-11-17,2024-09-06,0.6322,0.1981,0.4341
2023-11-27,2024-09-13,0.6673,0.2364,0.431
2023-12-04,2024-09-20,0.7682,0.2479,0.5203
2023-12-11,2024-09-27,0.7628,0.2414,0.5214
